,CommunityName,IncorporationType,BoroughCensusArea,NativeRegionalHealthCarePro,SchoolDistrict,ClimateRegion,EnergyRegion,EconomicRegion,sqMiLand,sqMiWater
81,Chase,CDP,Matanuska-Susitna Borough,Southcentral Foundation,Matanuska-Susitna Borough School District,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,,
82,Chickaloon,CDP,Matanuska-Susitna Borough,Southcentral Foundation,Matanuska-Susitna Borough School District,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,79.4,0.8
83,Chignik Lagoon,CDP,Lake and Peninsula Borough,Bristol Bay Area Health Corporation,Lake and Peninsula Borough School District,Southwest Maritime,Bristol Bay,Southwest Economic Region,,
84,Chignik Lake,CDP,Lake and Peninsula Borough,Bristol Bay Area Health Corporation,Lake and Peninsula Borough School District,Southwest Maritime,Bristol Bay,Southwest Economic Region,,
85,Clam Gulch,CDP,Kenai Peninsula Borough,,Kenai Peninsula Borough School District,Gulf Coast Transitional,Railbelt,Gulf Coast Economic Region,,
86,Cohoe,CDP,Kenai Peninsula Borough,,Kenai Peninsula Borough School District,Gulf Coast Transitional,Railbelt,Gulf Coast Economic Region,,
87,Cooper Landing,CDP,Kenai Peninsula Borough,,Kenai Peninsula Borough School District,Gulf Coast Transitional,Railbelt,Gulf Coast Economic Region,,
88,Crown Point,CDP,Kenai Peninsula Borough,,Kenai Peninsula Borough School District,Gulf Coast Maritime,Railbelt,Gulf Coast Economic Region,,
89,Diamond Ridge,CDP,Kenai Peninsula Borough,,Kenai Peninsula Borough School District,Gulf Coast Maritime,Railbelt,Gulf Coast Economic Region,,
90,Ester,CDP,Fairbanks North Star Borough,"Tanana Chiefs Conference, Department of Health Services",Fairbanks North Star Borough School District,Continental,Railbelt,Interior Economic Region,0.0,0.0
91,Fishhook,CDP,Matanuska-Susitna Borough,Southcentral Foundation,Matanuska-Susitna Borough School District,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,,
92,Fox,CDP,Fairbanks North Star Borough,"Tanana Chiefs Conference, Department of Health Services",Fairbanks North Star Borough School District,Continental,Railbelt,Interior Economic Region,,
93,Fritz Creek,CDP,Kenai Peninsula Borough,,Kenai Peninsula Borough School District,Gulf Coast Transitional,Railbelt,Gulf Coast Economic Region,,
94,Funny River,CDP,Kenai Peninsula Borough,,Kenai Peninsula Borough School District,Gulf Coast Transitional,Railbelt,Gulf Coast Economic Region,,
95,Gateway,CDP,Matanuska-Susitna Borough,Southcentral Foundation,Matanuska-Susitna Borough School District,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,,
96,Glacier View,CDP,Matanuska-Susitna Borough,Copper River Native Association,Matanuska-Susitna Borough School District,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,,
97,Goldstream,CDP,Fairbanks North Star Borough,"Tanana Chiefs Conference, Department of Health Services",Fairbanks North Star Borough School District,Continental,Railbelt,Interior Economic Region,,
98,Happy Valley,CDP,Kenai Peninsula Borough,,Kenai Peninsula Borough School District,Gulf Coast Transitional,Railbelt,Gulf Coast Economic Region,,
99,Healy,CDP,Denali Borough,Copper River Native Association,Denali Borough School District,Continental,Railbelt,Interior Economic Region,,
100,Hope,CDP,Kenai Peninsula Borough,,Kenai Peninsula Borough School District,Gulf Coast Transitional,Railbelt,Gulf Coast Economic Region,,
101,Igiugig,CDP,Lake and Peninsula Borough,Bristol Bay Area Health Corporation,Lake and Peninsula Borough School District,Western Transitional,Bristol Bay,Southwest Economic Region,0.0,0.0
102,Iliamna,CDP,Lake and Peninsula Borough,Bristol Bay Area Health Corporation,Lake and Peninsula Borough School District,Western Transitional,Bristol Bay,Southwest Economic Region,,
103,Kalifornsky,CDP,Kenai Peninsula Borough,,Kenai Peninsula Borough School District,Gulf Coast Transitional,Railbelt,Gulf Coast Economic Region,,
104,Karluk,CDP,Kodiak Island Borough,Kodiak Area Native Association,Kodiak Island Borough School District,Gulf Coast Maritime,Kodiak,Gulf Coast Economic Region,,
105,Kasilof,CDP,Kenai Peninsula Borough,,Kenai Peninsula Borough School District,Gulf Coast Transitional,Railbelt,Gulf Coast Economic Region,,
106,King Salmon,CDP,Bristol Bay Borough,Bristol Bay Area Health Corporation,Bristol Bay Borough School District,Western Transitional,Bristol Bay,Southwest Economic Region,,
107,Lowell Point,CDP,Kenai Peninsula Borough,Chugachmiut,Kenai Peninsula Borough School District,Gulf Coast Maritime,Railbelt,Gulf Coast Economic Region,,
108,Meadow Lakes,CDP,Matanuska-Susitna Borough,Southcentral Foundation,Matanuska-Susitna Borough School District,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,0.0,0.0
109,Moose Creek,CDP,Fairbanks North Star Borough,"Tanana Chiefs Conference, Department of Health Services",Fairbanks North Star Borough School District,Continental,Railbelt,Interior Economic Region,,
110,Moose Pass,CDP,Kenai Peninsula Borough,,Kenai Peninsula Borough School District,Gulf Coast Maritime,Railbelt,Gulf Coast Economic Region,,
111,Naknek,CDP,Bristol Bay Borough,Bristol Bay Area Health Corporation,Bristol Bay Borough School District,Western Transitional,Bristol Bay,Southwest Economic Region,,
112,Nanwalek,CDP,Kenai Peninsula Borough,Chugachmiut,Kenai Peninsula Borough School District,Gulf Coast Maritime,Railbelt,Gulf Coast Economic Region,,
113,Nelson Lagoon,CDP,Aleutians East Borough,"Eastern Aleutian Tribes, Incorporated",Aleutians East Borough School District,Southwest Maritime,Aleutians,Southwest Economic Region,,
114,Nikiski,CDP,Kenai Peninsula Borough,,Kenai Peninsula Borough School District,Gulf Coast Transitional,Railbelt,Gulf Coast Economic Region,,
115,Knik River,CDP,Matanuska-Susitna Borough,Southcentral Foundation,Matanuska-Susitna Borough School District,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,0.0,0.0
116,Knik-Fairview,CDP,Matanuska-Susitna Borough,Southcentral Foundation,Matanuska-Susitna Borough School District,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,,
117,Kokhanok,CDP,Lake and Peninsula Borough,Bristol Bay Area Health Corporation,Lake and Peninsula Borough School District,Western Transitional,Bristol Bay,Southwest Economic Region,,
118,Lake Louise,CDP,Matanuska-Susitna Borough,Copper River Native Association,Matanuska-Susitna Borough School District,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,,
119,Lazy Mountain,CDP,Matanuska-Susitna Borough,Southcentral Foundation,Matanuska-Susitna Borough School District,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,,
120,Levelock,CDP,Lake and Peninsula Borough,Bristol Bay Area Health Corporation,Lake and Peninsula Borough School District,Western Transitional,Bristol Bay,Southwest Economic Region,,
121,Denali Park,CDP,Denali Borough,Copper River Native Association,Denali Borough School District,Continental,Railbelt,Interior Economic Region,0.0,0.0
122,Edna Bay,2nd Class City,Prince of Wales-Hyder Census Area,Southeast Alaska Regional Health Consortium,Southeast Island School District,Southeast Maritime,Southeast,Southeast Economic Region,21.91,4.06
123,Eek,2nd Class City,Bethel Census Area,Yukon-Kuskokwim Health Corporation,Lower Kuskokwim School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,0.9,0.1
124,Egegik,2nd Class City,Lake and Peninsula Borough,Bristol Bay Area Health Corporation,Lake and Peninsula Borough School District,Southwest Maritime,Bristol Bay,Southwest Economic Region,32.8,101.2
125,Ekwok,2nd Class City,Dillingham Census Area,Bristol Bay Area Health Corporation,Southwest Region School District,Western Transitional,Bristol Bay,Southwest Economic Region,16.0,1.4
126,Elim,2nd Class City,Nome Census Area,Norton Sound Health Corporation,Bering Strait School District,Western Transitional,Bering Straits,Northern Economic Region,2.4,
127,Emmonak,2nd Class City,Kusilvak Census Area,Yukon-Kuskokwim Health Corporation,Lower Yukon School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,7.5,1.1
128,Chevak,2nd Class City,Kusilvak Census Area,Yukon-Kuskokwim Health Corporation,Kashunamiut School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,1.1,0.1
129,Chuathbaluk,2nd Class City,Bethel Census Area,Yukon-Kuskokwim Health Corporation,Kuspuk School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,3.5,1.8
130,Clark's Point,2nd Class City,Dillingham Census Area,Bristol Bay Area Health Corporation,Southwest Region School District,Western Transitional,Bristol Bay,Southwest Economic Region,3.1,0.9
131,Coffman Cove,2nd Class City,Prince of Wales-Hyder Census Area,Southeast Alaska Regional Health Consortium,Southeast Island School District,Southeast Maritime,Southeast,Southeast Economic Region,10.4,4.5
132,Cold Bay,2nd Class City,Aleutians East Borough,"Eastern Aleutian Tribes, Incorporated",Aleutians East Borough School District,Southwest Maritime,Aleutians,Southwest Economic Region,54.4,16.6
133,Deering,2nd Class City,Northwest Arctic Borough,Maniilaq Association,Northwest Arctic Borough School District,Arctic,Northwest Arctic,Northern Economic Region,5.1,0.1
134,Delta Junction,2nd Class City,Southeast Fairbanks Census Area,"Tanana Chiefs Conference, Department of Health Services",Delta-Greely School District,Continental,Railbelt,Interior Economic Region,17.3,0.0
135,Diomede,2nd Class City,Nome Census Area,Norton Sound Health Corporation,Bering Strait School District,Western Transitional,Bering Straits,Southeast Economic Region,2.8,
136,Chignik,2nd Class City,Lake and Peninsula Borough,Bristol Bay Area Health Corporation,Lake and Peninsula Borough School District,Southwest Maritime,Bristol Bay,Southwest Economic Region,11.7,4.2
137,Buckland,2nd Class City,Northwest Arctic Borough,Maniilaq Association,Northwest Arctic Borough School District,Arctic,Northwest Arctic,Northern Economic Region,1.2,0.2
138,Chefornak,2nd Class City,Bethel Census Area,Yukon-Kuskokwim Health Corporation,Lower Kuskokwim School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,5.7,0.8
139,Atqasuk,2nd Class City,North Slope Borough,"Arctic Slope Native Association, Limited",North Slope Borough School District,Arctic,North Slope,Northern Economic Region,38.9,3.5
140,Bethel,2nd Class City,Bethel Census Area,Yukon-Kuskokwim Health Corporation,Lower Kuskokwim School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,43.8,5.1
141,Bettles,2nd Class City,Yukon-Koyukuk Census Area,,Yukon-Koyukuk School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,1.6,
142,Brevig Mission,2nd Class City,Nome Census Area,Norton Sound Health Corporation,Bering Strait School District,Western Transitional,Bering Straits,Northern Economic Region,2.6,0.1
143,Allakaket,2nd Class City,Yukon-Koyukuk Census Area,"Tanana Chiefs Conference, Department of Health Services",Yukon-Koyukuk School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,3.6,0.7
144,Ambler,2nd Class City,Northwest Arctic Borough,Maniilaq Association,Northwest Arctic Borough School District,Arctic,Northwest Arctic,Northern Economic Region,9.5,1.3
145,Anaktuvuk Pass,2nd Class City,North Slope Borough,"Arctic Slope Native Association, Limited",North Slope Borough School District,Arctic,North Slope,Northern Economic Region,4.8,0.1
146,Anderson,2nd Class City,Denali Borough,"Tanana Chiefs Conference, Department of Health Services",Denali Borough School District,Continental,Railbelt,Interior Economic Region,46.7,0.5
147,Angoon,2nd Class City,Hoonah-Angoon Census Area,Southeast Alaska Regional Health Consortium,Chatham School District,Southeast Maritime,Southeast,Southeast Economic Region,22.5,16.1
148,Aniak,2nd Class City,Bethel Census Area,Yukon-Kuskokwim Health Corporation,Kuspuk School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,6.5,2.3
149,Anvik,2nd Class City,Yukon-Koyukuk Census Area,Yukon-Kuskokwim Health Corporation,Iditarod Area School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,9.5,2.4
150,Atka,2nd Class City,Aleutians West Census Area,"Aleutian Pribilof Islands Association, Incorporated",Aleutian Region School District,Southwest Maritime,Aleutians,Southwest Economic Region,8.7,27.4
151,Skagway,1st Class Borough,Municipality of Skagway,Southeast Alaska Regional Health Consortium,Skagway School District,Southeast Maritime,Southeast,Southeast Economic Region,452.4,11.9
152,Craig,1st Class City,Prince of Wales-Hyder Census Area,Southeast Alaska Regional Health Consortium,Craig City School District,Southeast Maritime,Southeast,Southeast Economic Region,6.7,2.7
153,Dillingham,1st Class City,Dillingham Census Area,Bristol Bay Area Health Corporation,Dillingham City School District,Western Transitional,Bristol Bay,Southwest Economic Region,36.84,397.94
154,Galena,1st Class City,Yukon-Koyukuk Census Area,"Tanana Chiefs Conference, Department of Health Services",Galena City School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,17.9,6.1
155,Homer,1st Class City,Kenai Peninsula Borough,,Kenai Peninsula Borough School District,Gulf Coast Maritime,Railbelt,Gulf Coast Economic Region,10.6,14.9
156,Hoonah,1st Class City,Hoonah-Angoon Census Area,Southeast Alaska Regional Health Consortium,Hoonah City School District,Southeast Maritime,Southeast,Southeast Economic Region,6.6,2.1
157,Hydaburg,1st Class City,Prince of Wales-Hyder Census Area,Southeast Alaska Regional Health Consortium,Hydaburg City School District,Southeast Maritime,Southeast,Southeast Economic Region,0.3,
158,Kake,1st Class City,Prince of Wales-Hyder Census Area,Southeast Alaska Regional Health Consortium,Kake City School District,Southeast Maritime,Southeast,Southeast Economic Region,8.2,6.0
159,King Cove,1st Class City,Aleutians East Borough,"Eastern Aleutian Tribes, Incorporated",Aleutians East Borough School District,Southwest Maritime,Aleutians,Southwest Economic Region,25.3,4.5
160,Klawock,1st Class City,Prince of Wales-Hyder Census Area,Southeast Alaska Regional Health Consortium,Klawock City School District,Southeast Maritime,Southeast,Southeast Economic Region,0.6,0.3
161,Nome,1st Class City,Nome Census Area,Norton Sound Health Corporation,Nome Public Schools,Western Transitional,Bering Straits,Southeast Economic Region,12.5,9.1
162,Pelican,1st Class City,Hoonah-Angoon Census Area,Southeast Alaska Regional Health Consortium,Pelican City School District,Southeast Maritime,Southeast,Southeast Economic Region,0.6,0.1
