,commname,relying_on_substinence
285,Wainwright,YES
286,Nabesna,YES
287,Newhalen,YES
288,Kenny Lake,YES
289,Gakona,YES
290,Metlakatla,YES
291,Afognak,YES
292,Chistochina,YES
293,Whitestone,YES
294,Haines Borough,YES
295,Kenai Peninsula Borough,YES
296,Mountain Village,YES
297,Delta Junction,NO
298,Pitkas Point,YES
299,Chignik Lagoon,YES
300,Knik-Fairview,YES
301,Big Delta,NO
302,Savoonga,YES
303,Grayling,YES
304,Wiseman,YES
305,Butte,NO
306,Anderson,YES
307,Mentasta Lake,YES
308,Napakiak,YES
309,Twin Hills,YES
310,Palmer,NO
311,Ohogamiut,YES
312,Point MacKenzie,YES
313,Kodiak Island Borough,NO
314,Minto,YES
315,Ambler,YES
316,Eagle River,YES
317,Akutan,YES
318,Seldovia Village,YES
319,Northway Junction,YES
320,Primrose,YES
321,Golovin,YES
322,Togiak,YES
323,Saint Mary's,YES
324,Gustavus,YES
325,Ester,NO
326,Chuathbaluk,YES
327,Port Clarence,YES
328,Stony River,YES
329,Willow,NO
330,Edna Bay,YES
331,Naukati Bay,YES
332,Platinum,YES
333,Nightmute,YES
334,Stebbins,YES
335,Knik River,YES
336,Pelican,YES
337,Fort Wainwright,NO
338,Fort Greely,NO
339,Unga,YES
340,Fishhook,NO
341,Moose Pass,NO
342,Northway Village,YES
343,Chalkyitsik,YES
344,Pilot Station,YES
345,Chenega,YES
346,Birchwood,NO
347,Tyonek,YES
348,Clark's Point,YES
349,Meadow Lakes,NO
350,Moose Creek,NO
351,Alcan Border,YES
352,False Pass,YES
353,Sterling,NO
354,Silver Springs,YES
355,Loring,NO
356,Fritz Creek,NO
357,Northway,YES
358,Kongiganak,YES
359,Chase,NO
360,Buckland,YES
361,Eureka Roadhouse,YES
362,Chignik,YES
363,Nikolski,YES
364,Kasaan,YES
365,Port Protection,YES
366,Bill Moore's Slough,YES
367,Buffalo Soapstone,YES
368,Atka,YES
369,Cube Cove,YES
370,Lake and Peninsula Borough,YES
371,Eielson AFB,NO
372,Lowell Point,YES
373,Dry Creek,YES
374,Douglas,NO
375,Napaskiak,YES
376,Nondalton,YES
377,Levelock,YES
378,Valdez,NO
379,Klukwan,YES
380,Petersburg Borough,YES
381,Alatna,YES
382,Circle,YES
383,Cooper Landing,NO
384,Tetlin,YES
385,Tanacross,YES
386,Ward Cove,NO
387,Rampart,YES
388,Tonsina,YES
389,Steele Creek,YES
390,Badger,YES
391,Solomon,YES
392,Cantwell,YES
393,Akiachak,YES
394,Fairbanks North Star Borough - FNSB,NO
395,Elim,YES
396,Thane,NO
397,Craig,YES
398,Nunam Iqua,YES
399,Ekwok,YES
400,Nuiqsut,YES
401,Whitestone Logging Camp,YES
402,Brevig Mission,YES
403,Slana,YES
404,Chugiak,NO
405,Red Dog Mine,YES
406,Perryville,YES
407,Huslia,YES
408,Bettles,YES
409,Saint Lawrence Island,YES
410,Eagle Village,YES
411,Seward,NO
412,Koyukuk,YES
