"Alaska Monthly Employment Statistics "

areaname,areatype,areacode,adjusted,year,seriescode,industry,emp_january,emp_february,emp_march,emp_april,emp_may,emp_june,emp_july,emp_august,emp_september,emp_october,emp_november,emp_december,emp_annual_average
Alaska,01,000000,0,2024,"55000000  ","Financial Activities",10400,10600,10600,10600,10800,10900,11000,11000,10800,10800,10700,10700,10700
Alaska,01,000000,0,2024,"60000000  ","Professional & Business Svcs",27200,27700,27800,28000,29200,30100,30400,30200,29300,28700,28700,28400,28800
Alaska,01,000000,0,2024,"65000000  ","Educational & Health Services",52100,52600,52700,52600,52700,52700,53000,53100,52900,53100,53400,53500,52900
Alaska,01,000000,0,2024,"65620013  ","Health Care",40900,41200,41300,41300,41300,41400,42100,42100,42100,42300,42300,42400,41700
Alaska,01,000000,0,2024,"70000000  ","Leisure & Hospitality",30200,30900,31800,33000,38200,43200,44300,44200,40400,33200,31100,32000,36000
Alaska,01,000000,0,2024,"70721000  ",Accommodation,,,,,,,,,,,,,
Alaska,01,000000,0,2024,"70722000  ","Food Svcs & Drinking Places",,,,,,,,,,,,,
Alaska,01,000000,0,2024,"80000000  ","Other Services",11500,11700,11700,11900,12200,12600,12900,12700,11900,12000,12100,12100,12100
Alaska,01,000000,0,2024,"90000000  ",Government,78700,80800,81100,81700,81700,77200,74700,77500,80800,81600,81600,81500,79900
Alaska,01,000000,0,2024,"90910000  ","Federal Government",14800,15100,15200,15500,15800,16000,16100,15900,15800,15400,15100,15300,15500
Alaska,01,000000,0,2024,"90920000  ","State Government",22900,23800,24000,24200,23800,23400,23300,23700,24300,24200,24400,24100,23800
Alaska,01,000000,0,2024,"90921611  ","State Education",,,,,,,,,,,,,
Alaska,01,000000,0,2024,"90930000  ","Local Government",41000,41900,41900,42000,42100,37800,35300,37900,40700,42000,42100,42100,40600
Alaska,01,000000,0,2024,"90931611  ","Local Education",,,,,,,,,,,,,
Alaska,01,000000,0,2024,"90931150  ","Tribal Government",,,,,,,,,,,,,
Alaska,01,000000,0,2023,"00000000  ","Total Nonfarm",306900,313900,315400,319800,329800,346500,350900,348900,341000,325700,317300,316800,327700
Alaska,01,000000,0,2023,"06000000  ","Goods Producing",35200,37500,38100,37900,38600,48700,54600,51100,45700,40600,35700,34600,41500
Alaska,01,000000,0,2023,"07000000  ",Service-Providing,271700,276400,277300,281900,291200,297800,296300,297800,295300,285100,281600,282200,286200
Alaska,01,000000,0,2023,"10000000  ","Mining and Logging",11000,11100,11200,11400,11500,11900,12100,12200,12100,11900,11600,11900,11700
Alaska,01,000000,0,2023,"10210000  ",Mining,11000,11000,11100,11300,11300,11700,12000,12000,12000,,,,
Alaska,01,000000,0,2023,"10210013  ","Oil & Gas",7400,7400,7500,7500,7400,7400,7600,7700,7700,7600,7600,7800,7600
Alaska,01,000000,0,2023,"20000000  ",Construction,13900,14300,14600,15300,17300,19200,19800,20100,19400,18600,16500,16100,17100
Alaska,01,000000,0,2023,"30000000  ",Manufacturing,10300,12100,12300,11200,9800,17600,22700,18800,14200,10100,7600,6600,12800
Alaska,01,000000,0,2023,"32311700  ","Seafood Processing",6300,8100,8200,7000,5400,13000,18200,14200,9800,,,,
Alaska,01,000000,0,2023,"40000000  ","Trade, Transportation, Utilities",61100,61700,62000,63800,67200,69500,69600,69700,67600,65000,63100,63500,65300
Alaska,01,000000,0,2023,"41000000  ","Wholesale Trade",6200,6300,6300,6400,6400,6500,6500,6500,6400,6400,6300,6400,6400
Alaska,01,000000,0,2023,"42000000  ","Retail Trade",34300,34400,34500,34900,35800,36600,36600,36500,35600,34900,34700,34900,35300
Alaska,01,000000,0,2023,"42445000  ","Food & Beverage Stores",5000,5100,5100,5100,5200,5200,5300,5300,5100,,,,
Alaska,01,000000,0,2023,"42452000  ","General Merchandise Stores",,,,
Alaska,01,000000,0,2023,"43000000  ",Trans/Warehouse/Utilities,20600,21000,21200,22500,25000,26400,26500,26700,25600,23700,22100,22200,23600
Alaska,01,000000,0,2023,"43481000  ","Air Transportation",6000,6000,6100,6300,6600,6900,6800,6800,6700,,,,
Alaska,01,000000,0,2023,"50000000  ",Information,4600,4600,4600,4600,4600,4600,4600,4600,4600,4500,4500,4400,4600
Alaska,01,000000,0,2023,"50517000  ",Telecommunications,3100,3100,3100,3100,3100,3100,3100,3100,3000,,,,
Alaska,01,000000,0,2023,"55000000  ","Financial Activities",10600,10700,10700,10800,11000,11100,11100,11000,11000,10800,10700,10700,10900
Alaska,01,000000,0,2023,"60000000  ","Professional & Business Svcs",26200,26800,26600,27200,28200,29500,29900,29800,28900,28000,28400,27800,28100
Alaska,01,000000,0,2023,"65000000  ","Educational & Health Services",50500,50900,51000,51200,51200,51600,51700,51600,51700,51800,52000,52100,51400
Alaska,01,000000,0,2023,"65620013  ","Health Care",39500,39600,39700,39900,40000,40200,40600,40500,40600,40700,40800,41000,40300
Alaska,01,000000,0,2023,"70000000  ","Leisure & Hospitality",30100,30900,31400,32600,37200,42900,43900,43900,40000,32900,30800,31600,35700
Alaska,01,000000,0,2023,"70721000  ",Accommodation,6200,6500,6700,7000,9100,12000,12500,12400,10900,,,,
Alaska,01,000000,0,2023,"70722000  ","Food Svcs & Drinking Places",19800,20200,20300,21100,22600,24300,24700,24800,23200,,,,
Alaska,01,000000,0,2023,"80000000  ","Other Services",11100,11300,11300,11500,11700,12400,12400,12300,11700,11800,11700,11700,11700
Alaska,01,000000,0,2023,"90000000  ",Government,77500,79500,79700,80200,80100,76200,73100,74900,79800,80300,80400,80400,78500
Alaska,01,000000,0,2023,"90910000  ","Federal Government",14600,14700,14800,15100,15400,15600,15700,15700,15500,15100,15000,15100,15200
Alaska,01,000000,0,2023,"90920000  ","State Government",22100,23000,23300,23400,23100,23100,22400,22500,23400,23500,23600,23500,23100
Alaska,01,000000,0,2023,"90921611  ","State Education",5900,6700,6800,6800,6200,6000,5300,5400,6700,,,,
Alaska,01,000000,0,2023,"90930000  ","Local Government",40800,41800,41600,41700,41600,37500,35000,36700,40900,41700,41800,41800,40200
Alaska,01,000000,0,2023,"90931611  ","Local Education",21400,22200,22000,22100,21900,16700,13900,16000,20600,,,,
Alaska,01,000000,0,2023,"90931150  ","Tribal Government",4800,4900,4900,4900,5100,5600,5800,5600,5300,,,,
Alaska,01,000000,0,2022,"00000000  ","Total Nonfarm",299500,305600,308100,312700,323200,334200,342000,338900,329300,316200,309900,308700,319000
Alaska,01,000000,0,2022,"06000000  ","Goods Producing",33300,35500,35900,36800,38200,45000,52500,48100,41100,37700,34100,32600,39200
Alaska,01,000000,0,2022,"07000000  ",Service-Providing,266200,270100,272200,275900,285000,289200,289500,290800,288200,278500,275800,276100,279800
Alaska,01,000000,0,2022,"10000000  ","Mining and Logging",10300,10400,10600,10700,10800,11100,11300,11300,11200,11300,11100,11200,10900
Alaska,01,000000,0,2022,"10210000  ",Mining,10200,10300,10500,10600,10700,10900,11100,11100,11100,11100,10900,11100,10800
Alaska,01,000000,0,2022,"10210013  ","Oil & Gas",6800,6900,7000,6900,6900,7000,7000,7100,7200,7200,7300,7400,7100
Alaska,01,000000,0,2022,"20000000  ",Construction,13300,13600,13900,14900,16900,18500,18800,18800,17900,17100,15400,14500,16100
Alaska,01,000000,0,2022,"30000000  ",Manufacturing,9700,11500,11400,11200,10500,15400,22400,18000,12000,9300,7600,6900,12200
Alaska,01,000000,0,2022,"32311700  ","Seafood Processing",5900,7500,7400,7000,6200,10900,18000,13700,7700,5200,3500,2900,8000
Alaska,01,000000,0,2022,"40000000  ","Trade, Transportation, Utilities",59600,60300,60600,62200,65500,67100,68300,68400,66300,63400,62100,62200,63800
Alaska,01,000000,0,2022,"41000000  ","Wholesale Trade",6100,6100,6100,6200,6300,6300,6400,6400,6300,6200,6200,6200,6200
Alaska,01,000000,0,2022,"42000000  ","Retail Trade",34000,34200,34100,34600,35400,35700,36300,36200,35300,34800,34800,35100,35000
Alaska,01,000000,0,2022,"42445000  ","Food & Beverage Stores",5000,4900,4900,5000,5200,5300,5400,5300,5100,5000,5000,5000,5100
Alaska,01,000000,0,2022,"43000000  ",Trans/Warehouse/Utilities,19500,20000,20400,21400,23800,25100,25600,25800,24700,22400,21100,20900,22600
Alaska,01,000000,0,2022,"43481000  ","Air Transportation",5300,5400,5500,5800,6200,6400,6500,6500,6500,6200,6100,6000,6000
Alaska,01,000000,0,2022,"50000000  ",Information,4700,4800,4700,4700,4800,4800,4800,4800,4800,4600,4600,4600,4700
Alaska,01,000000,0,2022,"50517000  ",Telecommunications,3200,3200,3200,3200,3200,3200,3200,3200,3200,3100,3100,3100,3200
Alaska,01,000000,0,2022,"55000000  ","Financial Activities",10700,10800,10900,11000,11100,11300,11300,11300,11100,10900,10900,10800,11000
Alaska,01,000000,0,2022,"60000000  ","Professional & Business Svcs",25700,26200,26300,26500,27600,28300,29100,29000,28000,27200,26800,27000,27300
Alaska,01,000000,0,2022,"65000000  ","Educational & Health Services",49500,50000,50200,50300,50300,50300,50100,50000,49800,50100,50700,50400,50100
Alaska,01,000000,0,2022,"65620013  ","Health Care",38400,38600,38800,39100,39100,39100,39200,39000,38900,39100,39500,39300,39000
Alaska,01,000000,0,2022,"70000000  ","Leisure & Hospitality",28300,29100,30000,31500,36100,40600,42200,41800,38400,32200,30400,31000,34300
Alaska,01,000000,0,2022,"70721000  ",Accommodation,5900,6100,6400,6800,9100,11300,12300,12000,10500,7000,6400,6600,8400
Alaska,01,000000,0,2022,"70722000  ","Food Svcs & Drinking Places",18700,19200,19700,20500,21900,23200,23700,23700,22500,20800,20100,20200,21200
Alaska,01,000000,0,2022,"80000000  ","Other Services",10400,10600,10700,11000,11200,11800,11800,11600,11200,11300,11300,11200,11200
Alaska,01,000000,0,2022,"90000000  ",Government,77300,78300,78800,78700,78400,75000,71900,73900,78600,78800,79000,78900,77300
Alaska,01,000000,0,2022,"90910000  ","Federal Government",14500,14600,14700,14800,15300,15500,15600,15300,15300,14900,14800,14800,15000
Alaska,01,000000,0,2022,"90920000  ","State Government",22400,22600,22800,23000,21700,22200,21900,21800,22800,22800,23000,22700,22500
Alaska,01,000000,0,2022,"90921611  ","State Education",6100,6300,6400,6500,5000,5200,5000,4900,6300,6500,6600,6600,6000
Alaska,01,000000,0,2022,"90930000  ","Local Government",40400,41100,41300,40900,41400,37300,34400,36800,40500,41100,41200,41400,39800
Alaska,01,000000,0,2022,"90931611  ","Local Education",21300,21900,22100,21500,21800,17000,13900,16500,20700,21600,21800,21900,20200
Alaska,01,000000,0,2022,"90931150  ","Tribal Government",4600,4800,4700,4700,5000,5200,5500,5500,5100,4900,4900,4900,5000
Alaska,01,000000,0,2021,"00000000  ","Total Nonfarm",291600,296700,299200,304100,310500,321700,331400,328600,321200,310800,304500,303300,310300
Alaska,01,000000,0,2021,"06000000  ","Goods Producing",32200,33700,34600,35900,37300,43800,51900,48000,42700,37600,33200,32000,38600
Alaska,01,000000,0,2021,"07000000  ",Service-Providing,259400,263000,264600,268200,273200,277900,279500,280600,278500,273200,271300,271300,271700
Alaska,01,000000,0,2021,"10000000  ","Mining and Logging",9900,9900,10100,10200,10300,10700,11100,10900,10600,10700,10500,10600,10500
Alaska,01,000000,0,2021,"10210000  ",Mining,9700,9700,9900,10100,10100,10500,10900,10700,10400,10600,10300,10400,10300
Alaska,01,000000,0,2021,"10210013  ","Oil & Gas",6500,6500,6700,6700,6600,6800,7000,6800,6500,6800,6700,6800,6700
Alaska,01,000000,0,2021,"20000000  ",Construction,13100,13300,13600,14300,16500,18200,19000,18700,17800,17000,15100,14300,15900
Alaska,01,000000,0,2021,"30000000  ",Manufacturing,9200,10500,10900,11400,10500,14900,21800,18400,14300,9900,7600,7100,12200
Alaska,01,000000,0,2021,"32311700  ","Seafood Processing",5600,6900,7200,7600,6600,10800,17700,14200,10300,5900,3700,3200,8300
Alaska,01,000000,0,2021,"40000000  ","Trade, Transportation, Utilities",58400,58700,58800,59600,60900,62300,63600,63800,62700,61400,61100,61000,61000
Alaska,01,000000,0,2021,"41000000  ","Wholesale Trade",6000,6000,6100,6100,6100,6200,6200,6200,6200,6100,6100,6100,6100
Alaska,01,000000,0,2021,"42000000  ","Retail Trade",33800,33600,33500,33900,34200,34900,35000,34900,34300,34500,34800,34900,34400
Alaska,01,000000,0,2021,"42445000  ","Food & Beverage Stores",5200,5200,5100,5000,5100,5200,5200,5300,5200,5100,5100,5100,5200
Alaska,01,000000,0,2021,"43000000  ",Trans/Warehouse/Utilities,18600,19100,19200,19600,20600,21200,22400,22700,22200,20800,20200,20000,20600
Alaska,01,000000,0,2021,"43481000  ","Air Transportation",5000,5000,5200,5100,5300,5600,5800,5700,5700,5500,5400,5400,5400
Alaska,01,000000,0,2021,"50000000  ",Information,4700,4700,4700,4700,4800,4900,4900,4800,4800,4800,4800,4800,4800
Alaska,01,000000,0,2021,"50517000  ",Telecommunications,3400,3400,3400,3400,3400,3400,3400,3300,3300,3300,3300,3300,3400
Alaska,01,000000,0,2021,"55000000  ","Financial Activities",10500,10600,10600,10800,10800,11000,11100,11100,11000,10900,10800,10900,10800
Alaska,01,000000,0,2021,"60000000  ","Professional & Business Svcs",24800,25300,25600,25800,26700,27600,27900,27800,27100,26400,26200,26100,26400
Alaska,01,000000,0,2021,"65000000  ","Educational & Health Services",50100,50700,51000,50900,50800,50500,50800,50300,49900,50300,50300,50400,50500
Alaska,01,000000,0,2021,"65620013  ","Health Care",38600,39000,39200,39100,39100,39000,39300,38700,38400,39000,39000,39200,39000
Alaska,01,000000,0,2021,"70000000  ","Leisure & Hospitality",24500,25400,26100,27500,30700,34600,36900,37000,34500,30100,28800,29000,30400
Alaska,01,000000,0,2021,"70721000  ",Accommodation,4700,5000,5200,5600,6900,8800,10100,10100,9000,6500,5900,6000,7000
Alaska,01,000000,0,2021,"70722000  ","Food Svcs & Drinking Places",16800,17300,17700,18600,20200,21400,22000,22100,21100,19800,19400,19300,19600
Alaska,01,000000,0,2021,"80000000  ","Other Services",9900,10000,10000,10200,10400,10900,11000,10900,10600,10600,10700,10500,10500
Alaska,01,000000,0,2021,"90000000  ",Government,76500,77600,77800,78700,78100,76100,73300,74900,77900,78700,78600,78600,77200
Alaska,01,000000,0,2021,"90910000  ","Federal Government",14600,14600,14700,15000,15400,15700,15600,15400,15200,14800,14700,14900,15100
Alaska,01,000000,0,2021,"90920000  ","State Government",22500,23000,23100,23400,22000,22300,22000,22200,22900,22800,22700,22600,22600
Alaska,01,000000,0,2021,"90921611  ","State Education",6000,6400,6300,6400,4900,5000,4800,5100,6200,6300,6300,6200,5800
Alaska,01,000000,0,2021,"90930000  ","Local Government",39400,40000,40000,40300,40700,38100,35700,37300,39800,41100,41200,41100,39600
Alaska,01,000000,0,2021,"90931611  ","Local Education",20300,20900,21000,21200,21400,18400,15400,17300,20500,21500,21900,21800,20100
Alaska,01,000000,0,2021,"90931150  ","Tribal Government",4400,4400,4400,4300,4400,4600,5100,5000,4800,5000,4800,4700,4700
Alaska,01,000000,0,2020,"00000000  ","Total Nonfarm",310900,317300,316900,278100,288500,301400,307000,308400,306400,303200,296700,294200,302400
Alaska,01,000000,0,2020,"06000000  ","Goods Producing",36300,40000,39600,35100,36600,42500,48100,44800,40700,37100,32900,31500,38800
Alaska,01,000000,0,2020,"07000000  ",Service-Providing,274600,277300,277300,243000,251900,258900,258900,263600,265700,266100,263800,262700,263700
Alaska,01,000000,0,2020,"10000000  ","Mining and Logging",13100,13300,13200,11900,10900,10700,10400,10400,10300,9800,9700,10000,11100
Alaska,01,000000,0,2020,"10210000  ",Mining,13000,13100,13000,11700,10600,10400,10100,10100,10100,9600,9400,9700,10900
Alaska,01,000000,0,2020,"10210013  ","Oil & Gas",10000,10200,9900,8600,7600,7200,6700,6700,6600,6200,6100,6400,7600
Alaska,01,000000,0,2020,"20000000  ",Construction,13800,14300,14500,13400,15900,17500,17900,18300,18000,16900,15100,14300,15800
Alaska,01,000000,0,2020,"30000000  ",Manufacturing,9400,12400,11900,9800,9800,14300,19800,16100,12400,10400,8100,7200,11800
Alaska,01,000000,0,2020,"32311700  ","Seafood Processing",5700,8500,8100,6600,6300,10600,16000,12300,8600,6600,4400,3500,8100
Alaska,01,000000,0,2020,"40000000  ","Trade, Transportation, Utilities",60400,60300,60300,55000,56300,58200,58600,59200,59200,59300,59800,60000,58900
Alaska,01,000000,0,2020,"41000000  ","Wholesale Trade",6500,6500,6500,6100,6000,6100,6100,6100,6100,6100,6000,6100,6200
Alaska,01,000000,0,2020,"42000000  ","Retail Trade",34200,33800,33800,30000,32000,33400,33500,33600,33600,34000,34600,34700,33400
Alaska,01,000000,0,2020,"42445000  ","Food & Beverage Stores",5400,5400,5400,5100,5200,5400,5500,5500,5400,5400,5300,5300,5400
Alaska,01,000000,0,2020,"43000000  ",Trans/Warehouse/Utilities,19700,20000,20000,18900,18300,18700,19000,19500,19500,19200,19200,19200,19300
Alaska,01,000000,0,2020,"43481000  ","Air Transportation",5800,5900,5900,5300,4300,4600,4600,4800,5000,4900,4900,5100,5100
Alaska,01,000000,0,2020,"50000000  ",Information,5200,5100,5100,4600,4800,4800,4800,4800,4900,4800,4800,4700,4900
Alaska,01,000000,0,2020,"50517000  ",Telecommunications,3500,3500,3500,3400,3500,3500,3500,3400,3500,3400,3400,3400,3500
Alaska,01,000000,0,2020,"55000000  ","Financial Activities",11100,11100,11100,10400,10600,10800,11000,11000,10900,10700,10700,10600,10800
Alaska,01,000000,0,2020,"60000000  ","Professional & Business Svcs",26900,27200,27400,24700,25500,25800,26100,26200,26100,25900,25500,25300,26100
Alaska,01,000000,0,2020,"65000000  ","Educational & Health Services",51200,51400,51300,45800,47400,48500,48500,48800,49000,49800,50000,50300,49300
Alaska,01,000000,0,2020,"65620013  ","Health Care",39200,39200,39200,35500,37000,37600,38000,37900,37900,38300,38500,38900,38000
Alaska,01,000000,0,2020,"70000000  ","Leisure & Hospitality",30300,31300,31000,17900,22800,27200,28600,28200,27400,26300,25100,24000,26700
Alaska,01,000000,0,2020,"70721000  ",Accommodation,6600,6800,6900,3900,4800,5900,6500,6600,6100,5300,4800,4900,5800
Alaska,01,000000,0,2020,"70722000  ","Food Svcs & Drinking Places",19600,20100,19700,11800,15300,18000,18700,18100,18000,17900,17500,16200,17600
Alaska,01,000000,0,2020,"80000000  ","Other Services",10800,10900,10800,8500,9600,10000,10300,10000,10100,10400,10200,10000,10100
Alaska,01,000000,0,2020,"90000000  ",Government,78700,80000,80300,76100,74900,73600,71000,75400,78100,78900,77700,77800,76900
Alaska,01,000000,0,2020,"90910000  ","Federal Government",14700,14700,15200,15600,15400,15600,15600,16800,16200,15400,14900,15000,15400
Alaska,01,000000,0,2020,"90920000  ","State Government",22500,23000,23100,22400,21500,21800,21700,22100,22700,22900,22800,22800,22400
Alaska,01,000000,0,2020,"90921611  ","State Education",6400,6800,6800,6100,4800,4800,4600,5100,5900,6200,6200,6200,5800
Alaska,01,000000,0,2020,"90930000  ","Local Government",41500,42300,42000,38100,38000,36200,33700,36500,39200,40600,40000,40000,39000
Alaska,01,000000,0,2020,"90931611  ","Local Education",22700,23500,23200,20400,19600,16800,14100,16600,19700,20600,20600,20500,19900
Alaska,01,000000,0,2020,"90931150  ","Tribal Government",4000,3900,3900,3700,4000,4300,4500,4800,4700,4900,4700,4700,4300
Alaska,01,000000,0,2019,"00000000  ","Total Nonfarm",309500,316400,317900,322400,334600,349400,355400,352200,343300,327700,317200,314500,330000
Alaska,01,000000,0,2019,"06000000  ","Goods Producing",35100,38900,39000,40000,40600,48500,57200,53300,47900,41800,36700,35200,42900
Alaska,01,000000,0,2019,"07000000  ",Service-Providing,274400,277500,278900,282400,294000,300900,298200,298900,295400,285900,280500,279300,287200
Alaska,01,000000,0,2019,"10000000  ","Mining and Logging",12600,12900,13100,13200,13300,13600,13700,13900,13600,13500,13300,13500,13400
Alaska,01,000000,0,2019,"10210000  ",Mining,12500,12800,12900,13000,13100,13400,13400,13600,13300,13200,13000,13300,13100
Alaska,01,000000,0,2019,"10210013  ","Oil & Gas",9700,10000,10100,9900,9700,10000,10000,10100,9800,9800,9800,10100,9900
Alaska,01,000000,0,2019,"20000000  ",Construction,13400,13800,14200,15200,17100,18600,19000,19300,18500,17500,15600,14900,16400
Alaska,01,000000,0,2019,"30000000  ",Manufacturing,9100,12200,11700,11600,10200,16300,24500,20100,15800,10800,7800,6800,13100
Alaska,01,000000,0,2019,"32311700  ","Seafood Processing",5500,8400,8000,7700,6000,12000,20300,15900,11700,6900,4000,3000,9100
Alaska,01,000000,0,2019,"40000000  ","Trade, Transportation, Utilities",60500,60400,61100,62500,66700,68500,69800,69600,67400,64500,62300,62100,64600
Alaska,01,000000,0,2019,"41000000  ","Wholesale Trade",6500,6600,6600,6500,6500,6600,6700,6700,6600,6600,6500,6600,6600
Alaska,01,000000,0,2019,"42000000  ","Retail Trade",34600,34100,34400,35000,36100,37000,37300,36900,36200,35300,35100,35000,35600
Alaska,01,000000,0,2019,"42445000  ","Food & Beverage Stores",5300,5300,5300,5400,5500,5700,5800,5800,5500,5400,5400,5500,5500
Alaska,01,000000,0,2019,"43000000  ",Trans/Warehouse/Utilities,19400,19700,20100,21000,24100,24900,25800,26000,24600,22600,20700,20500,22500
Alaska,01,000000,0,2019,"43481000  ","Air Transportation",5700,5800,5900,5900,6400,6600,6800,6800,6600,6200,6100,6100,6200
Alaska,01,000000,0,2019,"50000000  ",Information,5400,5400,5400,5400,5400,5400,5400,5300,5300,5300,5300,5300,5400
Alaska,01,000000,0,2019,"50517000  ",Telecommunications,3700,3700,3700,3700,3600,3700,3700,3600,3600,3600,3600,3600,3700
Alaska,01,000000,0,2019,"55000000  ","Financial Activities",11400,11300,11300,11400,11600,12400,12200,12200,11500,11400,11300,11200,11600
Alaska,01,000000,0,2019,"60000000  ","Professional & Business Svcs",26100,26800,26600,27200,28200,28700,29100,29400,28300,27500,27100,27000,27700
Alaska,01,000000,0,2019,"65000000  ","Educational & Health Services",50300,50600,50800,50800,50900,50800,50700,50900,50700,50900,51200,51400,50800
Alaska,01,000000,0,2019,"65620013  ","Health Care",38100,38400,38600,38500,38600,38800,38900,39100,38700,38900,39000,39300,38700
Alaska,01,000000,0,2019,"70000000  ","Leisure & Hospitality",30300,31100,31600,32500,38600,42800,44400,44500,40900,34600,31800,31400,36200
Alaska,01,000000,0,2019,"70721000  ",Accommodation,6400,6700,6800,7200,10000,12300,13200,13300,11500,8600,7200,7000,9200
Alaska,01,000000,0,2019,"70722000  ","Food Svcs & Drinking Places",20000,20300,20500,21000,22900,24100,24500,24700,23500,21200,20700,20500,22000
Alaska,01,000000,0,2019,"80000000  ","Other Services",10600,10700,10800,10900,11200,11400,11300,11100,11000,11000,11000,10900,11000
Alaska,01,000000,0,2019,"90000000  ",Government,79800,81200,81300,81700,81400,80900,75300,75900,80300,80700,80500,80000,79900
Alaska,01,000000,0,2019,"90910000  ","Federal Government",14300,14300,14500,14500,15200,15400,15300,15300,15300,14800,14600,14700,14900
Alaska,01,000000,0,2019,"90920000  ","State Government",23300,23800,24000,24200,22600,22800,22900,22800,23500,23300,23100,22600,23200
Alaska,01,000000,0,2019,"90921611  ","State Education",6800,7300,7400,7400,5400,5500,5200,5500,6600,6800,6800,6400,6400
Alaska,01,000000,0,2019,"90930000  ","Local Government",42200,43100,42800,43000,43600,42700,37100,37800,41500,42600,42800,42700,41800
Alaska,01,000000,0,2019,"90931611  ","Local Education",23500,24200,24000,24100,24100,22600,16900,17900,22200,23200,23700,23700,22500
Alaska,01,000000,0,2019,"90931150  ","Tribal Government",3900,4000,4000,3900,4200,4500,4600,4600,4300,4300,4300,4200,4200
Alaska,01,000000,0,2018,"00000000  ","Total Nonfarm",308000,314700,316300,319500,332800,347300,351400,349300,338500,326100,315800,313200,327700
Alaska,01,000000,0,2018,"06000000  ","Goods Producing",33800,37400,37800,38100,38900,46900,54900,51000,44400,40500,35600,34200,41100
Alaska,01,000000,0,2018,"07000000  ",Service-Providing,274200,277300,278500,281400,293900,300400,296500,298300,294100,285600,280200,279000,286600
Alaska,01,000000,0,2018,"10000000  ","Mining and Logging",12200,12300,12500,12400,12700,12900,12900,13000,12900,12800,12500,12800,12700
Alaska,01,000000,0,2018,"10210000  ",Mining,12100,12200,12300,12300,12500,12700,12700,12800,12600,12600,12300,12600,12500
Alaska,01,000000,0,2018,"10210013  ","Oil & Gas",9300,9300,9400,9300,9400,9400,9300,9300,9300,9400,9300,9600,9400
Alaska,01,000000,0,2018,"20000000  ",Construction,12600,13000,13500,14200,16000,17900,18400,18700,18100,17400,15500,14800,15800
Alaska,01,000000,0,2018,"30000000  ",Manufacturing,9000,12100,11800,11500,10200,16100,23600,19300,13400,10300,7600,6600,12600
Alaska,01,000000,0,2018,"32311700  ","Seafood Processing",5500,8600,8200,7700,6300,12000,19600,15200,9400,6400,3900,2800,8800
Alaska,01,000000,0,2018,"40000000  ","Trade, Transportation, Utilities",60500,60300,60700,62200,66500,68600,69100,69400,67000,64200,62500,62200,64400
Alaska,01,000000,0,2018,"41000000  ","Wholesale Trade",6300,6300,6300,6400,6500,6600,6600,6600,6500,6400,6400,6400,6400
Alaska,01,000000,0,2018,"42000000  ","Retail Trade",34800,34300,34300,34800,36200,37200,37400,37200,36400,35600,35800,35700,35800
Alaska,01,000000,0,2018,"42445000  ","Food & Beverage Stores",5400,5400,5300,5400,5600,5800,5800,5700,5600,5400,5400,5600,5500
