X,Y,OBJECTID,CommunityName,CommunityID,RoadConnection,Description,AsOfDate
624208.284516599,1628964.14697204,47,Boundary,{43437DA7-7BFD-4A06-844D-01F829F04C91},Yes,,2023/08/24 08:00:00+00
262872.57109151,1311332.9811816,51,Buffalo Soapstone,{2D6814D6-89F0-4625-BF64-3C6A59C5FA97},Yes,"Buffalo Soapstone is located off of the Glenn Highway. Commercial airlines serve the Anchorage International Airport, but the Palmer Municipal Airport supports private and chartered services. There are seven additional privately-owned airstrips in the vicinity. Float planes may land at nearby Finger Lake or Wolf Lake. The Alaska Railroad connects Palmer to Whittier, Seward, or Anchorage for ocean freight delivery.",2023/08/24 08:00:00+00
262843.234540305,1294542.00560752,52,Butte,{9A9D4747-657F-4044-BB90-7E45B94AB987},Yes,"Butte lies along the Old Glenn Highway. A public airstrip, owned and operated by the Butte Airman's Association, is available. The railroad and other means of transportation are also accessible in Palmer and Anchorage.",2023/08/24 08:00:00+00
254355.572007311,1501399.42060633,54,Cantwell,{E263C114-3707-494D-84BF-BCBDC754E133},Yes,"Cantwell is accessible by road, rail, and air. The George Parks Highway connects to Fairbanks and Anchorage, and the Denali Highway links Denali Park with the Richardson Highway during summer months only. A privately-owned dirt runway is open to the public. The town began as a stop on the Alaska Railway and the railroad still provides train service.",2023/08/24 08:00:00+00
210115.288997908,1344237.6523176,58,Caswell,{E52E36F1-45AB-411B-A62D-6EC2D3DD6E25},Yes,,2023/08/24 08:00:00+00
422843.028275784,1763917.53285218,59,Central,{5729F5A2-2D55-4611-8C20-838834BEA9AA},Yes,"The community is on the Steese Highway, by which residents can reach Fairbanks. Year-round maintenance by the Department of Transportation enabled goods to be delivered on a regular schedule by truck. A state-owned gravel airstrip is available. Boats are used for recreation and fishing. Snow machines and dog sleds are also used.",2023/08/24 08:00:00+00
305918.248261257,1698445.32948414,62,Chatanika,{02BC7C57-294A-400A-A4A4-7D06347BBF7D},Yes,,2023/08/24 08:00:00+00
373063.139231601,1699239.84797198,64,Chena Hot Springs,{7DF47FFB-F5ED-4B9D-A9F7-4B2DA1E989D1},Yes,,2023/08/24 08:00:00+00
285879.42225823,1664626.4506395,65,Chena Ridge,{ED0D2D29-01A6-4CF8-83BC-B974F9DDF83B},Yes,Chena Ridge is a CDP that is connected by road to the Fairbanks Northstar Borough. See the borough description for more information.,2023/08/24 08:00:00+00
289883.811011003,1325244.65001646,68,Chickaloon,{CF24E3C4-5B20-4D19-BAA0-498A17870CA8},Yes,"Chickaloon is accessible by the statewide highway system and a local road network. Goods are most often brought in from the Palmer/Wasilla area or Anchorage. There is a scheduled freight service, as well as a scheduled passenger service providing flag stop bus service on a route between Anchorage and Valdez. There is also a privately-owned runway.",2023/08/24 08:00:00+00
584807.021745509,1620860.55338054,69,Chicken,{0C46910A-CF22-422A-A69E-499EC6219D46},Yes,"During the summer months only, Chicken is accessible from Tok via the Taylor Highway or Dawson City in the Yukon Territory via the Top of the World Highway. A state-owned gravel airstrip is available. There is no gas station between Eagle and Chicken.",2023/08/24 08:00:00+00
477050.767528564,1432884.56382823,75,Chistochina,{72692AC5-B991-4B3E-A2AD-8EA498D7AF48},Yes,Chistochina is accessible year-round by the Glenn and Richardson Highways via the Tok Cutoff. Small aircraft may land at a state-owned turf/gravel airstrip.,2023/08/24 08:00:00+00
505210.692464188,1318323.26146793,76,Chitina,{5CD6634F-015C-4D3A-8F00-755FB6A3D186},Yes,"The Edgerton Highway and Richardson Highway link Chitina with the rest of the state road system. The state owns the Chitina Airport, with a gravel airstrip, 5 miles north of town along the Edgerton Highway.",2023/08/24 08:00:00+00
237716.200426471,1273503.83411811,78,Chugiak,{E1126274-8E5A-4696-914E-4CBC91C33643},Yes,Chugiak is located approximately 21 miles northeast of Anchorage on the Glenn Highway.,2023/08/24 08:00:00+00
453138.587430948,1797102.49217214,80,Circle,{98B27D83-9E27-4EE6-A6AB-CEED07523629},Yes,"Circle has direct road access to Fairbanks by way of the Steese Highway. Barges deliver goods by the Yukon River during summer. Residents use ATVs, snowmobiles, and dog sleds for recreation and subsistence activities. A state-owned gravel airstrip is available. Float planes land on the river. Circle participates in the federal Essential Air Service program, which helps pay for fights. The community is located 130 air miles from Fairbanks, and is 155 miles by road. The Circle Hot Springs is 41.6 miles from Circle.",2023/08/24 08:00:00+00
432584.182188562,1755425.55823639,81,Circle Hot Springs,{9D80642E-BFD8-4CC1-B095-333008C33407},Yes,,2023/08/24 08:00:00+00
260017.169094229,1295081.72304061,82,Circle View Stampede,{D002FD44-4D3F-4469-A0F3-C616C192C566},Yes,,2023/08/24 08:00:00+00
143381.640364235,1140419.32995447,83,Clam Gulch,{EC16CE1C-0D9C-429D-A6DE-133FCC9D3FF9},Yes,The Sterling Highway provides access to Anchorage and beyond. Nearby Kenai offers an airport and docking facilities.,2023/08/24 08:00:00+00
232703.191938075,1596422.62540636,85,Clear,{EDA4CF54-30B2-4BD0-9587-8C4C2B8F39D3},Yes,,2023/08/24 08:00:00+00
147297.591593765,1156546.05870085,87,Cohoe,{9F0FE231-3223-4A37-89B8-9182CD7AB22F},Yes,The Sterling Highway provides access to Anchorage. Kenai offers an airport and docking facilities.,2023/08/24 08:00:00+00
165268.751059972,1926764.27617386,89,Coldfoot,{1210EAEB-20DF-40DD-8BAB-A09C48AE9887},Yes,Coldfoot is located on the Dalton Highway. There is a state-owned gravel runway.,2023/08/24 08:00:00+00
293420.165039597,1668798.2876742,90,College,{BF7F929A-CAE2-486C-83EF-C7AF2FADFA2B},Yes,"Fairbanks provides jet service, railroad, and connection to the George Parks and Richardson Highways. The privately-owned Goldstream airstrip lies in College.",2023/08/24 08:00:00+00
229363.096929844,1174878.63973561,91,Cooper Landing,{CB929A5F-AF01-4DE3-8855-87193B97F75F},Yes,"The Sterling Highway provides access to Anchorage and beyond. Kenai offers air transportation and docking facilities. A privately-owned boat launch is available. The state-owned Quartz Creek Airport provides a gravel runway, and float planes may land at Cooper Lake.",2023/08/24 08:00:00+00
453408.873249887,1360664.78477063,92,Copper Center,{609CFD2F-EC75-4F32-BDD7-C33D0C9FECE2},Yes,Copper Center lies on the Richardson Highway. A state-owned gravel airstrip provides for chartered flights and general aviation.,2023/08/24 08:00:00+00
446096.899406404,1372723.64793617,93,Copperville,{2BE07C58-20E2-481E-BB3F-3CD55ACB44F9},Yes,The Richardson Highway connects the area to the remainder of the state. An airstrip is nearby at Brenwick's,2023/08/24 08:00:00+00
1007108.68796088,1181897.71287361,96,Covenant Life,{E4085300-359F-4509-9843-50524D6A0692},Yes,"The community is accessible by road from Haines and, from there, to the statewide highway system. The state ferry at Haines provides transportation to Skagway, Juneau, Southeast Alaska, and Seattle. Other transportation facilities are available at Haines.",2023/08/24 08:00:00+00
253928.986759285,1168042.73568521,99,Crown Point,{07E54FE2-DCBE-4AD4-8894-6E012A80DDB1},Yes,"The Seward and Sterling Highways provide access to Anchorage and beyond. The Lawing Airport serves Crown Point, in addition to the nearby Kenai and Seward airport and docking facilities.",2023/08/24 08:00:00+00
402016.95373835,1589787.53174982,102,Delta Junction,{763EEB4F-118C-4AEA-A931-D707FE999A12},Yes,"Delta Junction is located at the convergence of the Richardson and Alaska Highways, approximately 95 miles southeast of Fairbanks and 236 miles northeast of Anchorage. The city developed along the east bank of the Delta River, south of its junction with the Tanana River. Buses provide transportation to Fairbanks and Whitehorse. The state-maintained Delta Junction airport has a gravel runway in good condition. The U.S. Army maintains the Allen AAF airport, which has a asphalt runway. Plans are underway for joint use of the Allen Airfield on Fort Greely. Snowmobiles are used for recreation. Freight and mail are shipped by truck from Fairbanks.",2023/08/24 08:00:00+00
431612.624504383,1575600.45343026,103,Deltana,{AB4874F1-29EA-49F7-9573-6DC9A2C45F81},Yes,Deltana is accessible by the Alaska and Richardson Highways. Buses provide transportation to Fairbanks and Whitehorse. The City of Delta Junction airstrip is located nearby. There are five other privately-owned airstrips in the vicinity. Snowmobiles are used for recreation.,2023/08/24 08:00:00+00
244851.204268498,1554216.24330167,104,Denali Borough,{E39576F3-5473-4050-AD4E-430B55770A08},Yes,"The George Parks Highway provides access to Anchorage and Fairbanks year-round. The Denali Highway is open only during the summer, from Cantwell to Paxson, to provide a shorter route to the Alaska Highway. The Alaska Railroad also serves Interior Alaska. There are several airstrips within the borough. Tours by bus, aircraft, and helicopter operate during summer months. As of Spring 2014, several road enhancement projects were in progress to widen the road, create passing lanes, and add intersections. This project was intended to enchance public safety and support construction of natural gas pipeline by improving the road.",2023/08/24 08:00:00+00
137079.18021596,1078591.90157087,105,Diamond Ridge,{C8495E9B-FA1E-4A9D-90EA-248D8DB63522},Yes,"The Sterling Highway provides access to Anchorage. Nearby Homer offers an airport, state ferry access, and docking and boat-launching facilities.",2023/08/24 08:00:00+00
489565.635201638,1557989.91244552,108,Dot Lake,{03A313E3-0987-4B72-8EC9-6C92E01A12A2},Yes,"Dot Lake lies along the Alaska Highway. Supplies are brought in by truck or bus. Regular bus service to Fairbanks and Delta Junction is available. The nearest public airstrips are at Delta Junction and Tok; a privately-owned strip in Dot Lake was converted to a helicopter landing pad. Cars, trucks, snow machines, and ATVs are used for local transportation. A few residents own riverboats on the near-by Tanana River, which they use for fishing and hunting.",2023/08/24 08:00:00+00
490071.142611037,1557800.75447036,109,Dot Lake Village,{4B63BED6-48D5-4881-B4C0-D73B0D2651F2},Yes,"Dot Lake lies along the Alaska Highway. Supplies are brought in by truck or bus. Regular bus services to Fairbanks and Delta Junction are available. The nearest public airstrips are at Delta Junction and Tok. Cars, trucks, snow machines, and ATVs are used for local transportation. Dot Lake is not accessible by water, since the Tanana River is over 2 miles away. A few residents own riverboats which they use for fishing and hunting.",2023/08/24 08:00:00+00
462740.521621466,1556002.91143198,111,Dry Creek,{64B2729B-A777-4917-9D20-77822FE68CFE},Yes,"Dry Creek lies on the Alaska Highway, which provides access to the statewide road system. The nearest airstrips are at Delta Junction and Tok. Dry Creek Community has a gravel airstrip.",2023/08/24 08:00:00+00
1038667.57136345,1200901.60761105,112,Dyea,{8D61F020-CB6F-45AE-85C5-2086F72C61F4},Yes,,2023/08/24 08:00:00+00
604270.153138677,1705897.93684688,113,Eagle,{99E4149C-E691-4714-88EC-9EDCEF72C195},Yes,"Eagle has access to the state road system and Canada only during summer months via the Taylor and Top of the World Highways. It's located 370 miles by road from Fairbanks, or 198 air miles. A state-owned gravel airstrip is available; flights originate from Fairbanks. Goods are shipped in by air during the winter months. The community is located on the banks of the Yukon River and some residents own boats.",2023/08/24 08:00:00+00
237525.488448193,1267348.44888482,114,Eagle River,{4B5629C0-F411-485E-B5C2-E5C9EADD9869},Yes,Eagle River-Chugiak is now part of the Municipality of Anchorage with access to the same transprotation infrastrucure as Anchorage.,2023/08/24 08:00:00+00
612762.782281341,1702592.27570171,115,Eagle Village,{F6BC6030-25E0-4E0A-BA46-B294A0338BDA},Yes,The village has access to the state road system and Canada only during summer months via the Taylor and Klondike Highways. Eagle Village located about 3 miles downriver along the Yukon River from Eagle.,2023/08/24 08:00:00+00
329641.524476165,1651455.25649912,120,Eielson AFB,{A74F371F-C334-4DC3-88A4-A4FCC1B1E8FD},Yes,The base has an airstrip for military craft. Nearby Fairbanks offers jet service and railroad connections. The Richardson Highway connects the base to the statewide road system.,2023/08/24 08:00:00+00
246213.764030925,1284301.7030295,121,Eklutna,{CA7C607D-F2E8-455F-8B9F-08F7B2BB7215},Yes,"The village lies on the highway between Anchorage and Palmer and therefore has ready access to a variety of transportation services in those communities. Two privately-owned airstrips, as well as the Alaska Railroad system, are located in the area.",2023/08/24 08:00:00+00
285219.862264316,1667877.2286641,127,Ester,{C975E5F6-90CB-420B-9766-C43941847789},Yes,Ester has access to the statewide highway system and to all Fairbanks transportation facilities.,2023/08/24 08:00:00+00
281272.449231142,1670197.82040574,128,Ester Dome,{F4459E94-16D4-4F7F-B434-DF84BF0E2AD9},Yes,,2023/08/24 08:00:00+00
356848.823562538,1347480.28969281,129,Eureka Roadhouse,{463333A9-778A-4087-B2B6-C834DF7F1809},Yes,,2023/08/24 08:00:00+00
297451.122482249,1667250.52584127,133,Fairbanks,{7102AFBB-6F0A-4C7A-92FF-6F5A6D66AB18},Yes,"Fairbanks is at the confluence of the Richardson Highway, George Parks Highway, Steese Highway, and Elliott Highway, connecting the Interior to Anchorage, Canada, and the lower 48 states. The Dalton Highway to Prudhoe Bay begins about 75 miles north of town. Goods are transported to Fairbanks by truck, air, and the Alaska Railroad. Regularly-scheduled jet flights are available at the state-owned Fairbanks International Airport. An asphalt runway and a gravel landing strip, heliport, and seaplane landing area are available. A public seaplane base is also located on the Chena River. In addition, there are several privately-owned airstrips and heliports in the vicinity. The Fairbanks North Star Borough Comprehensive Recreational Trail Plan program (CRTP) includes year-around multi-use motorized recreational trail corridors throughout the borough. The CRTP recognizes 36 multi-use motorized recreational trails ranging over 717 linear miles.",2023/08/24 08:00:00+00
297183.015943376,1667834.53924264,134,Fairbanks North Star Borough,{B5ACCECA-F853-4F79-AD96-1CCA33463183},Yes,"Fairbanks is at the confluence of the Richardson Highway, George Parks Highway, Steese Highway, and Elliott Highway, connecting the Interior to Anchorage, Canada, and the lower 48 states. The Dalton Highway to Prudhoe Bay begins about 75 miles north of town. Goods are transported to Fairbanks by truck, air, and the Alaska Railroad. Regularly-scheduled jet flights are available at the state-owned Fairbanks International Airport. An asphalt runway and a gravel landing strip, heliport, and seaplane landing area are available. A public seaplane base is also located on the Chena River, and there are several privately-owned airstrips and heliports in the vicinity. The Fairbanks North Star Borough also has 36 multi-use motorized recreational trails ranging over 717 linear miles. These trails are built and maintained year-round through the borough Comprehensive Recreational Trail Plan program.",2023/08/24 08:00:00+00
256231.649025432,1305085.0355838,136,Farm Loop,{803C9DC0-CB68-4FB4-8746-A65C69A5905F},Yes,"Farm Loop is located off of the Glenn Highway. Commercial airlines serve the Anchorage International Airport, but the Palmer Municipal Airport supports private and chartered services. There are several additional privately-owned airstrips in the vicinity. Float planes may land at nearby Finger Lake or Wolf Lake. The Alaska Railroad connects Palmer to Whittier, Seward, or Anchorage for ocean freight delivery.",2023/08/24 08:00:00+00
295068.174974073,1672639.25755778,137,Farmers Loop,{69F4E278-CF90-4297-B76E-3E6C8AF33FFF},Yes,Farmers Loop is a suburb due north of Fairbanks. It is named for and centered on Farmers Loop Road.,2023/08/24 08:00:00+00
238269.989945074,1570151.72772141,138,Ferry,{6271DC39-C422-443B-AB71-71A2246047FD},Yes,"From the George Parks Highway, road access is available only on privately-owned railroad or university land. Most residents park their cars on a private lot and walk into Ferry, across a railroad bridge and catwalk. Students are taken by ATV across the river to the school bus.",2023/08/24 08:00:00+00
250361.251578821,1310626.54739092,139,Fishhook,{90DA2B6B-1B09-4D7A-A466-E6B55B21AEE8},Yes,"The George Parks Highway, Glenn Highway, and other local roads connect the area to Anchorage, the remainder of the state, and Canada. The Alaska Railroad serves the Fairbanks to Seward route. The Wasilla and Palmer airports provide scheduled commuter and air taxi services. Float planes land at Wasilla Lake, Jacobsen Lake, and Lake Lucille. There are ten additional private airstrips in the vicinity. Commercial jet flights are operated out of Anchorage International Airport.",2023/08/24 08:00:00+00
403401.069467337,1583732.90025987,142,Fort Greely,{025A0F26-3C9F-4F08-ADB2-F18FEC8DF739},Yes,The Richardson Highway provides access to Fairbanks and the statewide road system. The Allen Airfield has a asphalt runway but is restricted to military aircraft.,2023/08/24 08:00:00+00
301242.361861717,1666283.73876794,143,Fort Wainwright,{3D0376C5-5127-4959-91EA-4BDA2B041AD6},Yes,The base is connected to the Fairbanks area by road. ,2023/08/24 08:00:00+00
233383.627890657,1635058.91387974,145,Four Mile Road,{1A2DC081-51F5-4F8F-AE9B-516B4A83C31C},Yes,"Nenana is three miles to the south along the George Parks Highway and has excellent air, river, road, and railroad access. The railroad provides daily freight service. The Nenana Municipal Airport offers a lighted runway, with float plane and ski plane landing areas. The Nenana Port Authority operates the dry cargo loading and unloading facilities, dock, bulkhead, and warehouse.",2023/08/24 08:00:00+00
301046.446744987,1680858.24702788,146,Fox,{DF0AA24E-FAFB-4033-9E30-014BC53D341A},Yes,The area's highways provide access to the statewide road system. Nearby Fairbanks is 11 miles south of Fox and offers jet and railway services.,2023/08/24 08:00:00+00
151373.868896011,1084665.79179957,148,Fritz Creek,{4B339CC2-7B7F-4B2F-8003-C1DE90E459CD},Yes,"East End Road provides road access to Homer. Nearby Homer offers an airport, harbor and docking facilities, and a state ferry landing.",2023/08/24 08:00:00+00
177179.719791345,1172748.87623511,149,Funny River,{CF70B6E1-31BB-4019-97D8-DD470A6AD914},Yes,The Soldotna and Kenai airports serve local air traffic. The Sterling Highway provides access to Anchorage and other destinations.,2023/08/24 08:00:00+00
448520.690108933,1399145.12097839,150,Gakona,{ED284F88-6827-4DC4-B028-5F0BFA6CF129},Yes,"Gakona is at the confluence of the Copper and Gakona Rivers, 15 miles northeast of Glennallen. It lies at mile 2 on the Tok Cut-Off to the Glenn Highway, just east of the Richardson Highway.A paved runway is available at nearby Gulkana.",2023/08/24 08:00:00+00
251773.457253135,1297369.84145519,154,Gateway,{A1A00D41-E402-42E4-B4DE-FF2EE4036F66},Yes,"The George Parks Highway, Glenn Highway, and other local roads connect the area to Anchorage, the remainder of the state, and Canada. The Alaska Railroad serves the Fairbanks to Seward route. The Wasilla and Palmer airports provide scheduled commuter and air taxi services. Float planes land at Wasilla Lake, Jacobsen Lake, and Lake Lucille. There are ten additional private airstrips in the vicinity. Commercial jet flights are operated out of Anchorage International Airport.",2023/08/24 08:00:00+00
262653.505677014,1230166.70557979,156,Girdwood,{CD547D99-6D12-4842-81D6-4087A40EA80A},Yes,Girdwood has a gravel airstrip. Nearby Anchorage provides a number of transportation options. Girdwood is 38 miles on the Seward highway from Anchorage.,2023/08/24 08:00:00+00
329327.55058675,1328445.60885091,157,Glacier View,{723F2211-DF24-4A26-B478-AC2F7B43D3AF},Yes,Glacier View is located on the Glenn Highway. A state-owned airfield is located at Sheep Mountain Lodge. Residents also use the transportation facilities of Palmer or Anchorage.,2023/08/24 08:00:00+00
439627.705608474,1376652.70899664,158,Glennallen,{0F6D14AC-19B0-4FFB-87AF-FBC82152C2A8},Yes,"Glennallen is located at milepost 187 on the Glenn Highway, northeast of Anchorage and just west of the junction with the Richardson Highway. It is the supply hub of the Copper River region. The Gulkana Airport, five miles northeast of Glennallen, provides scheduled flights to Anchorage and McGarthy.",2023/08/24 08:00:00+00
447305.30663745,1574535.33119065,159,Gold Sand Acres,{A4C10B55-783B-407A-899A-082F370C4AE8},Yes,,2023/08/24 08:00:00+00
289077.955790433,1676279.94651655,160,Goldstream,{C63A334D-9CE5-410F-9042-CB548BBECC87},Yes,"Goldstream is a suburb of Fairbanks and is located on Goldstream Road, approximately 14 miles north of the city.",2023/08/24 08:00:00+00
445413.909114173,1394980.4832258,164,Gulkana,{5A851423-1D34-45BF-9EE7-8765E762667F},Yes,The Richardson Highway passes close by the village and is maintained year-round. Gulkana is 191 miles east of Anchorage. A state-owned asphalt runway is available at the Gulkana Airport.,2023/08/24 08:00:00+00
1041546.65601907,1173104.96179083,166,Haines Borough,{EE7CEC95-7451-4BA9-B25F-B1C7F2362518},Yes,"Haines is a major trans-shipment point because of its ice-free, deep water port and dock and year-round road access to Canada and Interior Alaska. It is a northern terminus of the Alaska State Ferry System and a hub for transportation to and from southeast Alaska. Haines has an asphalt airport runway and a landing area for float planes.",2023/08/24 08:00:00+00
1041546.65601907,1173104.96179083,167,Haines Borough,{EE7CEC95-7451-4BA9-B25F-B1C7F2362518},Yes,"Haines is a major trans-shipment point because of its ice-free, deep water port and dock and year-round road access to Canada and Interior Alaska. It is a northern terminus of the Alaska State Ferry System and a hub for transportation to and from southeast Alaska. Haines has an asphalt airport runway and a landing area for float planes.",2023/08/24 08:00:00+00
125967.131336441,1107168.56440516,170,Happy Valley,{452DEEAD-0063-4786-BCAF-5835043C441F},Yes,"The Sterling Highway provides a route to Anchorage and the statewide highway system. Nearby Homer offers an airport, harbor and dock, and state ferry landing.",2023/08/24 08:00:00+00
298806.233639095,1699080.3309055,172,Haystack,{B043E26D-53A6-4E96-8A4B-7A5E4AE142C0},Yes,,2023/08/24 08:00:00+00
244851.204268498,1554216.24330167,173,Healy,{8905A89B-A676-4C0A-BEB5-C17AD570F833},Yes,Healy is located on the George Parks Highway 110 miles south of Fairbanks. Cargo is delivered by rail or truck. The state-owned Healy River Airport has an asphalt runway. Local services provide helicopter or air tours of the Denali Park. Companies based in Anchorage and Fairbanks also provide bus tours to the park.,2023/08/24 08:00:00+00
138629.431092521,1075412.72159425,178,Homer,{74B62695-129C-4E06-A228-C50EFCC9A872},Yes,"Homer is accessible through the Sterling Highway. It is often referred to as 'The End of the Road,' because it lies at the terminus of the Sterling Highway. The state owns and operates the Homer Airport, which has an asphalt runway and float plane basin and a seaplane base at Beluga Lake. The city is served by scheduled and chartered aircraft services. There are additional private landing strips in the vicinity. The Alaska Marine Highway and local ferry services provide water transportation. The deep-water dock can accommodate 30-foot drafts and 340-foot vessels. There is a cruise ship dock, a boat harbor with moorage for 920 vessels, and a 4-lane boat launch ramp.",2023/08/24 08:00:00+00
236419.301095638,1222751.1515791,181,Hope,{B94A5304-F56C-49FE-A615-8E72E73F6255},Yes,Hope is accessible from the Seward Highway and is 88 miles from Anchorage. A state-owned gravel airstrip is available. Both nearby Anchorage and Kenai offer a variety of transportation services.,2023/08/24 08:00:00+00
221714.696270084,1301745.84373663,182,Houston,{15846556-C6AB-448D-B51D-2DE0E8727969},Yes,Houston lies on the Parks Highway and the Alaska railroad north of Anchorage. Full air service is available at Anchorage International Airport. Other local air service is available at Mat-Su's small airports. A local seaplane base exists on Morvro Lake.,2023/08/24 08:00:00+00
1465088.61804823,923484.211796796,186,Hyder,{BC2CDE0E-83BC-4AC5-8095-1EB202D71049},Yes,"Hyder has a seaplane base that opens in Portland Canal. Hyder is connected to Canada's highway system, which makes it accessible by road. Combined port facilities for Hyder and Stewart provide a deep draft, ice-free port capable of handling large cargo barges. The Arrow/Cassiar Barge Ramp provides a hydraulic barge ramp, intermodal transit, and gravel storage area. Stewart Bulk Terminals are located between Hyder and Stewart, and provide 800 feet of berth face. Facilities include a 750 ton-per-hour bulk ship loader and covered storage. Deep sea log export facilities are also available. sediment. As of July 2012, Stewart was in the permitting phase of a $50 million port project which would expand existing facilities and provide a multipurpose port capable of supporting barge access, mineral concentrate loading, roll-on/roll-off cargo vessels, and break bulk cargo.",2023/08/24 08:00:00+00
224056.214300624,1259961.58589164,193,Joint Base Elmendorf-Richardson,{3A66DA74-669C-477F-B7DF-732C814AA38A},Yes,,2023/08/24 08:00:00+00
142995.216227501,1077791.26665928,195,Kachemak,{3D257994-65F8-4489-A35E-C42F284CB327},Yes,"Local roads connect Kachemak to the Sterling Highway. Nearby Homer has an airport, harbor/dock, and state ferry access. Kachemak City's roads are all public access roads that are maintained by the State or by neighborhood associations. The city does subsidize maintenance and improvement of privately maintained roads by partially reimbursing the neighborhood associations, on a matching grant basis, for work they accomplish.",2023/08/24 08:00:00+00
163610.124814811,1092933.37341036,196,Kachemak Selo,{42DB4ABE-BFBA-4450-A725-03EE74F34A74},Yes,,2023/08/24 08:00:00+00
156453.254663933,1170083.70777103,200,Kalifornsky,{644B47A1-3B29-48C4-8EF0-4585B2204F2E},Yes,Access to the Sterling Highway exists. Nearby Kenai offers an airport and boating facilities.,2023/08/24 08:00:00+00
150947.041884566,1151749.7363287,206,Kasilof,{CB8D5160-2521-4803-9207-2BBA48832C17},Yes,"Kasilof lies on the Sterling Highway, which provides road access to Anchorage, 162 road miles to the north. The state owns and operates a gravel airstrip, and there are three additional private airstrips in the vicinity. The nearest airport with scheduled commercial service is approximately 20 road miles north in the City of Kenai, which also offers docking facilities. At Kasilof, there is a boat launch on the Kasilof River, and DNR is planning the addition of a second boat launch to facilitate sport fishing on the lower Kasilof River.",2023/08/24 08:00:00+00
150304.99635841,1177925.70109076,207,Kenai,{C4939227-7B0D-42C1-9C0D-69118EE45B96},Yes,"Kenai has access to the Sterling Highway. The City-owned Kenai Municipal Airport provides a grooved asphalt runway, gravel strip, and a water runway at the float plane basin. A flight service station is available. Float plane facilities are also available at Island Lake and Arness Lake. There are five additional privately-owned airstrips in the vicinity. The Kenai City Dock and boat ramp are located near the mouth of the Kenai River. There are also a number of private commercial fish processing docks. Moorage is by buoys anchored in the Kenai River.",2023/08/24 08:00:00+00
