OBJECTID,CommunityName,Erosion_Ranking,Flood_Ranking,Permafrost_Ranking,Weighted_Total,Flood_Group,Erosion_Group,Permafrost_Group,Threat_Assessemt_Rank,Status14c3,MunicipalLandTrust,Status,TOTAL_SCORE,DataYear,Season,Key_Hazard_Threat,Hazards_Summary,Risk_MAP_Community_,NFIP_Community_
33,McGrath,32,35,19,86,1,1,3,12,Completed,No,,68,2020,Fall,"Flooding
Riverine erosion","McGrath experiences flood, erosion, severe weather, subsidence due to permafrost degradation, and wildland fire. Flooding causes the greatest threat to the community.  McGrath�s location on the inside of an oxbow on the Kuskokwim River makes the village vulnerable to ice jams and stream overflow flooding from the Kuskokwim River. Flooding is a regular occurrence in McGrath; there has been significant flood events nearly every decade since the 1920s, with the most damaging event taking place in 1991 when 65 structures were inundated, and a State Disaster was declared with Preliminary Damage Assessments of more than $2 million for Individual Assistance and $7.4 million in total Public Assistance for damage to buildings and equipment.  McGrath was included in Federally-Declared Disasters in  2002 (DR-1423), 2005 (AK-05-213), and 2009 (DR-1843). McGrath is also threatened by erosion, which is occurring all along the Kuskokwim riverbank. During spring break-up, the thawed riverbank is especially vulnerable to erosion.  There are currently 21 residences; 17 various structures, such as sheds and workshops; 10 commercial buildings; and over 21 public structures and infrastructure within 100 feet of the eroding river bank. ",No,No
34,Kivalina,51,41,24,116,1,1,3,3,,,,62,2020,Fall,"Flooding
Coastal erosion","The barrier island on which Kivalina is located has long been subject to the processes of accretion and erosion. Residents of the community have expressed concerns about storm surges and erosion since soon after the community was first established. A longer ice-free period that makes the village vulnerable to dangerous fall storms.  Storm events in 2004 and 2005 eroded the Chukchi Sea shoreline, threatening critical infrastructure and facilities including the community fuel tank farm, school and airstrip. Chronic erosion on the lagoon side of the island has threatened homes, which are in danger of falling into the lagoon. On the seaside of the island, fall storm surges create annual coastal flooding and beach erosion.",No,Yes
35,Nulato,23,30,26,79,1,3,2,45,Completed,No,,45,2020,Fall,,,,
36,Hydaburg,,,,,,,,,Not Completed,No,,48,2020,Fall,,,,
37,Ekwok,19,19,0,38,2,3,3,101,Completed,No,,70,2020,Fall,,,,
38,Kokhanok,19,19,0,38,,,,,Completed,Yes,Completed,60,2020,Fall,,,,
39,Akutan,,,,,,,,,Not Completed,No,,70,2020,Fall,,,,
40,Diomede,30,30,19,79,2,2,3,47,Not Completed,No,,37,2020,Fall,"Severe weather
Sea ice loss","Diomede is subject to severe weather, erosion, flooding, however a reduction in Bering Sea ice has most significantly impacted the community�s well-being and safety. One of the most remote communities in the United States, Diomede is located on the west coast of Little Diomede Island in the middle of the Bering Strait. The village has relied on shore-fast sea ice in the winter to provide a landing strip for planes transporting residents and delivering medicine and essential supplies. For generations, local hunters have relied upon sea ice to provide access to walrus, a main staple for Diomede families who depend largely on subsistence food from the ocean to survive. Recent changes in sea ice extent and weather patterns have severely decreased access to walrus and other subsistence resources, and limited air travel to helicopter service. A reduction in sea ice has made the village increasingly vulnerable to extreme weather events.   Cyclonic and anti-cyclonic storms frequently create damaging ocean swells that batter the village.  These events have damaged local utility and power plants resulting in loss of power to homes, the school, and the store. Diomede has been part of disaster declarations due to severe weather in 1990 and 2004 and for utility failure (water, power) in 1991, 2003 and 2013.  ",No,No
41,Kasigluk,19,19,30,68,3,3,2,90,Not Completed,Yes,No,33,2020,Fall,,,,
42,Noatak,34,22,34,90,2,1,1,25,Not Completed,Yes,No,52,2020,Fall,,,,
43,Shaktoolik,49,50,22,121,1,1,3,1,Completed,No,,55,2020,Fall,"Coastal erosion
Flooding
Severe weather","Shaktoolik experiences erosion, flooding and severe weather.  The community�s location leaves it vulnerable to erosion when fall storms hit the sand and gravel spit where the village is located. There is no breakwater to protect the village from destructive waves from Norton Sound when storms come from the south. Considerable coastline erosion in the community occurred during recent storms in 2003, 2004, and 2005.   

Most of the Shaktoolik community and surrounding area lie within the 100-year floodplain. The village is extremely vulnerable to coastal sea storms. Erosion during flooding damaged the village airstrip so extensively it was replaced. In October 2011, the U.S. Army Corps of Engineers completed a coastal flooding analysis of Shaktoolik. The analysis indicated that in a 1% (or 100-year) flood event, the storm water level would overtop the entire community. There are no structures in the village with a finished flood elevation higher than the 100-year storm level.",Prioritized 2018,No
44,Tanana,22,26,21,69,3,2,2,67,In Process,No,,40,2020,Fall,,,,
45,Newtok,52,42,49,143,2,1,1,7,Not Completed,Yes,No,28,2020,Fall,"Riverine erosion
Permafrost degradation","Newtok is threatened by erosion, flooding, severe weather and subsidence due to permafrost degradation. Impacted by severe erosion since the 1980s, Newtok was advised that relocation would be more feasible than protecting-in-place over the long-term.  The community made the decision to relocate in the early 1990s and in 2003, after a lengthy negotiation process, Newtok Native Corporation completed a land exchange  with the federal government for land on the north side of Nelson Island known as Mertarvik.  The community has actively pursued relocation to Mertarvik since 2006.  In October 2109, approximately one-third of Newtok�s current population will move permanently to Mertarvik, a major milestone in the village relocation effort.

Severe erosion has set in motion a range of adverse impacts to the community�s safety and well-being.  Loss of the land buffer separating Newtok and the Ninglick River has made the village extremely vulnerable to storms moving in to the Ninglick River from the Bering Sea.  Flooding and storm surges have become much more frequent in recent years.  Erosion has claimed critical infrastructure such as Newtok�s barge landing, boat docks and solid waste site.  Sediment from the eroding Ninglick River has infilled the one remaining point of water access to the community, subverting barge access  and impeding delivery of critical supplies, fuel and food. Newtok residents, particularly the very young and elderly, are experiencing significant public health problems because there is no proper way to handle human or solid waste. Erosion threatens the lake providing Newtok�s potable water.  When this is lost, there will be a public health crisis in Newtok.",No,No
46,Wainwright,33,26,34,93,3,3,1,63,Not Completed,No,,35,2020,Fall,,,,
47,Koliganek,19,19,21,59,2,3,3,83,Completed,Yes,Completed,45,2020,Fall,,,,
48,Saint George,22,19,0,41,2,3,3,99,Completed,No,,45,2020,Fall,,,,
49,Unalakleet,45,40,22,107,1,1,3,8,Completed,No,,72,2020,Fall,"Erosion
Flooding
Severe weather","Unalakleet is threatened by flooding, erosion, severe weather and wildland fire.  The entire community of Unalakleet is at risk of flooding and the coastal area is at risk of storm surges and wave scouring.  The community has been included in several State and Federally-Declared Disasters over the past two decades: 2003 Fall Sea Storm (AK-04-209) Declared January 29, 2004, 2004 Bering Strait Sea Storm declared October 28, 2004 by the State of Alaska then federally declared (DR-1571) on November 15, 2004, and 2005 West Coast Storm declared October 24, 2005 by the State of Alaska then federally declared (DR-1618) on December 9, 2005.  The community s impacted by erosion on both the ocean side (Norton Sound) and from the Unalakleet River.",Prioritized 2018,No
50,Atqasuk,23,0,34,57,3,3,1,94,Not Completed,No,,35,2020,Fall,,,,
51,Levelock,26,19,0,45,3,1,3,68,Completed,Yes,Completed,100,2020,Fall,,,,
52,Marshall,23,22,32,77,2,3,2,52,Not Completed,No,,63,2020,Fall,,,,
53,Point Lay,21,25,39,85,3,3,1,72,Not Completed,Yes,No,35,2020,Fall,,,,
54,Klawock,,,,,,,,,Not Completed,No,,70,2020,Fall,,,,
55,Nunam Iqua,20,20,34,74,3,2,1,62,Not Completed,No,,68,2020,Fall,,,,
56,Holy Cross,19,26,30,75,2,3,2,61,Completed,,,90,2020,Fall,,,,
57,Chignik Lagoon,22,35,0,57,2,2,3,,Completed,Yes,Completed,40,2020,Fall,,,,
58,Igiugig,29,3,0,32,3,2,3,98,Completed,Yes,Completed,35,2020,Fall,,,,
59,Kiana,22,0,32,54,3,3,1,96,,,,92,2020,Fall,,,,
60,Stebbins,26,45,32,103,1,3,1,39,Completed,No,,22,2020,Fall,,,,
61,Alakanuk,31,44,24,99,1,1,2,6,Completed,No,,35,2020,Fall,"Flooding
Riverine erosion","Alakanuk is subject to severe storm events, flooding, river bank erosion and destabilization, and wildfires. Flooding and riverine erosion are significant hazard threats to Alakanuk.  The US Army Corps of Engineers (USACE) has designated Alakanuk as a high-flood hazard community, with the entire community vulnerable to the effects of flooding. Ice jams on the Yukon River frequently flood the community. In a 2013 flood event, flood water was two to three feet deep in some areas of the community. Three or four homes had water in them and the residents of these homes were evacuated. The sewage lagoon was inundated, and it was noted that some propane tanks were floating in town. The highest water level on record took place in 1952 when water flood water was approximately five feet deep in the highest part of the old village.  In 1975, riverine erosion destroyed Alakanuk�s cannery and led to the relocation of many homes in the village. In 1993, 20 feet of bank eroded in one day. ",Yes,No
62,Circle,21,35,25,81,1,2,1,17,Completed,Yes,Completed,75,2020,Fall,"Flooding
Permafrost degradation","Circle is susceptible to severe road surface damage and erosion from heavy rainfall, snowmelt, and spring run-off. Ice jams and spring run-off flooding causes the most damages to the community. In 1989,  property below the central part of the community was lost to significant erosion.  Some residents lost 25 feet of property with erosion increased by seasonally high river levels.
All the soils of the Circle vicinity are highly predisposed to frost heaving. Large areas of nearly level soils on the alluvial plains are underlain by permafrost, as are most of the soils in upland drainageways and depressions. Removal of the insulating organic mat causes thawing of the upper part of the permafrost. ",,
63,Saxman,,,,,,,,,Not Completed,No,,55,2020,Fall,,,,
64,Nome,37,38,24,99,1,1,1,27,Completed,No,,50,2020,Fall,,,No,Yes
65,Adak,,,,,,,,,,,,65,2020,Fall,,,,
66,Craig,,,,,,,,,Completed,No,,70,2020,Fall,,,,
67,Beaver,19,19,27,65,2,3,2,75,Not Completed,Yes,No,25,2020,Fall,,,,
68,Nenana,19,44,19,82,1,2,3,36,Completed,No,,52,2020,Fall,,,No,Yes
69,Kaktovik,24,21,36,81,3,2,1,49,Completed,No,,35,2020,Fall,,,,
70,Saint Michael,43,30,34,107,3,1,1,18,Not Completed,No,,58,2020,Fall,"Erosion
Permafrost degradation",,,
71,Upper Kalskag,20,28,24,72,3,2,2,54,Not Completed,No,,77,2020,Fall,,,,
72,Buckland,23,29,39,91,1,2,1,31,,,,82,2020,Fall,,,,
73,Pitkas Point,19,19,26,64,2,3,2,76,Completed,Yes,Completed,57,2020,Fall,,,,
74,Port Lions,24,19,0,43,,,,,Completed,No,,75,2020,Fall,,,,
75,Tununak,28,39,29,96,2,1,2,41,Not Completed,Yes,No,67,2020,Fall,,,,
76,Lower Kalskag,32,28,21,81,3,2,2,53,Completed,No,,82,2020,Fall,,,,
77,Hughes,20,40,21,81,1,2,2,15,Completed,No,,70,2020,Fall,Flooding,,,
78,Northway Village,,,,,,,,,Not Completed,Yes,,95,2020,Fall,,,,
79,Sleetmute,19,37,0,56,1,3,3,71,Not Completed,Yes,Partial,50,2020,Fall,,,,
80,Kobuk,21,26,21,68,2,3,2,64,,,,68,2020,Fall,,,,
81,Minto,0,0,21,21,,,,,Not Completed,Yes,Partial,20,2020,Fall,,,,
82,Akiachak,22,32,29,83,1,3,2,43,Not Completed,Yes,No,45,2020,Fall,,,,
83,Nikolski,,,,,,,,,Not Completed,Yes,No,20,2020,Fall,,,,
84,Kwethluk,24,27,26,77,1,2,2,28,Not Completed,,,33,2020,Fall,,,No,Yes
85,Karluk,,,,,,,,,Completed,Yes,Completed,90,2020,Fall,,,,
86,Pedro Bay,19,19,0,38,,,,,Completed,Yes,Completed,100,2020,Fall,,,,
87,New Stuyahok,25,19,21,65,2,3,2,73,Completed,No,,73,2020,Fall,,,,
88,Takotna,19,19,26,64,3,3,2,92,Completed,Yes,Completed,39,2020,Fall,,,,
89,Saint Paul,20,19,0,39,3,2,3,100,Completed,No,,50,2020,Fall,,,,
90,Manley Hot Springs,19,25,24,68,3,1,3,48,Completed,Yes,Completed,30,2020,Fall,,,,
91,Emmonak,27,37,27,91,1,1,2,11,Not Completed,No,,50,2020,Fall,"Flooding
Riverine erosion","Emmonak is impacted by flooding, erosion and severe winter storm events. Emmonak is located on Kwiguk Pass, which is a vast tributary to the Yukon River. For years, the riverbank has continually eroded away after each spring thaw as debris, ice, and excess water continue to pound the shoreline. The community has previously placed rip rap to secure areas of the riverbank, but erosion continues further upstream as the banks are left exposed to the elements. Infrastructure within 300 feet of the riverbank is threatened by this erosion. Flooding in Emmonak is widespread. Multiple areas within the village will flood simultaneously due to the low-lying terrain throughout the community. In 2013, Emmonak was part of the Presidentially-Declared Disaster (DR-4122) due to ice jam flooding.",Yes,Yes
92,Atka,,,,,,,,,Completed,No,,55,2020,Fall,,,,
93,Platinum,20,20,0,40,,,,,Not Completed,No,,30,2020,Fall,,,,
94,Kipnuk,23,28,30,81,2,2,2,38,Not Completed,Yes,Partial,23,2020,Fall,,,,
95,Quinhagak,33,25,34,92,2,2,1,38,Not Completed,No,,68,2020,Fall,,,,
96,Huslia,37,28,32,97,2,1,1,15,Completed,No,,82,2020,Fall,"Riverine erosion
Permafrost degradation","Huslia is subject to erosion, severe weather, subsidence due to permafrost degradation and wildland fire. Riverine erosion is Huslia�s most serious natural hazard concern.  The most active erosion area is at the 70-foot high bluff along 2,000 feet of the Koyukuk River adjacent to the village. Mass wasting has taken place along the bluff since 1974, particularly during spring break-up.  Community infrastructure (power plant, gas and oil bulk fuel storage facility, water and sewer pipes) and homes have been relocated to avoid erosion damage.  Single erosion events have been reported to cause as much as 80 feet of river bank to be lost along the 2,000-foot stretch adjacent to the village. In June 2014, high water in the Koyukuk River caused by heavy rainfall and snowmelt cause the loos of 70 feet of riverbank to erosion.  In early June 2019, high water in the Koyukuk River threatened homes and infrastructure along the eroding riverbank.  ",No,No
97,Nanwalek,31,6,0,37,3,2,3,92,Not Completed,Yes,No,80,2020,Fall,,,,
98,Chuathbaluk,19,19,0,38,,,,,Completed,No,,50,2020,Fall,,,,
99,Akiak,31,34,0,65,1,1,3,22,Not Completed,No,,60,2020,Fall,"Riverine erosion
Flooding","Akiak experiences riverine erosion, flooding, severe weather events, subsidence due to permafrost degradation, and wildland fire. Riverine erosion is Akiak�s greatest natural hazard threat.  In May 2019, more than 75 feet of riverbank was lost in a single event along a mile-long stretch of the Kuskokwim River, resulting in the loss of several smokehouses and endangering residences. . In 2012, flooding eroded more than 150 feet of the community�s riverbank, resulting in the loss of the community�s original cemetery, fuel header protective embankment, and a house. As a result of this event, Akiak�s tribal and city governments jointly submitted a disaster declaration to the Governor of Alaska requesting disaster relief.",Prioritized 2019,No
100,Yakutat,31,37,0,68,1,3,3,61,Completed,No,,90,2020,Fall,,,,
101,Dot Lake Village,,,,,,,,,Completed,Yes,,35,2020,Fall,,,,
102,Shishmaref,47,47,19,113,1,1,2,2,Not Completed,No,,30,2020,Fall,"Coastal erosion
Flooding
Severe weather","Shishmaref is subject to erosion, flooding and severe weather.  Shishmaref�s primary erosion hazards are wave and slough erosion, sea ice gouging, and slumping resulting from melting permafrost.  Erosion has undermined buildings and infrastructure, causing several structures to collapse and fall into the sea. Over the years, the community has tried many different techniques to arrest the erosion, including gabions, sandbags, and articulated concrete mats. All these efforts have provided only temporary solutions. Because the shoreline continues to recede, the community has moved houses and other structures back from the edge but has less and less space to do so.  According to the local hazard mitigation plan, �the effects of climate change are expected to add to natural hazards including flooding in coastal areas. As sea level rises and the offshore ice pack retreats, more coastal flooding can be expected.� 

The community has experienced a number of severe coastal storms over the past 20 years that eroded the island to such an extent that the viability of the community is at risk. In October 1997, a severe storm eroded over 30 feet of the north shore, requiring 14 homes and the National Guard Armory to be relocated. Five additional homes were relocated in 2002. Other storms have continued to erode the shoreline an average of three to five feet per year on the north shore.",No,Yes
103,Ninilchik,28,25,0,53,,,,,Completed,Yes,Completed,67,2020,Fall,,,,
104,Pilot Point,24,23,0,47,3,2,3,69,Completed,No,,100,2020,Fall,,,,
105,Sand Point,,,,,,,,,Not Completed,No,,44,2020,Fall,,,,
106,Kotzebue,32,26,33,91,1,2,1,30,Completed,No,,67,2020,Fall,,,Yes,Yes
107,Ouzinkie,25,19,0,44,3,2,3,91,Completed,No,,82,2020,Fall,,,,
108,Lime Village,31,22,22,75,2,1,2,34,Not Completed,Yes,Partial,35,2020,Fall,,,,
109,Grayling,19,34,19,72,2,3,3,60,Not Completed,No,,35,2020,Fall,,,,
110,Tuluksak,22,42,26,90,1,2,2,20,Not Completed,Yes,No,23,2020,Fall,Flooding,,,
111,Eek,21,0,32,53,3,2,1,78,Not Completed,No,,33,2020,Fall,,,,
112,Klukwan,19,23,0,42,,,,,Not Completed,Yes,No,63,2020,Fall,,,,
113,Twin Hills,19,22,0,41,,,,,Completed,Yes,Completed,35,2020,Fall,,,,
114,Hoonah,19,26,0,45,2,3,3,89,Completed,No,,87,2020,Fall,,,No,Yes
115,Chefornak,38,38,27,103,2,1,1,24,Completed,,,52,2020,Fall,"Riverine erosion
Permafrost degradation","Chefornak experiences severe weather, erosion, flooding and subsidence due to permafrost degradation.  Erosion poses the most significant threat to the community; however flooding and thawing permafrost contribute to the erosion threat.  Chefornak experiences coastal erosion occurring along the shoreline of the Bering Sea and riverine erosion along the Kinia River embankment. Erosion of the Kinia River poses a particular threat to homes, the barge landing/jetty, bulk fuel tank farm and the Coastal Villages Region Fund Fisheries Support Center. Flood events at Chefornak have caused numerous problems in combination with erosion and thawing permafrost hazards. The introduction of floodwaters has increased thawing of the permafrost layer, causing settlement and failure of building foundations. Floodwaters have accelerated degradation of the remaining river bank and disrupted transportation to essential parts of the community. Thawing of the permafrost layer has caused subsidence, impacting the Head Start Building and utility poles. ",Prioritized 2018,No
116,Chignik Lake,,,,,,,,,Completed,Yes,Completed,65,2020,Fall,,,,
117,Aniak,23,26,19,68,2,2,3,46,Completed,No,,95,2020,Fall,,,Yes,Yes
118,Ruby,19,19,19,57,3,3,2,95,Completed,,,45,2020,Fall,,,,
119,Iliamna,19,0,0,19,3,2,3,101,Completed,Yes,Partial,100,2020,Fall,,,,
120,Stevens Village,23,24,26,73,2,3,2,66,Not Completed,Yes,No,35,2020,Fall,,,,
121,Dillingham,35,29,19,83,3,1,3,42,Completed,No,,62,2020,Fall,,,No,Yes
122,King Cove,,,,,,,,,Completed,No,,52,2020,Fall,,,,
123,Clark's Point,35,24,0,59,3,2,3,70,Completed,No,,30,2020,Fall,,,,
124,Nightmute,29,27,34,90,2,2,1,40,Not Completed,No,,17,2020,Fall,,,,
125,Galena,27,39,32,98,1,2,2,16,Completed,No,,63,2020,Fall,"Flooding
Riverine erosion","Galena is located on a floodplain along the Yukon River on flat land slightly above the elevation of the riverbank .  The community is subject to ice jams and stream overflow flooding from the Yukon River.  The U.S. Army Corps of Engineers reported a high frequency of flooding and found Galena to be in a high flood hazard area.  The 2013 Spring Ice Jam Flood (DR4122) established a new flood of record and was the worst flood in Galena�s history.  Most of the community voluntarily evacuated to avoid serious injury.  The Old Town section was completely destroyed by flood water and ice impacts.  The New Town section was extensively damaged in similar manner.  Approximately 194 homes were seriously damaged, uninhabitable, and must be completely rebuilt. Long term recovery efforts will continue through 2016.   Galena experiences significant flooding and riverine erosion.   Erosion is occurring all along the Yukon riverbank. During break-up, the thawed riverbank is water saturated and unstable allowing the swollen river to wash it away. The Yukon River has removed most of the river bank protecting Old Town and is continuing towards New Town. ",No,Yes
126,Kaltag,19,24,27,70,2,3,2,67,Completed,No,,30,2020,Fall,,,,
127,Koyuk,21,19,32,72,2,3,2,71,Not Completed,No,,40,2020,Fall,,,,
128,Nelson Lagoon,,,,,,,,,Completed,Yes,Completed,20,2020,Fall,,,,
129,Saint Mary's,21,21,26,68,2,3,2,71,Not Completed,No,,72,2020,Fall,,,,
130,Gulkana,24,23,32,79,2,2,2,32,Completed,Yes,Completed,88,2020,Fall,,,,
131,Anvik,19,19,19,57,2,3,3,84,Not Completed,,,35,2020,Fall,,,,
132,Cantwell,19,22,19,60,,,,,Not Completed,Yes,No,100,2020,Fall,,,,
133,Teller,32,38,27,97,1,3,2,30,Not Completed,No,,55,2020,Fall,,,,
134,Tuntutuliak,35,37,35,107,1,2,1,26,Not Completed,Yes,Partial,33,2020,Fall,,,Prioritized 2018,No
135,Egegik,34,0,19,53,3,2,3,76,Completed,No,,45,2020,Fall,,,,
136,Tyonek,19,22,0,41,,,,,Not Completed,Yes,No,75,2020,Fall,,,,
137,Hooper Bay,23,35,22,80,2,2,2,50,Not Completed,No,,50,2020,Fall,,,,
138,Nuiqsut,25,27,34,86,2,2,1,44,Completed,No,,37,2020,Fall,,,,
139,Mountain Village,19,19,29,67,3,3,2,88,Not Completed,No,,66,2020,Fall,,,,
140,Chenega,19,31,0,50,,,,,Completed,Yes,Completed,52,2020,Fall,,,,
141,Allakaket,19,41,32,92,1,2,2,21,Completed,No,,35,2020,Fall,"Flooding
Permafrost degradation","Allakaket has experienced flooding and associated erosion caused by ice jams during spring snowmelt and from summer rainfall. Major flood events occurred in 1937, 1938, 1939, 1964, 1966, 1968, 1989, and 1994. The federally-declared 1994 Koyukuk Flood Disaster destroyed 17 homes, damaged 40 homes, and significantly damaged the community�s public facilities. Severe erosion occurred during this flood event. The damage was so extensive and severe that the community partially relocated on higher ground about 2 miles inland and uphill from the old location. ",,
142,Russian Mission,22,26,29,77,3,2,2,66,Completed,No,,78,2020,Fall,,,,
143,Old Harbor,22,19,0,41,3,2,3,97,Completed,No,,35,2020,Fall,,,,
144,Dillingham,35,29,19,83,3,1,3,42,,,,62,2020,Fall,,,No,Yes
145,Akhiok,19,21,0,40,2,2,3,80,Completed,Yes,,32,2020,Fall,,,,
146,Kasaan,,,,,,,,,Completed,No,,70,2020,Fall,,,,
147,Shageluk,26,30,21,77,2,2,2,46,Not Completed,No,,50,2020,Fall,,,,
148,Newhalen,19,0,0,19,,,,,Completed,No,,88,2020,Fall,,,,
149,Tatitlek,25,25,0,50,,,,,Completed,Yes,Completed,72,2020,Fall,,,,
150,Kwigillingok,33,26,30,89,3,1,2,39,Not Completed,Yes,Partial,33,2020,Fall,,,,
151,Wales,26,29,19,74,3,2,3,,Completed,No,,47,2020,Fall,,,,
