X,Y,OBJECTID,CommunityName,CDQParticipant,DataYear,AsOfDate,CDQGroup
-637703.69598663,1341749.41966851,177,Hooper Bay,Yes,2016,2017/05/01 00:00:00+00,CVRF
-154171.846505468,967957.788887921,211,King Salmon,Yes,2016,2017/05/01 00:00:00+00,BBEDC
-556949.242780928,1147348.43634021,212,Kipnuk,Yes,2016,2017/05/01 00:00:00+00,CVRF
-493156.020425217,1140801.22915914,227,Kongiganak,Yes,2016,2017/05/01 00:00:00+00,CVRF
-480768.456775202,1486120.89410419,228,Kotlik,Yes,2016,2017/05/01 00:00:00+00,YDFDA
-338182.669797935,1681583.81082618,230,Koyuk,Yes,2016,2017/05/01 00:00:00+00,NSEDC
-509341.421585239,1133719.63178881,234,Kwigillingok,Yes,2016,2017/05/01 00:00:00+00,CVRF
-163064.943324316,1016557.94380798,241,Levelock,Yes,2016,2017/05/01 00:00:00+00,BBEDC
-289403.787693261,1009209.22031295,251,Manokotak,Yes,2016,2017/05/01 00:00:00+00,BBEDC
-666097.80139643,1216835.65731049,260,Mekoryuk,Yes,2016,2017/05/01 00:00:00+00,CVRF
-504640.533465355,1383006.48491385,272,Mountain Village,Yes,2016,2017/05/01 00:00:00+00,YDFDA
-174279.43217255,974059.91252268,275,Naknek,Yes,2016,2017/05/01 00:00:00+00,BBEDC
-432827.103657056,1215958.46314431,278,Napakiak,Yes,2016,2017/05/01 00:00:00+00,CVRF
-420788.280794596,1216092.28363176,279,Napaskiak,Yes,2016,2017/05/01 00:00:00+00,CVRF
-447900.339245922,689960.464606835,282,Nelson Lagoon,Yes,2016,2017/05/01 00:00:00+00,APICDA
-571660.995860192,1262920.03622587,287,Newtok,Yes,2016,2017/05/01 00:00:00+00,CVRF
-585242.257059794,1213354.10165248,288,Nightmute,Yes,2016,2017/05/01 00:00:00+00,CVRF
-993846.955920641,436840.75156824,292,Nikolski,Yes,2016,2017/05/01 00:00:00+00,APICDA
-545130.115627811,1662011.78006188,295,Nome,Yes,2016,2017/05/01 00:00:00+00,NSEDC
-554523.913632872,1440759.94998111,307,Nunam Iqua,Yes,2016,2017/05/01 00:00:00+00,YDFDA
-421581.595860075,1217808.67340489,314,Oscarville,Yes,2016,2017/05/01 00:00:00+00,CVRF
-213420.916165604,845809.064475104,329,Pilot Point,Yes,2016,2017/05/01 00:00:00+00,BBEDC
-446428.791068836,1027721.60972818,332,Platinum,Yes,2016,2017/05/01 00:00:00+00,CVRF
-280398.794506824,779012.636349441,345,Port Heiden,Yes,2016,2017/05/01 00:00:00+00,BBEDC
-213525.290249942,995860.018148084,351,Portage Creek,Yes,2016,2017/05/01 00:00:00+00,BBEDC
-441451.852918794,1110782.82189395,356,Quinhagak,Yes,2016,2017/05/01 00:00:00+00,CVRF
-944349.868773236,843619.420781122,365,Saint George,Yes,2016,2017/05/01 00:00:00+00,APICDA
-398870.645006686,1525392.61226927,368,Saint Michael,Yes,2016,2017/05/01 00:00:00+00,NSEDC
-974185.249990874,910524.195606546,369,Saint Paul,Yes,2016,2017/05/01 00:00:00+00,CBSFA
-805515.136213651,1625678.78277187,374,Savoonga,Yes,2016,2017/05/01 00:00:00+00,NSEDC
-604790.129936927,1371265.24459968,376,Scammon Bay,Yes,2016,2017/05/01 00:00:00+00,CVRF
-346517.325479851,1617843.76690688,383,Shaktoolik,Yes,2016,2017/05/01 00:00:00+00,NSEDC
-173605.947377928,972356.745251087,397,South Naknek,Yes,2016,2017/05/01 00:00:00+00,BBEDC
-410655.966695141,1531965.84908907,400,Stebbins,Yes,2016,2017/05/01 00:00:00+00,NSEDC
-574543.17179758,1754008.50735403,418,Teller,Yes,2016,2017/05/01 00:00:00+00,NSEDC
-364120.520402744,1024741.77608156,424,Togiak,Yes,2016,2017/05/01 00:00:00+00,BBEDC
-604707.768126036,1222202.94569942,426,Toksook Bay,Yes,2016,2017/05/01 00:00:00+00,CVRF
-475945.642041781,1181762.44420864,431,Tuntutuliak,Yes,2016,2017/05/01 00:00:00+00,CVRF
-611413.525021059,1229766.47294829,432,Tununak,Yes,2016,2017/05/01 00:00:00+00,CVRF
-358378.418504991,1025834.33468098,433,Twin Hills,Yes,2016,2017/05/01 00:00:00+00,BBEDC
-203120.802868854,839451.471422542,437,Ugashik,Yes,2016,2017/05/01 00:00:00+00,BBEDC
-332652.664299918,1562728.30203533,440,Unalakleet,Yes,2016,2017/05/01 00:00:00+00,NSEDC
-645492.756304416,1807658.53281773,451,Wales,Yes,2016,2017/05/01 00:00:00+00,NSEDC
-447479.312091524,1667267.50587921,455,White Mountain,Yes,2016,2017/05/01 00:00:00+00,NSEDC
