X,Y,OBJECTID,CommunityID,CommunityName,Location,Latitude,Longitude,Sq_Mi_Land,Sq_Mi_Water,Section,Township,Range,Meridian,Climate,AsOfDate,IsMostRecent,GlobalID,created_user,created_date,last_edited_user,last_edited_date
-150.924711637,70.34435668,18,{15E0FA55-2267-4960-928D-990DA22C2D43},Alpine,"Alpine is an oilfield on the Colville River Delta, eight miles north of Nuiqsut.",70.3444,-150.9247,,,32,012N,005E,U,"Alpine falls within the arctic climate zone, characterized by seasonal extremes in temperature. Winters are long and harsh, and summers are short but warm.",2018/09/17 08:00:00+00,1,{F5CD8D24-19BD-484C-8F13-E3F356411A46},,,GIS_OWNER_CDO,2023/09/27 07:14:33+00
-157.856527844,67.086470778,19,{E98663F6-E635-4427-85F1-48E3042D196E},Ambler,"Ambler is located on the north bank of the Kobuk River, near the confluence of the Ambler and the Kobuk Rivers. It lies 45 miles north of the Arctic Circle. It is 138 miles northeast of Kotzebue, 30 miles northwest of Kobuk, and 30 miles downriver from Shungnak.",67.0854,-157.8595,9.5,1.3,31,020N,005E,K,"Ambler falls within the arctic climate zone, characterized by seasonal extremes in temperature. Winters are long and harsh, and summers are short but warm. The Kobuk River is navigable from early July to mid-October.",2018/09/17 08:00:00+00,1,{EBE43519-AB79-4D10-A3E3-BD845C306EA0},,,GIS_OWNER_CDO,2018/09/18 03:39:48+00
-151.735866067,68.1418507660001,20,{C8F22DE3-2D24-49CD-A867-3855226D712F},Anaktuvuk Pass,"Anaktuvuk Pass, at 2,200 feet elevation on the divide between the Anaktuvuk and John Rivers in the central Brooks Range, is the last remaining settlement of the Nunamiut (inland northern Inupiat Eskimo).",68.1415,-151.7395,4.8,0.1,18,015S,002E,U,"Anaktuvuk Pass falls within the arctic climate zone, characterized by seasonal extremes in temperature. Winters are long and harsh, and summers are short but warm. Due to its high elevation, summers in Anaktuvuk Pass are cooler than the surrounding areas. Extremes ranging from a low of -56 to a high of 91 °F have been recorded.",2018/09/17 08:00:00+00,1,{0E4C4938-A660-4CB9-8315-B58A40F88B42},,,GIS_OWNER_CDO,2018/09/18 03:39:48+00
-151.834014929,59.7764368960001,21,{C20E1D6B-1DBC-4F69-B3F3-1AEC09EDDD83},Anchor Point,"Anchor Point is located on the Kenai Peninsula at the junction of the Anchor River and its north fork, 14 miles northwest of Homer. It lies at mile 156 of the Sterling Highway.",59.7764,-151.834,,,4,005S,015W,S,"Anchor Point falls within the gulf coast maritime climate zone, characterized by a rainy atmosphere, long, cold winters, and mild summers.",2018/09/17 08:00:00+00,1,{AFAB7879-8DFB-44CB-AFCF-B2C356F5710F},,,GIS_OWNER_CDO,2018/09/18 03:39:48+00
-149.894847422,61.216277566,22,{41989645-CCA3-466B-9817-909C7EBD3FF1},Anchorage,"Anchorage, the most populated municipality in Alaska, is located in southcentral Alaska at the head of Cook Inlet. It is 3 hours' flight time from Seattle.",61.2163,-149.8948,1697.2,263.9,18,013N,003W,S,"Anchorage falls within the gulf coast transitional climate zone, characterized by a semi-arid atmosphere, long, cold winters, and mild summers.",2018/09/17 08:00:00+00,1,{5F0DB3C2-9A56-4DC5-80A5-C2E90403344D},,,GIS_OWNER_CDO,2018/09/18 03:39:48+00
-149.190781634,64.3433579520001,23,{3999FA6E-F8E0-4528-9406-C991F8BB8C52},Anderson,"Anderson lies on a spur road that spans 6 miles west off the George Parks Highway, 76 miles southwest of Fairbanks and 285 miles north of Anchorage. Clear Air Force Station is located within the city boundaries.",64.3431,-149.1883,46.7,0.5,5,007S,008W,F,"Anderson falls within the continental climate zone, characterized by extreme temperature differences. The continental climate zone encompasses most of the central part of the state and experiences extremely cold winters and warm summers. Extreme temperatures have been measured in Anderson ranging from a low of -63 to a high of 98 °F.",2018/09/17 08:00:00+00,1,{10217533-4FB7-466A-86CC-E14317412E7F},,,GIS_OWNER_CDO,2018/09/18 03:39:48+00
-163.191134037,62.047201317,24,{EC457701-43EB-47F8-BD08-A820436CEBE6},Andreafsky,"Andreafsky is adjacent to and within the city boundaries of St. Mary's. It is on the north bank of the Andreafsky River, 3.5 miles northeast of Pitka's Point in the Yukon-Kuskokwim Delta.",62.0472,-163.1911,,,27,023N,076W,S,"Andreafsky falls within the transitional climate zone, characterized by tundra interspersed with boreal forests, and weather patterns of long, cold winters and shorter, warm summers. The Andreafsky River is ice-free from May to October.",2018/09/17 08:00:00+00,1,{CE53D9C6-31F8-4023-A722-797966EB4B9A},,,GIS_OWNER_CDO,2018/09/18 03:39:48+00
-134.580846253,57.499569497,25,{B81542E6-6232-4F35-AEC4-F6C46F2BBDE1},Angoon,"Angoon is the only permanent settlement on Admiralty Island, located on the southwest coast at Kootznahoo Inlet. Angoon is 55 miles southwest of Juneau and 41 miles northeast of Sitka.",57.4977,-134.5847,22.5,16.1,36,050S,067E,C,"Angoon falls within the southeast maritime climate zone, characterized by cool summers, mild winters and heavy rain throughout the year. Extremes in temperature have been recorded, ranging from a low of -6 to a high of 77 °F. Angoon receives much less precipitation than is typical of Southeast Alaska. Strong north winds during winter months cause rough seas, which may prevent aircraft landings.",2018/09/17 08:00:00+00,1,{5A550CC8-8995-4BA3-BC32-C4A63BCC4802},,,GIS_OWNER_CDO,2018/09/18 03:39:48+00
-159.527594877,61.578763877,26,{4D22DC8A-9F5A-4C83-B835-F1133D6A8060},Aniak,"Aniak is located on the south bank of the Kuskokwim River at the head of Aniak Slough, 59 miles southeast of Russian Mission in the Yukon-Kuskokwim Delta. It lies 92 air miles northeast of Bethel and 317 miles west of Anchorage.",61.5806,-159.5501,6.5,2.3,11,017N,057W,S,"Aniak falls within the western transitional climate zone, characterized by tundra interspersed with boreal forests, and weather patterns of long, cold winters and shorter, warm summers. The Kuskokwim River is ice-free from mid-June through October.",2018/09/17 08:00:00+00,1,{7BC65C31-890C-466B-8C0A-D9DAD01CD54C},,,GIS_OWNER_CDO,2018/09/18 03:39:48+00
-160.199328799,62.6525299510001,27,{AED9D55C-5519-4DA0-A4A7-28349D8498CD},Anvik,"Anvik is located in Interior Alaska on the Anvik River, west of the Yukon River, 34 miles north of Holy Cross.",62.6522,-160.198,9.5,2.4,32,030N,058W,S,"Anvik falls within the continental climate zone, characterized by extreme temperature differences. The continental climate zone encompasses most of the central part of the state and experiences extremely cold winters and warm summers. The Yukon River is ice-free from June through October.",2018/09/17 08:00:00+00,1,{8782FD9F-0F52-45DA-BA8B-3238185750D9},,,GIS_OWNER_CDO,2018/09/18 03:39:48+00
-145.535540782,68.1284616790001,28,{3FD9E5F5-DE1E-47BC-A8FC-ECEFCA7C2EA8},Arctic Village,"Arctic Village is on the east fork of the Chandalar River, 100 miles north of Fort Yukon and 290 miles north of Fairbanks.",68.1285,-145.5355,,,19,015S,029E,U,"Arctic Village falls within the continental climate zone, characterized by extreme temperature differences. The continental climate zone encompasses most of the central part of the state and experiences extremely cold winters and warm summers. Winters in Arctic Village are long and harsh, and summers are short but warm. Extended periods of -50 to -60 °F are common. Extreme temperatures have been measured ranging from a low of -70 to a high of 90 °F.",2018/09/17 08:00:00+00,1,{F82F9A4C-78E6-4617-BA96-B400F21AC857},,,GIS_OWNER_CDO,2018/09/18 03:39:48+00
-174.200198813,52.1978076350001,29,{C80F8014-AF4E-4834-B4A8-DED62C0786C1},Atka,"Atka is located on Atka Island, 1,200 air miles southwest from Anchorage and 350 miles west of Unalaska.",52.1986,-174.1985,8.7,27.4,22,092S,176W,S,"Atka falls within the southwest maritime climate zone, characterized by persistently overcast skies, high winds, and frequent cyclonic storms. Atka experiences frequent winds and severe storms in the winter and calm, foggy weather in summer.",2018/09/17 08:00:00+00,1,{457FB7DA-22E8-4FBC-B90D-FB68FABD45C6},,,GIS_OWNER_CDO,2018/09/18 03:39:48+00
-162.276412108,60.8572982650001,30,{887F3239-34EE-4A3A-9B7A-522E212DA730},Atmautluak,"Atmautluak lies on the west bank of the Pitmiktakik River in the Yukon-Kuskokwim Delta, 20 miles northwest of Bethel.",60.8573,-162.2764,,,20,009N,073W,S,"Atmautluak falls within the western transitional climate zone, characterized by tundra interspersed with boreal forests, and weather patterns of long, cold winters and shorter, warm summers.",2018/09/17 08:00:00+00,1,{ADDD9966-171E-407C-B35D-45622C37D30B},,,GIS_OWNER_CDO,2018/09/18 03:39:48+00
-157.423547297,70.4821365240001,31,{A79A606F-AA69-4994-A5A0-5E8AFE9EBA9A},Atqasuk,"Atqasuk is located on the Meade River, 60 miles south of Barrow.",70.4812,-157.4185,38.9,3.5,18,013N,021W,U,"Atqasuk falls within the arctic climate zone, characterized by seasonal extremes in temperature. Winters are long and harsh, and summers are short but warm.",2018/09/17 08:00:00+00,1,{398AEC36-DD50-4304-A44C-84FFC6F36459},,,GIS_OWNER_CDO,2018/09/18 03:39:48+00
173.170800155,52.825974789,32,{4B169010-F268-45A8-8444-F0B5873ABDEE},Attu Station,"This Coast Guard station is located on the northeast coast of Attu Island, in the Near Islands group, on the far western end of the Aleutian Chain.",52.826,173.1708,,,7,085S,263W,S,"Attu Station falls within the southwest maritime climate zone, characterized by persistently overcast skies, high winds, and frequent cyclonic storms. Winter squalls in Attu produce wind gusts in excess of 100 knots. During the summer, extensive fog forms over the Bering Sea and North Pacific. Average temperatures range from 20 to 60 °F, but wind chill factors can be severe.",2018/09/17 08:00:00+00,1,{CF586B72-A357-4807-BF6C-AC83F5662F65},,,GIS_OWNER_CDO,2018/09/18 03:39:48+00
-134.670082379,58.370194762,33,{264BA029-8F71-450A-942F-FA605B96F137},Auke Bay,"Auke Bay is located within the City and Borough of Juneau. Auke Bay contains Auke Bay Harbor, Auke Lake, and the Alaska Marine Highway System's Juneau ferry terminal. It is located on the Glacier Highway about 11 miles north of downtown Juneau.",58.3702,-134.6701,,,27,040S,065E,C,"Auke Bay falls within the southeast maritime climate zone, characterized by cool summers, mild winters and heavy rain throughout the year. Southeast Alaska lacks prolonged periods of freezing weather at low altitudes and is characterized by cloudiness and frequent fog. The combination of heavy precipitation and low temperatures at high altitudes in the coastal mountains of southern Alaska accounts for the numerous mountain glaciers.",2018/09/17 08:00:00+00,1,{BC02AFB3-17E7-4ED0-8803-4D1D0B8F5532},,,GIS_OWNER_CDO,2023/09/27 05:45:19+00
-154.53419499,57.1975730620001,34,{51F92D19-8E24-4522-B62B-EA2524B4E516},Ayakulik,Ayakulik is an abandoned village. See ANCSA information.,57.1976,-154.5342,,,28,034S,033W,S,"Ayakulik falls within the gulf coast maritime climate zone, characterized by a rainy atmosphere, long, cold winters, and mild summers.",2018/09/17 08:00:00+00,1,{E54AD343-0C81-4C92-8237-A38B6C086DFF},,,GIS_OWNER_CDO,2018/09/18 03:39:48+00
-147.412614955,64.804567008,35,{DAC7203E-0D8F-434C-A2FA-C699EDD5B8CB},Badger,see Fairbanks North Star Borough,64.8046,-147.4126,,,30,001S,002E,F,"Badger falls within the continental climate zone, characterized by extreme temperature differences. The continental climate zone encompasses most of the central part of the state and experiences extremely cold winters and warm summers.",2018/09/17 08:00:00+00,1,{F500D48E-1543-4D12-941B-8D9B6C10DD45},,,GIS_OWNER_CDO,2018/09/18 03:39:48+00
-156.761043784,71.2893973960001,36,{2697EF3A-7387-4208-B455-A046543D1AA7},Utqiagvik,"Utqiagvik, the northernmost community in the United States, is located on the Chukchi Sea coast, 10 miles south of Point Barrow. It lies 725 air miles from Anchorage.",71.2891,-156.7685,18.4,2.9,5,022N,018W,U,"Utqiagvik falls within the arctic climate zone, characterized by seasonal extremes in temperature. Winters are long and harsh, and summers are short but warm. The sun does not set in Barrow between May 10th and August 2nd each summer and does not rise between Nov. 18th and January 24th each winter. The daily minimum temperature is below freezing at least 300 days of the year. Prevailing winds are easterly and average 12 mph. The Chukchi Sea is typically ice-free from mid-June through October.",2018/09/17 08:00:00+00,1,{52C00ED9-351A-421C-8970-259074262C6E},,,EJCALDWELL,2019/05/23 00:51:41+00
-149.402303106,60.168544565,37,{2B076D8C-6D9B-439C-90F1-92FEAE651E60},Bear Creek,"Bear Creek is on the east coast of the Kenai Peninsula, northeast of Seward, between Mile 3 and 7 of the Seward Highway. It lies approximately 120 highway miles south of Anchorage.",60.1685,-149.4023,,,23,001N,001W,S,"Bear Creek falls within the gulf coast maritime climate zone, characterized by a rainy atmosphere, long, cold winters, and mild summers.",2018/09/17 08:00:00+00,1,{4B201103-AA0B-4AD4-B453-455928F8DAA9},,,GIS_OWNER_CDO,2018/09/18 03:39:48+00
-147.397148815,66.360348462,38,{FF43C1B1-9D83-4F8A-B3B2-E404ACC9D5B1},Beaver,"Beaver is located on the north bank of the Yukon River, approximately 60 air miles southwest of Fort Yukon and 110 miles north of Fairbanks. It lies in the Yukon Flats National Wildlife Refuge.",66.3604,-147.3972,,,30,018N,002E,F,"Beaver falls within the continental climate zone, characterized by extreme temperature differences. The continental climate zone encompasses most of the central part of the state and experiences extremely cold winters and warm summers. Extreme temperatures ranging from a low of -70 to a high of 90 °F have been measured. The Yukon River is ice-free from mid-June to mid-October.",2018/09/17 08:00:00+00,1,{93689DE5-52D6-48BD-A82B-446C446E5864},,,GIS_OWNER_CDO,2018/09/18 03:39:48+00
-162.031227679,55.0874980680001,39,{385A78C0-3F4F-4A2C-B935-ECC9E8305CAA},Belkofski,"Belkofski is located on a point at the eastern end of the Alaska Peninsula, 12 miles southeast of King Cove.",55.0875,-162.0312,,,9,059S,084W,S,"Belkofski falls within the southwest maritime climate zone, characterized by persistently overcast skies, high winds, and frequent cyclonic storms.",2018/09/17 08:00:00+00,1,{E54A3C3F-55E2-4D7C-AA96-7ED86325EC9B},,,GIS_OWNER_CDO,2018/09/18 03:39:48+00
-151.043036222,61.1721485100001,40,{D72A5701-11AB-4596-AA0D-A2881CCB42B1},Beluga,"Beluga is located 8 miles northeast of Tyonek, along Cook Inlet in the Kenai Peninsula Borough. It lies 40 air miles southwest of Anchorage.",61.1721,-151.043,,,34,013N,010W,S,"Beluga falls within the gulf coast transitional climate zone, characterized by a semi-arid atmosphere, long, cold winters, and mild summers.",2018/09/17 08:00:00+00,1,{9AAE517C-B354-42CC-95DB-06DE7A68C86E},,,GIS_OWNER_CDO,2018/09/18 03:39:48+00
-161.771770866,60.7911991970001,41,{7B1302D1-C2B4-402C-8C43-141B93681692},Bethel,"Bethel is located at the mouth of the Kuskokwim River, 40 miles inland from the Bering Sea. It lies in the Yukon Delta National Wildlife Refuge, 400 air miles west of Anchorage.",60.8021,-161.7706,43.8,5.1,8,008N,071W,S,"Bethel falls within the western transitional climate zone, characterized by tundra interspersed with boreal forests, and weather patterns of long, cold winters and shorter, warm summers.",2018/09/17 08:00:00+00,1,{C54B69BC-4807-4620-8DCD-06E41EE23E70},,,GIS_OWNER_CDO,2018/09/18 03:39:48+00
-151.50835587,66.9218690440001,42,{C4674250-987C-40CD-B550-D246607343D4},Bettles,"Bettles is located about 180 air miles and 250 road miles northwest of Fairbanks, adjacent to Evansville. It lies just north of the Kanuti National Wildlife Refuge. Bettles is located on the S.E. bank of the Koyukuk River.",66.9164,-151.5188,1.6,,8,024N,018W,F,"Bettles falls within the continental climate zone, characterized by extreme temperature differences. The continental climate zone encompasses most of the central part of the state and experiences extremely cold winters and warm summers.",2018/09/17 08:00:00+00,1,{EECCF998-A18C-4A16-A156-F43F0122D914},,,GIS_OWNER_CDO,2018/09/18 03:39:48+00
-145.834555663,64.147213186,43,{3DD78FBE-F02D-4634-B206-835BAF4DDD8E},Big Delta,"Big Delta is located at the junction of the Delta and Tanana Rivers, 73 miles southeast of Fairbanks on the Richardson Highway.",64.1472,-145.8346,,,8,009S,010E,F,"Big Delta falls within the continental climate zone, characterized by extreme temperature differences. The continental climate zone encompasses most of the central part of the state and experiences extremely cold winters and warm summers. This area of Interior Alaska experiences seasonal extremes.",2018/09/17 08:00:00+00,1,{C310A15E-8532-4E74-BFFA-25F0BA58E481},,,GIS_OWNER_CDO,2018/09/18 03:39:48+00
-149.819158729,61.552278728,44,{2AA584CB-3B03-4D75-8F91-A995C37D4C4D},Big Lake,"Big Lake is a community on the shore of Big Lake, 13 miles southwest of Wasilla, in the Chugach Mountains. It lies adjacent to Houston and Knik-Fairview.",61.5399,-149.819,,,28,017N,003W,S,"Big Lake falls within the transitional climate zone, characterized by a semi-arid atmosphere, long, cold winters, and mild summers.",2018/09/17 08:00:00+00,1,{DE22D0AE-13C7-4638-86EE-4A0CCD7F001D},,,GIS_OWNER_CDO,2018/09/18 03:39:48+00
