X,Y,OBJECTID,PCECommunity,CommunityName,EntityName,DataYear,Population,ReportedPeriods,ResidentialCustomers,CommunityFacilitiesCustomers,OtherCustomers,ResidentialkWhEligibleforPCE,FacilitieskWhEligibleforPCE,TotalkWhEligibleforPCECredit,TotalkWhSold,TotalDieselFuelUsed,TotalCostOfFuel,AveragePriceOfFuelPerGallon,TotalNonFuelExpenses,YearToDatePCEDisbursements,TotalDieselGeneratedkWh,TotalNonDieselGeneratedkWh,TotalPurchasedkWhs,ResidentialRateBasedOn500kWh,PCERateApplied,EffectiveResidentialRate,Notes,IsMostRecent,CommunityAggRowPos
-401780.778584857,1237051.63336104,25,Akiachak PCE,Akiachak,Akiachak Native Community,2023,660,12,190,11,47,746744,76445,823189,1926834,147540,604403,4.1,681990,263940,2077854,0,0,0.73,0.3319,0.3981,Rpt Diesel kWh Generated = 8 mths Rpt Powerhouse & Peak Consumption = 11 mths,1,1
-401780.778584857,1237051.63336104,26,Akiachak PCE,Akiachak,Akiachak Native Community,2022,724,12,190,11,47,665145,56612,721757,1871790,146670,464206,3.16,627775,160290,1795737,0,0,0.6,0.2664,0.3336,Reported diesel kWh generated = 10 months,,1
-401780.778584857,1237051.63336104,27,Akiachak PCE,Akiachak,Akiachak Native Community,2021,724,12,183,11,47,666649,53578,720227,1791563,136848,431181,3.15,432676,174102,1932772,0,0,0.63,0.2317,0.3983,Non-fuel Cost = 11 months,,1
-401780.778584857,1237051.63336104,28,Akiachak PCE,Akiachak,Akiachak Native Community,2020,713,12,183,10,51,604393,172828,777221,1769706,138125,454440,3.29,486029,206533,1772860,0,0,0.63,0.2663,0.3637,kWh's Generated & Powerhouse Consumption = 11 Months,,1
-401780.778584857,1237051.63336104,29,Akiachak PCE,Akiachak,Akiachak Native Community,2019,712,12,185,13,51,574434,209892,784326,1739968,133672,430031,3.22,340919,205033,1884964,0,0,0.6,0.2658,0.3342,,,1
-401780.778584857,1237051.63336104,30,Akiachak PCE,Akiachak,Akiachak Native Community,2018,701,12,191,10,29,554669,239388,794057,1773329,135059,402295,2.98,342769,204942,1933185,0,0,0.6,0.262,0.338,,,1
-401780.778584857,1237051.63336104,31,Akiachak PCE,Akiachak,Akiachak Native Community,2017,696,12,191,12,32,618391,185100,803491,1825887,133031,396888,2.98,278625,222943,1961670,0,0,0.6,0.2453,0.3547,,,1
-401780.778584857,1237051.63336104,32,Akiachak PCE,Akiachak,Akiachak Native Community,2016,671,12,189,11,31,647660,206799,854459,1804734,137960,429633,3.11,726906,261058,1991357,0,0,0.6,0.2939,0.3061,,,1
-401780.778584857,1237051.63336104,33,Akiachak PCE,Akiachak,Akiachak Native Community,2015,675,12,185,11,36,622672,175859,798531,1725888,133966,521144,3.89,545783,301842,1893770,0,0,0.6667,0.3796,0.2871,,,1
-401780.778584857,1237051.63336104,34,Akiachak PCE,Akiachak,Akiachak Native Community,2014,663,12,171,11,46,568567,163402,731969,1668607,132209,557222,4.21,414624,262474,1874004,0,0,0.6,0.3517,0.2483,,,1
-401780.778584857,1237051.63336104,35,Akiachak PCE,Akiachak,Akiachak Native Community,2013,655,12,163,10,47,571881,164767,736648,1762686,135330,595493,4.4,500438,251852,1933450,0,0,0.6,0.3735,0.2265,,,1
-401780.778584857,1237051.63336104,36,Akiachak PCE,Akiachak,Akiachak Native Community,2012,627,12,177,10,33,516451,190481,706932,1763550,146603,601622,4.1,301957,269596,1924843,0,0,0.6,0.3789,0.2211,,,1
-401780.778584857,1237051.63336104,37,Akiachak PCE,Akiachak,Akiachak Native Community,2011,645,,153,12,,466933,191484,658417,1680305,128409,431683.87,3.36,273809,236159,1874170,0,0,0.63,0.3539,0.2761,,,1
-401780.778584857,1237051.63336104,38,Akiachak PCE,Akiachak,Akiachak Native Community,2010,659,,150,13,,468692,201411,670103,1722358,136183,449583.27,3.3,253711,245832,1936063,0,0,0.63,0.3567,0.2733,,,1
-401780.778584857,1237051.63336104,39,Akiachak PCE,Akiachak,Akiachak Native Community Electric Co.,2006,618,,148,2,,453824,116667,570491,1530578,1893988,433670.88,2.437,323358.61,138873.01,1893988,,,0.53,0.2879,0.2421,,,1
-401780.778584857,1237051.63336104,40,Akiachak PCE,Akiachak,Akiachak Native Community Electric Co.,2001,560,,121,8,,420376,96272,516648,1078525,104854,165949.25,1.58,172983.39,95059.58,1295368,,,0.42,0.1412,0.2788,,,1
-390087.745779022,1235043.28228904,41,Akiak PCE,Akiak,Akiak City Council,2023,479,8,97,13,33,280118,20563,300681,1085549,74059,332893,4.49,156611,89585,1074308,0,0,0.63,0.3295,0.3005,Only 8 rpts submitted. Rpt Diesel kWh Gen = 6 mths. No Phouse Consumption Rpt,1,1
-390087.745779022,1235043.28228904,42,Akiak PCE,Akiak,Akiak City Council,2021,420,7,99,2,34,221095,11819,232914,657321,56868,202063,3.55,294224,52708,613105,0,0,0.53,0.2263,0.3037,Utility Only Reported Data For 7 Months. Non-Fuel Costs & kWh Gen'd = 6 Months.,,1
-390087.745779022,1235043.28228904,43,Akiak PCE,Akiak,Akiak City Council,2020,406,12,98,8,34,348288,29898,378186,1122982,86855,301236,3.47,114169,94632,1228238,0,0,0.53,0.2408,0.2892,"kWh's Generated = 9 Months; Fuel Used & Fuel Costs = 11 Months",,1
-390087.745779022,1235043.28228904,44,Akiak PCE,Akiak,Akiak City Council,2019,394,12,101,8,34,350948,31765,382713,1083991,94402,349368,3.7,152326,109019,1005309,0,0,0.53,0.2553,0.2747,kWh generated = 10 months,,1
-390087.745779022,1235043.28228904,45,Akiak PCE,Akiak,Akiak City Council,2018,389,12,94,8,34,334744,52157,386901,1062902,93752,299024,3.19,169284,87868,1212912,0,0,0.53,0.2382,0.2918,,,1
-390087.745779022,1235043.28228904,46,Akiak PCE,Akiak,Akiak City Council,2017,380,12,110,8,18,319687,30396,350083,1103426,88816,235888,2.66,272141,78048,1163038,0,0,0.53,0.2012,0.3288,Unable to verify kWh as reported,,1
-390087.745779022,1235043.28228904,47,Akiak PCE,Akiak,Akiak City Council,2016,389,12,110,8,18,367714,30503,398217,968962,83051,267776,3.22,271930,104265,1076441,0,0,0.63,0.245,0.385,,,1
-390087.745779022,1235043.28228904,48,Akiak PCE,Akiak,Akiak City Council,2015,355,12,102,8,20,359249,33451,392700,1038093,87279,415198,4.76,216461,145603,1133301,0,0,0.63,0.3235,0.3065,,,1
-390087.745779022,1235043.28228904,49,Akiak PCE,Akiak,Akiak City Council,2014,361,9,97,9,20,242798,25853,268651,797110,66343,348297,5.25,92364,112863,890820,0,0,0.63,0.4386,0.1914,Only 9 months were submitted,,1
-390087.745779022,1235043.28228904,50,Akiak PCE,Akiak,Akiak City Council,2013,367,12,97,9,20,292430,35670,328100,967245,70203,357700,5.1,183762,128602,1188049,0,0,0.63,0.4122,0.2178,,,1
-390087.745779022,1235043.28228904,51,Akiak PCE,Akiak,Akiak City Council,2012,346,12,98,9,19,264915,36654,301569,995864,92291,400203,4.34,179881,101697,1175714,0,0,0.63,0.3968,0.2332,Dec 11 fuel gallons used estimated based on rerported kWh generated,,1
-390087.745779022,1235043.28228904,52,Akiak PCE,Akiak,Akiak City Council,2011,346,,92,9,,225089,15147,240236,960675,89408,409371.2,4.58,167279,90116,1075490,0,0,0.63,0.3259,0.3041,Diesel kWh per power house logs attached to monthly reports,,1
-390087.745779022,1235043.28228904,53,Akiak PCE,Akiak,Akiak City Council,2010,341,,84,9,,198153,0,198153,902284,89947,403043.2,4.48,156179,72164,1118360,0,0,0.63,0.3569,0.2731,,,1
-390087.745779022,1235043.28228904,54,Akiak PCE,Akiak,Akiak City Council,2006,367,,79,10,,165848,0,165848,737699,1170837,231653.13,2.3369,19356.37,27448.85,1170837,,,0.45,0.2105,0.2395,,,1
-390087.745779022,1235043.28228904,55,Akiak PCE,Akiak,Akiak City Council,2001,338,,78,11,,154527,0,154527,782072,70336,111119.61,1.58,82110.64,20460.03,,,,0.39,0.1184,0.2716,Total Disel Generated not reported due to technical difficulties.,,1
-766479.910475392,525927.743350198,56,Akutan PCE,Akutan,City of Akutan,2023,1588,12,45,11,24,185802,125394,311196,515785,46261,144443,3.12,226227,234704,548069,98573,0,0.95,0.7542,0.1958,,1,1
-766479.910475392,525927.743350198,57,Akutan PCE,Akutan,City of Akutan,2022,995,12,50,11,29,164696,120375,285071,509113,43901,103049,2.35,249298,213718,538102,126049,0,0.95,0.7497,0.2003,,,1
-766479.910475392,525927.743350198,58,Akutan PCE,Akutan,City of Akutan,2021,990,12,50,11,29,174494,119340,293834,556241,47095,144919,3.08,287220,218524,577073,113950,0,0.95,0.7437,0.2063,,,1
-766479.910475392,525927.743350198,59,Akutan PCE,Akutan,City of Akutan,2020,994,12,44,11,26,161988,132510,294498,526489,51918,151213,2.91,183676,223524,447621,2,0,0.95,0.759,0.191,kWh Generated = 8 Months,,1
-766479.910475392,525927.743350198,60,Akutan PCE,Akutan,City of Akutan,2019,993,12,47,11,25,169810,123727,293537,521960,52274,128642,2.46,203476,220806,610838,31746,0,0.95,0.7598,0.1902,,,1
-766479.910475392,525927.743350198,61,Akutan PCE,Akutan,City of Akutan,2018,1000,12,40,11,24,152996,108875,261871,476868,38892,100456,2.58,304234,202741,477411,134170,0,0.95,0.7742,0.1758,,,1
-766479.910475392,525927.743350198,62,Akutan PCE,Akutan,City of Akutan,2017,933,12,39,11,24,151114,103599,254713,466719,35733,102510,2.87,253580,157475,423051,130588,0,0.95,0.7833,0.1667,,,1
-766479.910475392,525927.743350198,63,Akutan PCE,Akutan,City of Akutan,2016,1052,12,37,11,24,156683,103131,259814,487311,41724,162939,3.91,330674,42817,540262,34809,0,0.323,0.1648,0.1582,,,1
-766479.910475392,525927.743350198,64,Akutan PCE,Akutan,City of Akutan,2014,1106,12,41,14,18,150119,79737,229856,517287,40944,165176,4.03,219621,41901,636366,0,0,0.323,0.1824,0.1406,,,1
-766479.910475392,525927.743350198,65,Akutan PCE,Akutan,City of Akutan,2013,1040,12,40,11,18,159883,62701,222584,508041,44321,179877,4.06,206054,40065,384034,209042,0,0.323,0.18,0.143,,,1
-766479.910475392,525927.743350198,66,Akutan PCE,Akutan,City of Akutan,2012,1027,12,41,11,17,167890,60398,228288,492422,47723,163216,3.42,90944,43133,479868,67780,0,0.323,0.1888,0.1342,Jan12- Mar12  kWh generated per reported to RCA,,1
-766479.910475392,525927.743350198,67,Akutan PCE,Akutan,City of Akutan,2011,846,,41,11,,181297,69196,250493,494929,51686,171230.56,3.31,80828,44863,517433,42111,0,0.323,0.1791,0.1439,,,1
-766479.910475392,525927.743350198,68,Akutan PCE,Akutan,City of Akutan,2010,796,,41,10,,174755,82543,257298,523770,45272,161513.88,3.57,84087,46777,356098,0,0,0.323,0.1818,0.1412,Diesel kWh generated not reported Oct 09-Feb10,,1
-766479.910475392,525927.743350198,69,Akutan PCE,Akutan,Akutan Electric Utility,2006,771,,37,12,,158040,113563,271603,487710,445032,103072.77,2.4248,178858.09,44364.86,445032,87549,,0.323,0.203,0.12,All kWhs generated non-diesel were hydro generated.,,1
-766479.910475392,525927.743350198,70,Akutan PCE,Akutan,Akutan Electric Utility,2001,425,,35,12,,132638,130430,263068,431169,40309,65050.62,1.61,70186.97,52416.46,470568,6955,,0.323,0.1502,0.1728,,,1
-542392.68206103,1456437.72182411,71,Alakanuk PCE,Alakanuk,Alaska Village Electric Cooperative,2023,737,12,149,9,35,832858,345028,1177886,1999188,0,0,,539228,357370,0,0,0,0.5996,0.3392,0.2604,Receives power from Emmonak via intertie,1,1
-542392.68206103,1456437.72182411,72,Alakanuk PCE,Alakanuk,Alaska Village Electric Cooperative,2022,747,12,153,9,34,676931,322651,999582,2071478,0,0,,411911,227433,0,0,0,0.5087,0.2503,0.2584,Receives power from Emmonak via intertie,,1
-542392.68206103,1456437.72182411,73,Alakanuk PCE,Alakanuk,Alaska Village Electric Cooperative,2021,704,12,158,10,34,680847,317400,998247,1924548,0,,,379469,235143,0,0,0,0.5092,0.2408,0.2684,Receives Power From Emmonak Via Intertie,,1
-542392.68206103,1456437.72182411,74,Alakanuk PCE,Alakanuk,Alaska Village Electric Cooperative,2020,728,12,160,10,34,663043,282720,945763,1913733,0,,,403047,257681,0,0,0,0.5368,0.2684,0.2684,Receives Power From Emmonak Via Intertie,,1
-542392.68206103,1456437.72182411,75,Alakanuk PCE,Alakanuk,Alaska Village Electric Cooperative,2019,706,12,155,10,32,653712,249559,903271,1927816,0,,,406728,238783,0,0,0,0.5274,0.2789,0.2485,,,1
-542392.68206103,1456437.72182411,76,Alakanuk PCE,Alakanuk,Alaska Village Electric Cooperative,2018,707,12,155,10,36,656208,255474,911682,1881691,0,,,410588,227045,0,0,0,0.4971,0.2494,0.2477,See Emmonak for generation data,,1
-542392.68206103,1456437.72182411,77,Alakanuk PCE,Alakanuk,Alaska Village Electric Cooperative,2017,708,12,162,10,34,658835,289806,948641,2089060,15218,47466,3.12,412294,255802,201726,0,0,0.4513,0.2282,0.2231,,,1
-542392.68206103,1456437.72182411,78,Alakanuk PCE,Alakanuk,Alaska Village Electric Cooperative,2016,730,12,163,9,26,677657,274862,952519,2019629,156438,489048,3.13,573777,333954,2168682,0,0,0.5674,0.3473,0.2201,,,1
-542392.68206103,1456437.72182411,79,Alakanuk PCE,Alakanuk,Alaska Village Electric Cooperative,2015,704,12,165,10,23,686207,264317,950524,1995536,164589,661151,4.02,490702,384864,2111396,0,0,0.634,0.4114,0.2226,,,1
-542392.68206103,1456437.72182411,80,Alakanuk PCE,Alakanuk,Alaska Village Electric Cooperative,2014,707,12,163,11,28,666175,281959,948134,2286111,188606,730304,3.87,535265,386368,2406043,0,0,0.6128,0.4103,0.2025,,,1
-542392.68206103,1456437.72182411,81,Alakanuk PCE,Alakanuk,Alaska Village Electric Cooperative,2013,683,12,156,9,29,655539,329733,985272,2066135,164989,631893,3.83,566547,394147,2222913,0,0,0.6185,0.4229,0.1956,,,1
-542392.68206103,1456437.72182411,82,Alakanuk PCE,Alakanuk,Alaska Village Electric Cooperative,2012,677,12,152,13,25,642552,354582,997134,1881082,153466,612135,3.99,427759,400834,1984426,0,0,0.6337,0.414,0.2197,,,1
-542392.68206103,1456437.72182411,83,Alakanuk PCE,Alakanuk,Alaska Village Electric Cooperative,2011,686,,157,11,,632442,391274,1023716,1804273,148334,481893.77,3.25,457954,351314,1914369,0,0,0.5815,0.3728,0.2087,,,1
-542392.68206103,1456437.72182411,84,Alakanuk PCE,Alakanuk,Alaska Village Electric Cooperative,2010,670,,152,11,,645919,348051,993970,1782261,141706,421875.4,2.98,452044,329109,1882260,0,0,0.5172,0.3025,0.2147,,,1
-542392.68206103,1456437.72182411,85,Alakanuk PCE,Alakanuk,Alaska Village Electric Cooperative,2006,667,,160,11,,596169,273323,869492,1650448,1742918,237621.47,1.8483,17059486.59,200748.42,1742918,,,0.495,0.2986,0.1964,Non-fuel expenses for all AVEC locations are reported with Wales as a total.,,1
-542392.68206103,1456437.72182411,86,Alakanuk PCE,Alakanuk,Alaska Village Electric Cooperative,2001,677,,149,10,,532203,296836,829039,1409116,112489,135500.26,1.2,,168233.83,1506877,,,0.3995,0.168,0.2315,Operating expenses for the AVEC communities are reported as a total for the utility in the community of Wales.,,1
57879.5116973947,1844678.29560101,87,"Allakaket; Alatna PCE",Alatna,Alaska Power Company,2023,184,12,74,18,15,216864,136877,353741,602580,55424,406619,7.34,147472,270258,678564,0,0,1.1031,0.764,0.3391,,1,2
57879.5116973947,1844678.29560101,88,"Allakaket; Alatna PCE",Alatna,Alaska Power Company,2022,173,12,62,18,16,203170,135930,339100,583818,53364,281323,5.27,134140,202413,648000,0,0,1.0152,0.6821,0.3331,,,2
57879.5116973947,1844678.29560101,89,"Allakaket; Alatna PCE",Alatna,Alaska Power Company,2021,179,12,66,18,15,210569,137386,347955,606306,55004,232745,4.23,132279,152588,675647,0,0,0.8458,0.4785,0.3673,,,2
57879.5116973947,1844678.29560101,90,"Allakaket; Alatna PCE",Alatna,Alaska Power Company,2020,189,12,67,16,18,195639,128708,324347,558837,54417,265969,4.89,231455,189387,642169,0,0,0.833,0.5201,0.3129,,,2
57879.5116973947,1844678.29560101,91,"Allakaket; Alatna PCE",Alatna,Alaska Power Company,2019,190,12,67,19,18,189955,115352,305307,526500,49892,234585,4.7,200007,168853,600528,0,0,0.839,0.5132,0.3258,,,2
57879.5116973947,1844678.29560101,92,"Allakaket; Alatna PCE",Alatna,Alaska Power Company,2018,191,13,66,16,18,194647,89109,283756,512841,49229,207726,4.22,203961,148246,586632,0,0,0.8417,0.5293,0.3124,,,2
57879.5116973947,1844678.29560101,93,"Allakaket; Alatna PCE",Alatna,Alaska Power Company,2017,195,12,64,16,18,195825,100427,296252,546107,51033,205556,4.03,127702,139048,631296,0,0,0.7451,0.4256,0.3195,,,2
57879.5116973947,1844678.29560101,94,"Allakaket; Alatna PCE",Alatna,Alaska Power Company,2016,137,12,66,16,19,192324,71674,263998,489609,47522,220411,4.64,144134,132414,574391,0,0,0.7356,0.4246,0.311,,,2
57879.5116973947,1844678.29560101,95,"Allakaket; Alatna PCE",Alatna,Alaska Power Company,2015,134,12,69,15,19,199995,31694,231689,518357,49968,278041,5.56,139643,174235,601224,0,0,0.8704,0.5621,0.3083,,,2
57879.5116973947,1844678.29560101,96,"Allakaket; Alatna PCE",Alatna,Alaska Power Company,2014,133,12,68,11,25,197143,26340,223483,635174,55745,333566,5.98,110200,137546,704448,0,0,0.9051,0.6611,0.244,,,2
57879.5116973947,1844678.29560101,97,"Allakaket; Alatna PCE",Alatna,Alaska Power Company,2013,140,12,69,11,23,212108,29458,241566,625389,57239,347555,6.07,108286,163119,705288,0,0,0.7713,0.5524,0.2189,,,2
57879.5116973947,1844678.29560101,98,"Allakaket; Alatna PCE",Alatna,Alaska Power Company,2012,142,12,70,10,21,195630,28070,223700,612410,56765,331774,5.84,158986,166362,707446,0,0,0.9838,0.7241,0.2597,,,2
57879.5116973947,1844678.29560101,99,"Allakaket; Alatna PCE",Alatna,Alaska Power Company,2011,122,,72,11,,219439,32876,252315,620304,56511,274360.65,4.85,89875,141163,705161,0,0,0.8539,0.6537,0.2002,,,2
57879.5116973947,1844678.29560101,100,"Allakaket; Alatna PCE",Alatna,Alaska Power Company,2010,124,,76,11,,207235,35620,242855,631843,53215,219024.07,4.12,109340,125753,724953,0,0,0.763,0.5667,0.1963,,,2
57879.5116973947,1844678.29560101,101,"Allakaket; Alatna PCE",Alatna,Alaska Power Company,2006,156,,76,14,,201216,88182,289398,579339,652362,180103.46,3.3986,128229.74,62288.85,652362,,,0.6696,0.3848,0.2848,Includes Allakaket data,,2
57879.5116973947,1844678.29560101,102,"Allakaket; Alatna PCE",Alatna,Alaska Power Company,2001,214,,70,17,,184043,135875,319918,520458,46998,93960.36,2,76725.18,100420.54,577096,,,0.4705,0.2368,0.2337,Includes Allakaket data.,,2
-262308.612461073,1040822.18417894,103,"Dillingham; Aleknagik PCE",Aleknagik,Nushagak Electric And Telephone Cooperative,2023,2447,12,980,51,486,4455198,645588,5100786,17869428,1289976,4316844,3.35,4698352,1280272,19190127,0,0,0.5386,0.2563,0.2823,,1,2
-262308.612461073,1040822.18417894,104,"Dillingham; Aleknagik PCE",Aleknagik,Nushagak Electric And Telephone Cooperative,2022,2463,12,991,50,466,3849860,729665,4579525,18369903,1324448,2532197,1.91,4398063,727072,19745362,0,0,0.454,0.1633,0.2907,,,2
-262308.612461073,1040822.18417894,105,"Dillingham; Aleknagik PCE",Aleknagik,Nushagak Electric And Telephone Cooperative,2021,2570,12,1003,54,447,3859144,709819,4568963,16846668,1224373,2243741,1.83,3855912,624639,18226392,0,0,0.4535,0.1334,0.3201,,,2
-262308.612461073,1040822.18417894,106,"Dillingham; Aleknagik PCE",Aleknagik,Nushagak Electric And Telephone Cooperative,2020,2584,12,987,53,466,3841331,771726,4613057,17696572,1292226,3075180,2.38,5271240,863566,19300221,0,0,0.4378,0.1416,0.2962,,,2
-262308.612461073,1040822.18417894,107,"Dillingham; Aleknagik PCE",Aleknagik,Nushagak Electric And Telephone Cooperative,2019,2572,12,996,54,468,3860199,753266,4613465,17675418,1280522,3125154,2.44,3989753,891218,19143177,0,0,0.4479,0.1986,0.2493,,,2
-262308.612461073,1040822.18417894,108,"Dillingham; Aleknagik PCE",Aleknagik,Nushagak Electric And Telephone Cooperative,2018,2533,12,1013,54,463,3880648,753758,4634406,17454271,1268423,2624397,2.07,3971212,745994,18877300,0,0,0.4151,0.1616,0.2535,,,2
-262308.612461073,1040822.18417894,109,"Dillingham; Aleknagik PCE",Aleknagik,Nushagak Electric And Telephone Cooperative,2017,2632,12,975,47,485,3887509,765869,4653378,17961669,1219449,2493330,2.04,4237125,779447,18976600,0,0,0.4117,0.1672,0.2445,,,2
