OBJECTID,CommunityName,DataYear,ResidentsAge16AndOver,ResidentsEmployed,WagesLessThan5k,Wages5k_10k,Wages10k_20k,Wages20k_50k,WagesGreaterThan50k,EmployedInPrivateSector,PercentInPrivateSector,EmployedInStateGovt,PercentInStateGovt,EmployedFemales,EmployedMales,EmployedAge45Plus,EmployedAge50Plus,EmployedIn1stQtr,EmployedIn2ndQtr,EmployedIn3rdQtr,EmployedIn4thQtr,EmployedInAllQtrs,NewHires,LocalLaborMarketURL,TotalWages,UnemploymentInsuranceClaimants,EmploymentRate
11,Northern Economic Region,2010,15494,11001,2583,1151,1516,3089,2663,5631,0.50999999,326,0.03,5263,5738,3922,2769,8422,9025,9356,8789,6621,4922,http://live.laborstats.alaska.gov/alari/index.cfm?r=4&goreg=go&b=0&p=0,343355244,2652,0.709999978542328
12,Northern Economic Region,2011,15536,10811,2529,1086,1415,3022,2759,5432,0.5,338,0.03,5210,5601,3922,2791,8342,8847,9174,8616,6474,4655,http://live.laborstats.alaska.gov/alari/index.cfm?r=4&goreg=go&b=0&p=0,351223905,2744,0.699999988079071
13,Northern Economic Region,2012,15620,10907,2367,1101,1461,3090,2889,5716,0.51999998,357,0.03,5247,5659,3928,2825,8470,8962,9265,8732,6649,0,http://live.laborstats.alaska.gov/alari/index.cfm?r=4&goreg=go&b=0&p=0,367732027,2735,0.699999988079071
14,Northern Economic Region,2013,15571,10661,2352,1040,1374,2976,2921,5438,0.50999999,344,0.03,5184,5477,3796,2783,8344,8738,9070,8420,6462,4505,http://live.laborstats.alaska.gov/alari/index.cfm?r=4&goreg=go&b=0&p=0,367216482,2629,0.680000007152557
15,Northern Economic Region,2014,15669,10672,2419,983,1347,2830,3093,5392,0.50999999,352,0.03,5187,5485,3771,2823,8243,8819,8997,8492,6485,4433,http://live.laborstats.alaska.gov/alari/index.cfm?r=4&goreg=go&b=0&p=0,379975601,2074,0.680000007152557
16,Northern Economic Region,2015,15960,10914,2424,1020,1389,2806,3275,5576,0.50999999,342,0.03,5297,5617,3763,2861,8474,9009,9316,8694,6685,4582,http://live.laborstats.alaska.gov/alari/index.cfm?r=4&goreg=go&b=0&p=0,396879838,1828,0.680000007152557
17,Interior Economic Region,2016,71188,42876,5787,3590,5296,13835,14370,32154,0.75,5154,0.12,20791,22085,16940,13048,35851,38746,38043,35456,30090,14669,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&goreg=go&b=0&p=0,1798051991,5227,0.600000023841858
18,Interior Economic Region,2001,65696,41196,8812,4750,6758,14407,6472,31173,0.75999999,4769,0.12,19873,21323,13110,7704,32640,35998,36014,33131,26488,17480,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&goreg=go&b=0&p=0,1086069432,6919,0.629999995231628
19,Interior Economic Region,2002,66362,41547,8627,4661,6677,14768,6815,31022,0.75,4981,0.12,20145,21402,13859,8346,33126,36416,36277,33374,26897,16892,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&goreg=go&b=0&p=0,1128265396,7459,0.629999995231628
20,Interior Economic Region,2003,67242,41892,8209,4733,6692,14943,7315,31451,0.75,5008,0.12,20284,21608,14443,8938,33186,36744,36524,34078,27193,16936,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&goreg=go&b=0&p=0,1172902514,7678,0.620000004768372
21,Interior Economic Region,2004,68246,42825,7857,4822,6752,15181,8214,32302,0.75,5034,0.12,20703,22122,15018,9544,34166,37749,37574,34951,28164,17446,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&goreg=go&b=0&p=0,1250386752,7414,0.629999995231628
22,Interior Economic Region,2005,69027,43448,7906,4516,6690,15425,8913,32881,0.75999999,5095,0.12,21148,22300,15633,10181,34512,38189,38168,35554,28334,17572,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&goreg=go&b=0&p=0,1313328365,6192,0.629999995231628
23,Interior Economic Region,2006,69221,43541,7588,4381,6413,15361,9800,32695,0.75,5182,0.12,21206,22335,16128,10678,35227,38660,38213,35757,29156,17277,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&goreg=go&b=0&p=0,1392051519,6297,0.629999995231628
24,Interior Economic Region,2007,70073,43579,7394,4320,6174,15168,10525,32807,0.75,5229,0.12,21384,22195,16465,11191,35366,38537,38144,35807,29278,17193,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&goreg=go&b=0&p=0,1448543197,5929,0.620000004768372
25,Interior Economic Region,2008,71210,44021,7205,4200,6186,15071,11361,33015,0.75,5347,0.12,21587,22434,16909,11797,35979,39051,38787,36091,29759,16650,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&goreg=go&b=0&p=0,1529102701,6610,0.620000004768372
26,Interior Economic Region,2009,73193,44059,7317,4122,5822,14767,12033,32776,0.74000001,5333,0.12,21590,22469,17215,12120,36070,39044,38793,36321,29983,15520,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&goreg=go&b=0&p=0,1580895457,8054,0.600000023841858
27,Interior Economic Region,2010,73811,44242,7119,4076,5960,14670,12417,32949,0.74000001,5412,0.12,21567,22675,17376,12496,35907,39082,39145,36396,30002,15563,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&goreg=go&b=0&p=0,1614533908,8638,0.600000023841858
28,Interior Economic Region,2011,74677,44452,6993,4086,5881,14711,12781,33111,0.74000001,5395,0.12,21618,22833,17537,12805,36206,39514,39343,36534,30244,15247,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&goreg=go&b=0&p=0,1649323578,8832,0.600000023841858
29,Interior Economic Region,2012,74944,44610,6821,4099,5771,14590,13330,33226,0.74000001,5442,0.12,21726,22883,17596,13052,36254,39646,39482,36765,30266,0,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&goreg=go&b=0&p=0,1699348021,8546,0.600000023841858
30,Interior Economic Region,2013,72742,43530,6378,3761,5643,14353,13396,32354,0.74000001,5379,0.12,21217,22313,17239,13066,35846,38856,38537,35834,29847,14975,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&goreg=go&b=0&p=0,1702499383,7849,0.600000023841858
31,Interior Economic Region,2014,71859,43357,6236,3737,5406,13932,14047,32296,0.74000001,5305,0.12,21010,22346,17099,13087,35895,38679,38469,35972,30194,14617,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&goreg=go&b=0&p=0,1763784726,6236,0.600000023841858
32,Interior Economic Region,2015,71188,42876,5787,3590,5296,13835,14370,32154,0.75,5154,0.12,20791,22085,16940,13048,35851,38746,38043,35456,30090,14669,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&goreg=go&b=0&p=0,1798051991,5227,0.600000023841858
33,Anchorage/Mat-Su Economic Region,2016,280101,171805,19535,12258,20763,57846,61411,144942,0.83999997,11739,0.07,84379,87426,65673,49680,150816,156080,154127,147942,129263,55200,http://live.laborstats.alaska.gov/alari/index.cfm?r=1&b=3&p=15&goplace=go,8162753908,17705,0.610000014305115
34,Anchorage/Mat-Su Economic Region,2001,225775,144873,24588,13847,22766,56770,26909,121869,0.83999997,9718,0.07,70400,74472,45401,26711,122509,128188,127978,121844,101889,60220,http://live.laborstats.alaska.gov/alari/index.cfm?r=1&goreg=go&b=0&p=0,4474998250,18658,0.639999985694885
35,Anchorage/Mat-Su Economic Region,2002,230072,147297,24094,13935,22582,58044,28653,123019,0.83999997,10283,0.07,71960,75337,48009,28700,125093,131334,130544,123846,104880,54435,http://live.laborstats.alaska.gov/alari/index.cfm?r=1&goreg=go&b=0&p=0,4661995307,21168,0.639999985694885
36,Anchorage/Mat-Su Economic Region,2003,235574,149409,23843,13948,22327,58918,30383,124955,0.83999997,10221,0.07,73149,76260,50526,30900,127105,132830,132213,125862,106410,53862,http://live.laborstats.alaska.gov/alari/index.cfm?r=1&goreg=go&b=0&p=0,4828015767,22557,0.629999995231628
37,Anchorage/Mat-Su Economic Region,2004,239619,151779,23125,14097,22448,59519,32596,127152,0.83999997,10186,0.07,74603,77176,52729,33060,128423,135157,134645,128832,108207,54923,http://live.laborstats.alaska.gov/alari/index.cfm?r=1&goreg=go&b=0&p=0,5065770658,21415,0.629999995231628
38,Anchorage/Mat-Su Economic Region,2005,243196,154364,22995,13898,22320,60153,35000,129241,0.83999997,10328,0.07,76183,78181,54847,35345,130480,137603,136998,130886,109664,56179,http://live.laborstats.alaska.gov/alari/index.cfm?r=1&goreg=go&b=0&p=0,5305882754,18222,0.629999995231628
39,Anchorage/Mat-Su Economic Region,2006,245029,155934,22524,13446,21586,60056,38324,130287,0.83999997,10588,0.07,77433,78501,56838,37322,133185,139907,139094,133137,113147,56787,http://live.laborstats.alaska.gov/alari/index.cfm?r=1&goreg=go&b=0&p=0,5627651765,17887,0.639999985694885
40,Anchorage/Mat-Su Economic Region,2007,249960,159360,22861,13514,21148,60390,41456,133624,0.83999997,10684,0.07,79244,80116,59123,39613,136648,143161,141508,135871,115805,57255,http://live.laborstats.alaska.gov/alari/index.cfm?r=1&goreg=go&b=0&p=0,6003036951,17660,0.639999985694885
41,Anchorage/Mat-Su Economic Region,2008,257717,163431,23040,13431,21309,59604,46057,137026,0.83999997,11116,0.07,80743,82688,61568,41983,140740,146572,146229,139744,119624,57213,http://live.laborstats.alaska.gov/alari/index.cfm?r=1&goreg=go&b=0&p=0,6447382574,19913,0.629999995231628
42,Anchorage/Mat-Su Economic Region,2009,263672,163098,22375,13253,20785,58439,48255,136428,0.83999997,11122,0.07,80640,82458,62837,43635,141728,146465,145002,139548,120418,50522,http://live.laborstats.alaska.gov/alari/index.cfm?r=1&goreg=go&b=0&p=0,6584496939,26472,0.620000004768372
43,Anchorage/Mat-Su Economic Region,2010,270553,165744,22910,13236,21160,58281,50167,138430,0.83999997,11402,0.07,81763,83981,64214,45362,141653,148207,147420,142512,121011,51333,http://live.laborstats.alaska.gov/alari/index.cfm?r=1&goreg=go&b=0&p=0,6797727265,29543,0.610000014305115
44,Anchorage/Mat-Su Economic Region,2011,274390,167788,22330,13434,21589,58139,52304,140438,0.83999997,11485,0.07,82881,84907,64966,46806,143419,150305,149822,144143,122664,52841,http://live.laborstats.alaska.gov/alari/index.cfm?r=1&goreg=go&b=0&p=0,7070765110,28775,0.610000014305115
45,Anchorage/Mat-Su Economic Region,2012,275561,169070,21909,13146,21200,58097,54729,141723,0.83999997,11693,0.07,83346,85723,65703,48473,145759,152195,150664,144976,124376,0,http://live.laborstats.alaska.gov/alari/index.cfm?r=1&goreg=go&b=0&p=0,7336340914,26732,0.610000014305115
46,Anchorage/Mat-Su Economic Region,2013,275269,169126,21128,12936,21044,57664,56360,142407,0.83999997,11692,0.07,83609,85517,65676,49143,146187,152529,150905,144990,124751,54209,http://live.laborstats.alaska.gov/alari/index.cfm?r=1&goreg=go&b=0&p=0,7526429105,24313,0.610000014305115
47,Anchorage/Mat-Su Economic Region,2014,277906,171285,20498,12713,21160,57686,59233,144415,0.83999997,11976,0.07,84087,87194,65628,49557,148782,154822,153595,148244,128109,57347,http://live.laborstats.alaska.gov/alari/index.cfm?r=1&goreg=go&b=0&p=0,7906873300,19629,0.620000004768372
48,Anchorage/Mat-Su Economic Region,2015,280101,171805,19535,12258,20763,57846,61411,144942,0.83999997,11739,0.07,84379,87426,65673,49680,150816,156080,154127,147942,129263,55200,http://live.laborstats.alaska.gov/alari/index.cfm?r=1&goreg=go&b=0&p=0,8162753908,17705,0.610000014305115
49,Gulf Coast Economic Region,2016,59960,33964,4918,3026,4618,10700,10703,26886,0.79000002,1847,0.05,16237,17727,15156,11875,28310,30338,29861,27854,23559,10822,http://live.laborstats.alaska.gov/alari/index.cfm?r=2&goreg=go&b=0&p=0,1468630646,4831,0.569999992847443
50,Gulf Coast Economic Region,2001,53657,32776,7152,3988,5857,10007,5773,26299,0.80000001,1700,0.05,15202,17574,11683,6798,25354,28548,28708,25882,20553,14119,http://live.laborstats.alaska.gov/alari/index.cfm?r=2&goreg=go&b=0&p=0,898921264,7068,0.610000014305115
51,Gulf Coast Economic Region,2002,54053,32824,7122,3814,5919,10088,5882,25856,0.79000002,1795,0.05,15262,17562,12182,7282,25709,28623,28624,25835,20764,13030,http://live.laborstats.alaska.gov/alari/index.cfm?r=2&goreg=go&b=0&p=0,917489946,7787,0.610000014305115
52,Gulf Coast Economic Region,2003,54530,32970,7070,3884,5748,10152,6116,25942,0.79000002,1801,0.05,15456,17514,12776,7879,25875,28674,28766,25888,20881,12759,http://live.laborstats.alaska.gov/alari/index.cfm?r=2&goreg=go&b=0&p=0,930854305,7963,0.600000023841858
53,Gulf Coast Economic Region,2004,54877,32963,6716,3812,5763,10335,6338,25913,0.79000002,1789,0.05,15515,17448,13201,8421,25609,28824,28936,26378,20971,12640,http://live.laborstats.alaska.gov/alari/index.cfm?r=2&goreg=go&b=0&p=0,963829628,7432,0.600000023841858
54,Gulf Coast Economic Region,2005,55014,32890,6460,3598,5653,10412,6768,25832,0.79000002,1819,0.06,15645,17245,13572,8913,25741,28701,28919,26351,21046,12882,http://live.laborstats.alaska.gov/alari/index.cfm?r=2&goreg=go&b=0&p=0,1003905850,6403,0.600000023841858
55,Gulf Coast Economic Region,2006,55046,32721,6091,3457,5411,10444,7320,25629,0.77999997,1841,0.06,15663,17058,13941,9355,26013,28976,28810,26585,21700,11997,http://live.laborstats.alaska.gov/alari/index.cfm?r=2&goreg=go&b=0&p=0,1051552933,5986,0.589999973773956
56,Gulf Coast Economic Region,2007,56050,33212,6010,3415,5350,10507,7932,26507,0.80000001,1842,0.06,15857,17355,14349,9840,26456,29454,29302,26919,21901,12303,http://live.laborstats.alaska.gov/alari/index.cfm?r=2&goreg=go&b=0&p=0,1112392852,6020,0.589999973773956
57,Gulf Coast Economic Region,2008,57105,33763,5931,3390,5315,10484,8644,26822,0.79000002,1917,0.06,16109,17654,14780,10406,26979,29842,29930,27571,22521,12249,http://live.laborstats.alaska.gov/alari/index.cfm?r=2&goreg=go&b=0&p=0,1194104705,6222,0.589999973773956
58,Gulf Coast Economic Region,2009,58196,33656,5742,3387,5257,10393,8877,26597,0.79000002,1904,0.06,15984,17672,14902,10736,27250,29984,29707,27406,22701,10883,http://live.laborstats.alaska.gov/alari/index.cfm?r=2&goreg=go&b=0&p=0,1216069612,7663,0.579999983310699
59,Gulf Coast Economic Region,2010,58843,33946,5705,3278,5172,10623,9170,26835,0.79000002,1921,0.06,16249,17697,15116,11073,27316,30199,30040,27924,22849,11329,http://live.laborstats.alaska.gov/alari/index.cfm?r=2&goreg=go&b=0&p=0,1248394986,7997,0.579999983310699
60,Gulf Coast Economic Region,2011,59535,34331,5716,3271,5144,10678,9525,27101,0.79000002,1930,0.06,16384,17947,15354,11515,27726,30438,30268,28186,23225,11457,http://live.laborstats.alaska.gov/alari/index.cfm?r=2&goreg=go&b=0&p=0,1299154371,7745,0.579999983310699
61,Gulf Coast Economic Region,2012,59713,34546,5496,3220,5125,10697,10008,27328,0.79000002,1907,0.06,16455,18090,15523,11894,28158,30751,30527,28527,23584,0,http://live.laborstats.alaska.gov/alari/index.cfm?r=2&goreg=go&b=0&p=0,1354526303,7089,0.579999983310699
62,Gulf Coast Economic Region,2013,59174,34190,5056,3200,4833,10775,10327,27072,0.79000002,1917,0.06,16280,17910,15378,11924,28285,30583,30215,28238,23675,11299,http://live.laborstats.alaska.gov/alari/index.cfm?r=2&goreg=go&b=0&p=0,1393193802,6405,0.579999983310699
63,Gulf Coast Economic Region,2014,59354,34118,4850,2982,4813,10922,10552,26905,0.79000002,1895,0.06,16291,17823,15251,11929,28446,30694,30280,28410,23979,11181,http://live.laborstats.alaska.gov/alari/index.cfm?r=2&goreg=go&b=0&p=0,1435060582,5495,0.569999992847443
64,Gulf Coast Economic Region,2015,59960,33964,4918,3026,4618,10700,10703,26886,0.79000002,1847,0.05,16237,17727,15156,11875,28310,30338,29861,27854,23559,10822,http://live.laborstats.alaska.gov/alari/index.cfm?r=2&goreg=go&b=0&p=0,1468630646,4831,0.569999992847443
65,Southeast Economic Region,2016,54251,32962,4470,2918,4184,11594,9796,21287,0.64999998,5237,0.16,16644,16317,14671,11391,27719,29925,29105,27318,23215,9774,http://live.laborstats.alaska.gov/alari/index.cfm?r=5&goreg=go&b=0&p=0,1257962091,3769,0.610000014305115
66,Southeast Economic Region,2001,52346,34190,6738,3749,5668,13512,4524,23375,0.68000001,5378,0.16,17046,17144,12484,7723,27971,30354,30013,27819,22918,13342,http://live.laborstats.alaska.gov/alari/index.cfm?r=5&goreg=go&b=0&p=0,880149671,6362,0.649999976158142
67,Southeast Economic Region,2002,52237,33712,6483,3660,5499,13401,4671,21950,0.64999998,5522,0.16,16886,16826,12734,8019,27306,29881,29863,27638,22604,12248,http://live.laborstats.alaska.gov/alari/index.cfm?r=5&goreg=go&b=0&p=0,884964047,6453,0.649999976158142
68,Southeast Economic Region,2003,52335,33680,6228,3617,5469,13386,4983,21912,0.64999998,5525,0.16,16852,16828,13122,8453,27534,29984,29621,27450,22736,11952,http://live.laborstats.alaska.gov/alari/index.cfm?r=5&goreg=go&b=0&p=0,910339476,6516,0.639999985694885
69,Southeast Economic Region,2004,52203,33508,6066,3637,5366,13234,5205,21867,0.64999998,5387,0.16,16916,16592,13391,8853,27144,29845,29642,27383,22495,12053,http://live.laborstats.alaska.gov/alari/index.cfm?r=5&goreg=go&b=0&p=0,921141286,6243,0.639999985694885
70,Southeast Economic Region,2005,52335,33599,5867,3499,5283,13274,5677,22070,0.66000003,5418,0.16,16986,16613,13815,9316,27301,30202,29768,27626,22758,11993,http://live.laborstats.alaska.gov/alari/index.cfm?r=5&goreg=go&b=0&p=0,960138778,5294,0.639999985694885
71,Southeast Economic Region,2006,52054,33364,5668,3359,5040,13087,6211,21704,0.64999998,5469,0.16,16981,16383,14052,9593,27366,29918,29666,27497,22900,11859,http://live.laborstats.alaska.gov/alari/index.cfm?r=5&goreg=go&b=0&p=0,994722561,5070,0.639999985694885
72,Southeast Economic Region,2007,51799,33048,5282,3254,4932,12860,6720,21545,0.64999998,5295,0.16,16855,16193,14184,9906,27269,29843,29249,27297,22786,11598,http://live.laborstats.alaska.gov/alari/index.cfm?r=5&goreg=go&b=0&p=0,1025471783,4750,0.639999985694885
73,Southeast Economic Region,2008,52232,33237,5376,3178,4700,12661,7322,21439,0.64999998,5486,0.17,16982,16255,14608,10436,27361,29823,29830,27292,22912,11012,http://live.laborstats.alaska.gov/alari/index.cfm?r=5&goreg=go&b=0&p=0,1070976732,5046,0.639999985694885
74,Southeast Economic Region,2009,52828,32644,5134,3081,4388,12381,7660,20850,0.63999999,5341,0.16,16627,16017,14528,10543,26908,29380,29035,27126,22760,9962,http://live.laborstats.alaska.gov/alari/index.cfm?r=5&goreg=go&b=0&p=0,1087073006,6092,0.620000004768372
75,Southeast Economic Region,2010,53173,32720,5091,3002,4432,12260,7935,20755,0.63,5420,0.17,16621,16099,14766,10893,26911,29478,29157,27230,22847,9740,http://live.laborstats.alaska.gov/alari/index.cfm?r=5&goreg=go&b=0&p=0,1115285867,6440,0.620000004768372
76,Southeast Economic Region,2011,54209,33195,5013,2973,4554,12271,8385,21126,0.63999999,5433,0.16,16820,16375,14948,11243,27352,30011,29563,27561,23208,9864,http://live.laborstats.alaska.gov/alari/index.cfm?r=5&goreg=go&b=0&p=0,1150404018,6423,0.610000014305115
77,Southeast Economic Region,2012,54344,33325,4914,2936,4492,11976,9007,21304,0.63999999,5420,0.16,16853,16470,15043,11500,27572,30107,29672,27931,23442,0,http://live.laborstats.alaska.gov/alari/index.cfm?r=5&goreg=go&b=0&p=0,1195033527,5903,0.610000014305115
78,Southeast Economic Region,2013,53807,33141,4742,2879,4402,11829,9289,21293,0.63999999,5401,0.16,16782,16359,15016,11659,27584,29935,29311,27621,23125,9913,http://live.laborstats.alaska.gov/alari/index.cfm?r=5&goreg=go&b=0&p=0,1215663963,5518,0.620000004768372
79,Southeast Economic Region,2014,54010,33276,4754,2947,4221,11722,9632,21354,0.63999999,5413,0.16,16790,16485,14980,11588,27633,30106,29625,27700,23369,10046,http://live.laborstats.alaska.gov/alari/index.cfm?r=5&goreg=go&b=0&p=0,1244730411,4655,0.620000004768372
80,Southeast Economic Region,2015,54251,32962,4470,2918,4184,11594,9796,21287,0.64999998,5237,0.16,16644,16317,14671,11391,27719,29925,29105,27318,23215,9774,http://live.laborstats.alaska.gov/alari/index.cfm?r=5&goreg=go&b=0&p=0,1257962091,3769,0.610000014305115
81,Southwest Economic Region,2016,26150,17712,4960,1938,2681,4716,3417,10077,0.56999999,613,0.03,8466,9246,6598,4955,13715,14680,14838,13762,10662,7181,http://live.laborstats.alaska.gov/alari/index.cfm?r=6&goreg=go&b=0&p=0,487721826,3827,0.680000007152557
82,Southwest Economic Region,2001,22713,16420,4950,2193,3033,4644,1601,10580,0.63999999,514,0.03,7628,8792,4733,2920,12838,13407,13709,13191,9899,7780,http://live.laborstats.alaska.gov/alari/index.cfm?r=6&goreg=go&b=0&p=0,328953450,3458,0.720000028610229
83,Southwest Economic Region,2002,22805,16710,4819,2275,3094,4791,1731,9705,0.57999998,533,0.03,7741,8969,4966,3069,13022,13825,14082,13388,10061,7914,http://live.laborstats.alaska.gov/alari/index.cfm?r=6&goreg=go&b=0&p=0,345756454,4070,0.730000019073486
84,Southwest Economic Region,2003,22991,16838,4816,2217,3047,4833,1925,9810,0.57999998,531,0.03,7875,8963,5270,3311,13135,13881,14203,13581,10251,7722,http://live.laborstats.alaska.gov/alari/index.cfm?r=6&goreg=go&b=0&p=0,360826272,4337,0.730000019073486
85,Southwest Economic Region,2004,23304,16915,4827,2202,2985,4846,2056,9510,0.56,561,0.03,7934,8981,5495,3470,13387,13953,14121,13462,10250,7705,http://live.laborstats.alaska.gov/alari/index.cfm?r=6&goreg=go&b=0&p=0,373511250,4461,0.730000019073486
86,Southwest Economic Region,2005,23514,16835,4854,2207,2999,4732,2043,9614,0.56999999,573,0.03,7942,8893,5670,3619,13184,12538,14077,13142,8826,7565,http://live.laborstats.alaska.gov/alari/index.cfm?r=6&goreg=go&b=0&p=0,365693066,4120,0.720000028610229
87,Southwest Economic Region,2006,23436,16612,4820,1980,2840,4657,2315,9333,0.56,547,0.03,7846,8766,5645,3660,12734,13683,13888,13266,9905,7602,http://live.laborstats.alaska.gov/alari/index.cfm?r=6&goreg=go&b=0&p=0,384989058,3967,0.709999978542328
88,Southwest Economic Region,2007,23428,16575,4732,2045,2647,4639,2512,9100,0.55000001,683,0.04,7803,8772,5859,3865,12809,13788,13823,13151,9991,7296,http://live.laborstats.alaska.gov/alari/index.cfm?r=6&goreg=go&b=0&p=0,396649171,3992,0.709999978542328
89,Southwest Economic Region,2008,23962,16783,4851,1984,2660,4590,2698,9147,0.55000001,693,0.04,7949,8834,6018,4024,12894,13656,14191,13250,10049,7112,http://live.laborstats.alaska.gov/alari/index.cfm?r=6&goreg=go&b=0&p=0,409449036,4556,0.699999988079071
90,Southwest Economic Region,2009,24518,17130,4835,2068,2860,4568,2799,9651,0.56,606,0.04,8019,9111,6295,4230,13167,13982,14512,13656,10313,7210,http://live.laborstats.alaska.gov/alari/index.cfm?r=6&goreg=go&b=0&p=0,421442234,5191,0.699999988079071
91,Southwest Economic Region,2010,24994,17492,4818,2027,2905,4821,2921,9846,0.56,629,0.04,8192,9300,6460,4403,13369,14332,14747,13899,10369,7389,http://live.laborstats.alaska.gov/alari/index.cfm?r=6&goreg=go&b=0&p=0,441797342,5471,0.699999988079071
92,Southwest Economic Region,2011,25370,17764,4816,2104,2898,4832,3114,10104,0.56999999,630,0.04,8403,9360,6618,4598,13529,14541,14970,14069,10549,7511,http://live.laborstats.alaska.gov/alari/index.cfm?r=6&goreg=go&b=0&p=0,457487011,5511,0.699999988079071
93,Southwest Economic Region,2012,25428,17818,4855,2041,2929,4746,3247,10244,0.56999999,652,0.04,8441,9377,6644,4685,13762,14650,15092,14053,10774,0,http://live.laborstats.alaska.gov/alari/index.cfm?r=6&goreg=go&b=0&p=0,469909156,5485,0.699999988079071
94,Southwest Economic Region,2013,25514,17592,4844,1987,2751,4659,3352,10020,0.56999999,598,0.03,8391,9200,6618,4819,13639,14236,14859,13862,10578,6978,http://live.laborstats.alaska.gov/alari/index.cfm?r=6&goreg=go&b=0&p=0,475844031,5231,0.689999997615814
95,Southwest Economic Region,2014,25903,17787,4965,2026,2704,4773,3319,10200,0.56999999,621,0.03,8467,9316,6625,4892,13625,14709,14905,13700,10450,7283,http://live.laborstats.alaska.gov/alari/index.cfm?r=6&goreg=go&b=0&p=0,479732857,4402,0.689999997615814
