X,Y,OBJECTID,CommunityName,EntityName,LocalityType,IncorporationType,IncorporationDate,BoroughOrCensusArea,PublicEducationPowers,PlanningAndLandUseRegulation,PropertyTax,SalesTax,OtherPowersNotProhibited,CityCouncilAssemblyComposition,ElectionAndTermOfMayor,VoteByMayorForCities,VetoPowerOfTheMayor,PowerOfEminentDomainCitiesOnly,AbilityToAttainHomeRuleStatus,ProvideTransportationSystems,LicenseDayCareFacilitiesBorough,ProvideAdditionalServiceBorough,DataYear,AsOfDate
-149.89484742,61.21627757,11,Anchorage,Municipality of Anchorage,Borough,Unified Home Rule Borough,1975,Municipality of Anchorage,Must provide the service areawide in accordance with AS 14.,"Must exercise the powers areawide, but not necessarily in accordance with AS 29.40.","Limited to 30 mills except where a higher levy is necessary to avoid debt; voter approval to levy property taxes is required by some charters.","The rate of levy may be limited by charter, and voter approval to levy sales taxes may be required by charter.",Determined by charter or ordinance.,"Flexible; determined according to AS 29.20.",Established by charter or ordinance AS 29.20.,,Established by charter or ordinance.,,Already has home rule status.,Determined by charter or ordinance.,Determined by charter or ordinance.,Determined by charter or ordinance.,,2018/05/18 08:00:00+00
-149.19078163,64.34335795,12,Anderson,City of Anderson,Community,2nd Class City,1962,Denali Borough,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-134.58084625,57.4995695000001,13,Angoon,City of Angoon,Community,2nd Class City,1963,Hoonah-Angoon Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-159.52759488,61.5787638800001,14,Aniak,City of Aniak,Community,2nd Class City,1972,Bethel Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-160.1993288,62.65252995,15,Anvik,City of Anvik,Community,2nd Class City,1969,Yukon-Koyukuk Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-174.20019881,52.1978076400001,16,Atka,City of Atka,Community,2nd Class City,1988,Aleutians West Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-157.4235473,70.48213652,17,Atqasuk,City of Atqasuk,Community,2nd Class City,1982,North Slope Borough,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-156.76100969,71.2893977300001,18,Utqiagvik,City of Utqiagvik,Community,1st Class City,1958,North Slope Borough,Not permitted to provide this service.,The city may be permitted to exercise the powers in accordance with AS 29.40.,"The city may tax up to 30 mills, except where a higher levy is necessary to avoid default on debt. Voter approval is not required under State law; however, stricter limitations can be imposed at the local level.","No limit on the rate of levy of sales taxes, but voter approval is required.",May exercise other powers not prohibited by law.,"6 members elected at-large, except the council may provide for election other than at-large.","Elected at large for a 3-year term, unless a different term not to exceed 4 years is provided by ordinance.",May vote to break a tie vote on the city council.,"Has veto power, except veto is not permitted of ordinance prohibiting posession of alcohol.",Permitted by statute.,Voters may adopt home-rule charter.,,,,,2018/05/18 08:00:00+00
-161.77177087,60.7911992000001,19,Bethel,City of Bethel,Community,2nd Class City,1957,Bethel Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-151.50835587,66.92186904,20,Bettles,City of Bettles,Community,2nd Class City,1985,Yukon-Koyukuk Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-166.4922015,65.3344880500001,21,Brevig Mission,City of Brevig Mission,Community,2nd Class City,1969,Nome Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-157.01727128,58.7273345300001,22,Bristol Bay Borough,Bristol Bay Borough,Borough,2nd Class Borough,1962,Bristol Bay Borough,Must provide the service areawide in accordance with AS 14.,"The borough must exercise the powers areawide; in accordance with AS 29.40; the borough may allow cities to assume such powers within their boundaries.","Same as in a home rule borough, except there is no charter. Still, some general law boroughs have more limited taxing authority established by local action.","No limits exist on the rate of levy; however, voter approval is required to levy sales taxes.","May be exercised areawide upon areawide voters' approval or by transfer of powers from all cities and approval of nonareawide voters; may be exercised nonareawide by approval of nonareawide voters; may be exercised on a service area basis with voter approval.","Flexible; determined according to AS 29.20.","Elected at large for a 3-year term, unless a different term not to exceed 4 years is provided by ordinance.",,May vote to break a tie vote.,,Voters may adopt home rule charter.,"May be exercised on an areawide or nonareawide basis by ordinance; approval from voters or property owners required for service area powers.","May be exercised on an areawide basis by ordinance; voter approval required for exercise on a nonareawide or service area basis.","May be exercised areawide upon approval of areawide voters or by transfer of powers from all cities; may be exercised by ordinance on a nonareawide basis; may be exercised on a service area basis with voter approval.",,2018/05/18 08:00:00+00
-161.12902024,65.9776538400001,23,Buckland,City of Buckland,Community,2nd Class City,1966,Northwest Arctic Borough,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-164.28034055,60.1580149500001,24,Chefornak,City of Chefornak,Community,2nd Class City,1974,Bethel Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-165.59052769,61.5286181800001,25,Chevak,City of Chevak,Community,2nd Class City,1967,Kusilvak Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-158.41415576,56.3012632000001,26,Chignik,City of Chignik,Community,2nd Class City,1983,Lake and Peninsula Borough,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-159.24202177,61.57491472,27,Chuathbaluk,City of Chuathbaluk,Community,2nd Class City,1975,Bethel Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-158.54797691,58.8345343,28,Clark's Point,City of Clark's Point,Community,2nd Class City,1971,Dillingham Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-132.82826284,56.0140424900001,29,Coffman Cove,City of Coffman Cove,Community,2nd Class City,1989,Prince of Wales-Hyder Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-162.71498738,55.2065679500001,30,Cold Bay,City of Cold Bay,Community,2nd Class City,1981,Aleutians East Borough,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-145.76017488,60.54406292,31,Cordova,City of Cordova,Community,Home Rule City,1909,Valdez-Cordova Census Area,Must provide the service in accordance with AS 14.,Must exercise the powers in accordance with AS 29.40.,"The city may tax up to 30 mills, except where a higher levy is necessary to avoid default on debt. Some home-rule charters require voter approval to authorize the levy of property taxes.",Rate of levy may be limited by charter. Requirements for voter approval may also be set by charter.,Possess all legislative powers not prohibited by law or charter.,Determined by charter or ordinance.,Determined by charter or ordinance.,Determined by charter or ordinance.,"Determined by charter or ordinance, except veto is not permitted of ordinance prohibiting posession of alcohol.",Permitted by statute.,Already has home-rule status.,,,,,2018/05/18 08:00:00+00
-133.15108263,55.4760442100001,32,Craig,City of Craig,Community,1st Class City,1922,Prince of Wales-Hyder Census Area,Must provide the service in accordance with AS 14.,Must exercise the powers in accordance with AS 29.40.,"The city may tax up to 30 mills, except where a higher levy is necessary to avoid default on debt. Voter approval is not required under State law; however, stricter limitations can be imposed at the local level.","No limit on the rate of levy of sales taxes, but voter approval is required.",May exercise other powers not prohibited by law.,"6 members elected at-large, except the council may provide for election other than at-large.","Elected at large for a 3-year term, unless a different term not to exceed 4 years is provided by ordinance.",May vote to break a tie vote on the city council.,"Has veto power, except veto is not permitted of ordinance prohibiting posession of alcohol.",Permitted by statute.,Voters may adopt home-rule charter.,,,,,2018/05/18 08:00:00+00
-162.72884219,66.07667336,33,Deering,City of Deering,Community,2nd Class City,1970,Northwest Arctic Borough,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-145.73666819,64.04716726,34,Delta Junction,City of Delta Junction,Community,2nd Class City,1960,Southeast Fairbanks Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-149.00584489,63.8703844300001,35,Denali Borough,Denali Borough,Borough,Non-Unified Home Rule Borough,1990,Denali Borough,Must provide the service areawide in accordance with AS 14.,"Must exercise the powers areawide, but not necessarily in accordance with AS 29.40.","Limited to 30 mills except where a higher levy is necessary to avoid debt; voter approval to levy property taxes is required by some charters.","The rate of levy may be limited by charter, and voter approval to levy sales taxes may be required by charter.",Determined by charter or ordinance.,"Flexible; determined according to AS 29.20.",Established by charter or ordinance AS 29.20.,,Established by charter or ordinance.,,Already has home rule status.,Determined by charter or ordinance.,Determined by charter or ordinance.,Determined by charter or ordinance.,,2018/05/18 08:00:00+00
-158.46307877,59.0393744300001,36,Dillingham,City of Dillingham,Community,1st Class City,1963,Dillingham Census Area,Must provide the service in accordance with AS 14.,Must exercise the powers in accordance with AS 29.40.,"The city may tax up to 30 mills, except where a higher levy is necessary to avoid default on debt. Voter approval is not required under State law; however, stricter limitations can be imposed at the local level.","No limit on the rate of levy of sales taxes, but voter approval is required.",May exercise other powers not prohibited by law.,"6 members elected at-large, except the council may provide for election other than at-large.","Elected at large for a 3-year term, unless a different term not to exceed 4 years is provided by ordinance.",May vote to break a tie vote on the city council.,"Has veto power, except veto is not permitted of ordinance prohibiting posession of alcohol.",Permitted by statute.,Voters may adopt home-rule charter.,,,,,2018/05/18 08:00:00+00
-168.95179186,65.7583525100001,37,Diomede,City of Diomede,Community,2nd Class City,1970,Nome Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-141.2075972,64.7889396800001,38,Eagle,City of Eagle,Community,2nd Class City,1901,Southeast Fairbanks Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
