OBJECTID,EntityName,NumberOfDropouts,DropoutRate,SchoolYear,Year,shape
1029,Yukon-Koyukuk School District,45,0.063,2012/2013,2013,
1030,Yukon-Koyukuk School District,45,0.062,2013/2014,2014,
1031,Yukon-Koyukuk School District,36,0.05,2014/2015,2015,
1032,Yukon-Koyukuk School District,58,0.08,2015/2016,2016,
1033,Yukon-Koyukuk School District,58,0.08,2015/2016,2016,
1034,Yukon-Koyukuk School District,47,0.06,2016/2017,2017,
1048,Kake City School District,2,0.043,2015/2016,2016,
1049,Kake City School District,2,0.043,2015/2016,2016,
1050,Kake City School District,0,0,2016/2017,2017,
1072,Anchorage School District,1014,0.046,2011/2012,2012,
1073,Anchorage School District,775,0.035,2012/2013,2013,
1074,Anchorage School District,721,0.034,2013/2014,2014,
1075,Anchorage School District,648,0.03,2014/2015,2015,
1076,Anchorage School District,698,0.033,2015/2016,2016,
1077,Anchorage School District,698,0.033,2015/2016,2016,
1100,Saint Mary's School District,5,0.063,2011/2012,2012,
1101,Saint Mary's School District,2,0.026,2012/2013,2013,
1102,Saint Mary's School District,4,0.051,2013/2014,2014,
1103,Saint Mary's School District,5,0.062,2014/2015,2015,
1104,Saint Mary's School District,5,0.069,2015/2016,2016,
1105,Saint Mary's School District,5,0.069,2015/2016,2016,
1106,Saint Mary's School District,6,0.071,2016/2017,2017,
1111,Delta-Greely School District,46,0.107,2011/2012,2012,
1112,Delta-Greely School District,15,0.043,2012/2013,2013,
1113,Delta-Greely School District,4,0.011,2013/2014,2014,
1114,Delta-Greely School District,11,0.031,2014/2015,2015,
1115,Delta-Greely School District,6,0.017,2015/2016,2016,
1116,Delta-Greely School District,6,0.017,2015/2016,2016,
1117,Delta-Greely School District,5,0.014,2016/2017,2017,
1133,Valdez City School District,4,0.012,2011/2012,2012,
1134,Valdez City School District,5,0.018,2012/2013,2013,
1135,Valdez City School District,1,0.004,2013/2014,2014,
1146,Bering Strait School District,33,0.051,2011/2012,2012,
1147,Bering Strait School District,25,0.038,2012/2013,2013,
1148,Bering Strait School District,27,0.04,2013/2014,2014,
1149,Bering Strait School District,29,0.044,2014/2015,2015,
1150,Bering Strait School District,13,0.02,2015/2016,2016,
1151,Bering Strait School District,13,0.02,2015/2016,2016,
1152,Bering Strait School District,22,0.03,2016/2017,2017,
1164,Lake and Peninsula Borough School District,7,0.056,2015/2016,2016,
1165,Lake and Peninsula Borough School District,7,0.056,2015/2016,2016,
1166,Lake and Peninsula Borough School District,4,0.031,2016/2017,2017,
1188,Iditarod Area School District,9,0.049,2011/2012,2012,
1189,Iditarod Area School District,5,0.054,2012/2013,2013,
1190,Iditarod Area School District,2,0.018,2013/2014,2014,
1191,Iditarod Area School District,3,0.021,2014/2015,2015,
1192,Iditarod Area School District,2,0.017,2015/2016,2016,
1202,Yakutat School District,2,0.038,2011/2012,2012,
1203,Yakutat School District,1,0.023,2012/2013,2013,
1204,Yakutat School District,0,0,2013/2014,2014,
1205,Yakutat School District,0,0,2014/2015,2015,
1206,Yakutat School District,2,0.053,2015/2016,2016,
1207,Yakutat School District,2,0.053,2015/2016,2016,
1208,Yakutat School District,2,0.053,2016/2017,2017,
1224,Valdez City School District,1,0.004,2014/2015,2015,
1225,Valdez City School District,2,0.007,2015/2016,2016,
1226,Valdez City School District,2,0.007,2015/2016,2016,
1227,Valdez City School District,3,0.011,2016/2017,2017,
1249,Lower Yukon School District,88,0.106,2011/2012,2012,
1250,Lower Yukon School District,60,0.073,2012/2013,2013,
1251,Lower Yukon School District,81,0.099,2013/2014,2014,
1252,Lower Yukon School District,61,0.073,2014/2015,2015,
1253,Lower Yukon School District,81,0.1,2015/2016,2016,
1254,Lower Yukon School District,81,0.1,2015/2016,2016,
1255,Lower Yukon School District,55,0.07,2016/2017,2017,
1277,Hoonah City School District,1,0.02,2011/2012,2012,
1278,Hoonah City School District,0,0,2012/2013,2013,
1279,Hoonah City School District,3,0.061,2013/2014,2014,
1280,Hoonah City School District,2,0.039,2014/2015,2015,
1281,Hoonah City School District,1,0.02,2015/2016,2016,
1282,Hoonah City School District,1,0.02,2015/2016,2016,
1283,Hoonah City School District,0,0,2016/2017,2017,
1305,Nenana City School District,165,0.236,2011/2012,2012,
1306,Nenana City School District,151,0.218,2012/2013,2013,
1307,Nenana City School District,127,0.2,2013/2014,2014,
1308,Nenana City School District,169,0.249,2014/2015,2015,
1309,Nenana City School District,174,0.264,2015/2016,2016,
1310,Nenana City School District,174,0.264,2015/2016,2016,
1311,Nenana City School District,130,0.207,2016/2017,2017,
1333,Craig City School District,16,0.073,2011/2012,2012,
1334,Craig City School District,11,0.048,2012/2013,2013,
1335,Craig City School District,11,0.052,2013/2014,2014,
1336,Craig City School District,3,0.015,2014/2015,2015,
1337,Craig City School District,5,0.02,2015/2016,2016,
1338,Craig City School District,5,0.02,2015/2016,2016,
1339,Craig City School District,4,0.018,2016/2017,2017,
1361,Tanana City School District,0,0,2011/2012,2012,
1362,Tanana City School District,0,0,2012/2013,2013,
1363,Tanana City School District,0,0,2013/2014,2014,
1364,Tanana City School District,0,0,2014/2015,2015,
1365,Tanana City School District,0,0,2015/2016,2016,
1366,Tanana City School District,0,0,2015/2016,2016,
1367,Tanana City School District,0,0,2016/2017,2017,
1389,Chatham School District,1,0.015,2011/2012,2012,
1390,Chatham School District,0,0,2012/2013,2013,
1391,Chatham School District,0,0,2013/2014,2014,
1392,Chatham School District,1,0.015,2014/2015,2015,
1393,Chatham School District,0,0,2015/2016,2016,
1394,Chatham School District,0,0,2015/2016,2016,
1395,Chatham School District,0,0,2016/2017,2017,
1417,Ketchikan Gateway Borough School District,30,0.028,2011/2012,2012,
1418,Ketchikan Gateway Borough School District,32,0.029,2012/2013,2013,
1419,Ketchikan Gateway Borough School District,47,0.041,2013/2014,2014,
1420,Ketchikan Gateway Borough School District,45,0.036,2014/2015,2015,
1421,Ketchikan Gateway Borough School District,32,0.03,2015/2016,2016,
1422,Ketchikan Gateway Borough School District,32,0.03,2015/2016,2016,
1423,Ketchikan Gateway Borough School District,34,0.031,2016/2017,2017,
1445,Annette Island School District,6,0.05,2011/2012,2012,
1446,Annette Island School District,0,0,2012/2013,2013,
1447,Annette Island School District,0,0,2013/2014,2014,
1448,Annette Island School District,5,0.033,2014/2015,2015,
1449,Annette Island School District,1,0.008,2015/2016,2016,
1450,Annette Island School District,1,0.008,2015/2016,2016,
1451,Annette Island School District,1,0.008,2016/2017,2017,
1478,Alaska Gateway School District,12,0.063,2011/2012,2012,
1479,Alaska Gateway School District,17,0.106,2012/2013,2013,
1480,Alaska Gateway School District,14,0.082,2013/2014,2014,
1481,Alaska Gateway School District,13,0.079,2014/2015,2015,
1482,Alaska Gateway School District,10,0.057,2015/2016,2016,
1483,Alaska Gateway School District,10,0.057,2015/2016,2016,
1484,Alaska Gateway School District,8,0.051,2016/2017,2017,
1485,North Slope Borough School District,8,0.011,2017/2018,2018,
1486,Yukon Flats School District,2,0.021,2017/2018,2018,
1487,Northwest Arctic Borough School District,52,0.067,2017/2018,2018,
1488,Yukon-Koyukuk School District,42,0.049,2017/2018,2018,
1489,Fairbanks North Star Borough School District,203,0.035,2017/2018,2018,
1490,Alaska Gateway School District,1,0.006,2017/2018,2018,
1491,Delta-Greely School District,8,0.023,2017/2018,2018,
1492,Lower Yukon School District,72,0.095,2017/2018,2018,
1493,Denali Borough School District,3,0.007,2017/2018,2018,
1494,Iditarod Area School District,1,0.009,2017/2018,2018,
1495,Matanuska-Susitna Borough School District,152,0.018,2017/2018,2018,
1496,Copper River School District,13,0.066,2017/2018,2018,
1497,Kuspuk School District,9,0.073,2017/2018,2018,
1498,Kashunamiut School District,1,0.008,2017/2018,2018,
1499,Lower Kuskokwim School District,143,0.079,2017/2018,2018,
1500,Chugach School District,8,0.042,2017/2018,2018,
1501,Anchorage School District,635,0.03,2017/2018,2018,
1502,Kenai Peninsula Borough School District,73,0.018,2017/2018,2018,
1503,Yakutat School District,0,0,2017/2018,2018,
1504,Skagway School District,0,0,2017/2018,2018,
1505,Southwest Region School District,16,0.07,2017/2018,2018,
1506,Haines Borough School District,1,0.009,2017/2018,2018,
1507,Lake and Peninsula Borough School District,5,0.04,2017/2018,2018,
1508,Juneau Borough School District,51,0.024,2017/2018,2018,
1509,Chatham School District,0,0,2017/2018,2018,
1510,Petersburg Borough School District,0,0,2017/2018,2018,
1511,Kodiak Island Borough School District,20,0.018,2017/2018,2018,
1512,Aleutian Region School District,0,0,2017/2018,2018,
1513,Bristol Bay Borough School District,0,0,2017/2018,2018,
1514,Wrangell Public School District,2,0.016,2017/2018,2018,
1515,Southeast Island School District,5,0.064,2017/2018,2018,
1516,Ketchikan Gateway Borough School District,33,0.031,2017/2018,2018,
1517,Pribilof School District,1,0.091,2017/2018,2018,
1518,Aleutians East Borough School District,1,0.012,2017/2018,2018,
1519,Annette Island School District,3,0.023,2017/2018,2018,
1520,Yupiit School District,41,0.215,2017/2018,2018,
1521,Bering Strait School District,19,0.026,2017/2018,2018,
1522,Pelican City School District,0,0,2017/2018,2018,
1523,Galena City School District,44,0.021,2017/2018,2018,
1524,Valdez City School District,1,0.004,2017/2018,2018,
1525,Cordova City School District,3,0.019,2017/2018,2018,
1526,Unalaska City School District,0,0,2017/2018,2018,
1527,Dillingham City School District,4,0.02,2017/2018,2018,
1528,Craig City School District,4,0.019,2017/2018,2018,
1529,Kake City School District,0,0,2017/2018,2018,
1530,Nenana City School District,80,0.119,2017/2018,2018,
1531,Tanana City School District,0,0,2017/2018,2018,
1532,Saint Mary's School District,0,0,2017/2018,2018,
1533,Nome Public Schools,9,0.033,2017/2018,2018,
1534,Klawock City School District,3,0.052,2017/2018,2018,
1535,Hydaburg City School District,3,0.075,2017/2018,2018,
1536,Hoonah City School District,0,0,2017/2018,2018,
1537,Sitka School District,6,0.011,2017/2018,2018,
1538,Mt. Edgecumbe High School,3,0.007,2017/2018,2018,
1539,North Slope Borough School District,26,0.032,2018/2019,2019,
1540,Yukon Flats School District,7,0.082,2018/2019,2019,
1541,Northwest Arctic Borough School District,72,0.095,2018/2019,2019,
1542,Yukon-Koyukuk School District,57,0.058,2018/2019,2019,
1543,Fairbanks North Star Borough School District,183,0.033,2018/2019,2019,
1544,Alaska Gateway School District,4,0.026,2018/2019,2019,
1545,Delta-Greely School District,10,0.029,2018/2019,2019,
1546,Lower Yukon School District,54,0.072,2018/2019,2019,
1547,Denali Borough School District,0,0,2018/2019,2019,
