X,Y,OBJECTID,CommunityName,IncorporationType,Population,Source,DataYear,CommunityAreaTypeName
547790.856091772,1530825.16369162,125,Tok,Unincorporated Census Designated Place,1239,DCCED Certified,2016,Community
-604708.940679213,1222203.06208921,126,Toksook Bay,2nd Class City,656,DCCED Certified,2016,Community
409617.642624607,1371188.95131293,127,Tolsona,Unincorporated Census Designated Place,23,DCCED Certified,2016,Community
464271.195017703,1328969.85066943,128,Tonsina,Unincorporated Census Designated Place,77,DCCED Certified,2016,Place of Interest
194567.15888356,1376852.45079043,129,Trapper Creek,Census Designated Place,489,DCCED Certified,2016,Community
-373149.436221529,1254734.12369385,130,Tuluksak,Unincorporated Census Designated Place,363,DCCED Certified,2016,Community
-475946.828570827,1181762.56330012,131,Tuntutuliak,Unincorporated Census Designated Place,454,DCCED Certified,2016,Community
-611414.696738958,1229766.58859209,132,Tununak,Unincorporated Census Designated Place,387,DCCED Certified,2016,Community
-358379.619633952,1025834.46710817,133,Twin Hills,Unincorporated Census Designated Place,85,DCCED Certified,2016,Community
115433.095413551,2251263.47545772,134,Nuiqsut,2nd Class City,446,DCCED Certified,2016,Community
-195454.415055778,1646254.15162884,135,Nulato,2nd Class City,246,DCCED Certified,2016,Community
-554525.089338192,1440760.04264743,136,Nunam Iqua,2nd Class City,201,DCCED Certified,2016,Community
-456126.242470982,1241722.19411346,137,Nunapitchuk,2nd Class City,584,DCCED Certified,2016,Community
43178.2686273217,801116.138837186,138,Old Harbor,2nd Class City,231,DCCED Certified,2016,Community
-421582.787178627,1217808.78826865,139,Oscarville,Unincorporated Census Designated Place,50,DCCED Certified,2016,Community
88384.1436342165,881147.263944216,140,Ouzinkie,2nd Class City,159,DCCED Certified,2016,Community
258014.375685583,1300696.8026047,141,Palmer,Home Rule City,6268,DCCED Certified,2016,Community
428135.948523304,1478844.79203721,142,Paxson,Unincorporated Census Designated Place,15,DCCED Certified,2016,Community
-5570.33705066545,1088614.44941918,143,Pedro Bay,Census Designated Place,32,DCCED Certified,2016,Community
1036361.46970473,1023818.04317454,144,Pelican,1st Class City,78,DCCED Certified,2016,Community
-320961.247478179,668095.752654292,145,Perryville,Census Designated Place,110,DCCED Certified,2016,Community
1261269.79662122,957469.307075079,146,Petersburg Borough,Non-Unified Home Rule Borough,3179,DCCED Certified,2016,Community
166016.327915764,1395528.43431821,147,Petersville,Census Designated Place,4,DCCED Certified,2016,Community
-213422.135377389,845809.209454219,148,Pilot Point,2nd Class City,74,DCCED Certified,2016,Community
-463441.464290839,1359992.80737394,149,Pilot Station,2nd Class City,647,DCCED Certified,2016,Community
-482903.267985045,1373351.35759007,150,Pitkas Point,Unincorporated Census Designated Place,117,DCCED Certified,2016,Community
-446429.983732929,1027721.74376969,151,Platinum,2nd Class City,48,DCCED Certified,2016,Community
1238267.38965635,896185.606986261,152,Point Baker,Unincorporated Census Designated Place,25,DCCED Certified,2016,Community
-526203.79103316,2093518.89801835,153,Point Hope,2nd Class City,711,DCCED Certified,2016,Community
-352628.310789471,2220589.21235648,154,Point Lay,Census Designated Place,269,DCCED Certified,2016,Community
212521.964589845,1270246.05769499,155,Point MacKenzie,Census Designated Place,1782,DCCED Certified,2016,Community
194914.793581174,1233370.28345529,156,Point Possession,Census Designated Place,0,DCCED Certified,2016,Place of Interest
395907.79207344,1600283.15470697,157,Big Delta,Unincorporated Census Designated Place,534,Department of Labor and Workforce Development Estimate,2015,Community
221333.887788479,1292873.56560959,158,Big Lake,Census Designated Place,3575,Department of Labor and Workforce Development Estimate,2015,Community
1296748.56302501,826496.781561914,159,Big Salt,Unincorporated,0,Department of Labor and Workforce Development Estimate,2015,Community
367732.924374864,1834380.69863958,160,Birch Creek,Unincorporated Census Designated Place,22,Department of Labor and Workforce Development Estimate,2015,Community
-578885.345951845,1762943.31139869,161,Brevig Mission,2nd Class City,415,DCCED Certified,2015,Community
-174132.730783473,973954.708374513,162,Bristol Bay Borough,2nd Class Borough,887,DCCED Certified,2015,Community
-324001.743176981,1797365.25911133,163,Buckland,2nd Class City,463,DCCED Certified,2015,Community
262871.326125714,1311333.08417726,164,Buffalo Soapstone,Census Designated Place,876,Department of Labor and Workforce Development Estimate,2015,Place of Interest
262841.989433413,1294542.10965787,165,Butte,Census Designated Place,3418,Department of Labor and Workforce Development Estimate,2015,Community
254354.328064305,1501399.51140176,166,Cantwell,Census Designated Place,182,Department of Labor and Workforce Development Estimate,2015,Community
422841.771775656,1763917.60948005,167,Central,Unincorporated Census Designated Place,86,Department of Labor and Workforce Development Estimate,2015,Community
454359.728294303,1889974.92602281,168,Chalkyitsik,Unincorporated Census Designated Place,77,Department of Labor and Workforce Development Estimate,2015,Community
203097.40402155,1392307.62022123,169,Chase,Census Designated Place,41,Department of Labor and Workforce Development Estimate,2015,Community
-566472.040459798,1173895.45756847,170,Chefornak,2nd Class City,457,DCCED Certified,2015,Community
331738.160820134,1134592.24073559,171,Chenega,Unincorporated Census Designated Place,57,Department of Labor and Workforce Development Estimate,2015,Community
-611355.594582764,1336743.04208092,172,Chevak,2nd Class City,1023,DCCED Certified,2015,Community
289882.564494981,1325244.7520765,173,Chickaloon,Census Designated Place,232,Department of Labor and Workforce Development Estimate,2015,Community
584805.759588564,1620860.64070141,174,Chicken,Unincorporated Census Designated Place,6,Department of Labor and Workforce Development Estimate,2015,Place of Interest
-272641.915673634,708171.073460952,175,Chignik,2nd Class City,95,DCCED Certified,2015,Community
-280194.960905991,709704.934092457,176,Chignik Lagoon,Census Designated Place,72,Department of Labor and Workforce Development Estimate,2015,Community
-294537.833390566,704373.112042544,177,Chignik Lake,Census Designated Place,70,Department of Labor and Workforce Development Estimate,2015,Community
105904.171318265,847470.945897264,178,Chiniak,Census Designated Place,48,Department of Labor and Workforce Development Estimate,2015,Place of Interest
620241.421585954,1398669.37789593,179,Chisana,Unincorporated Census Designated Place,0,Department of Labor and Workforce Development Estimate,2015,Place of Interest
477049.511091391,1432884.65986376,180,Chistochina,Unincorporated Census Designated Place,94,Department of Labor and Workforce Development Estimate,2015,Community
254074.437006868,1139939.1831959,181,Bear Creek,Census Designated Place,2066,DCCED Certified,2016,Community
-394886.386127338,1816964.99104262,182,Deering,2nd Class City,143,DCCED Certified,2016,Community
88866.9587944469,860470.723896171,183,Kodiak Station,Census Designated Place,1302,DCCED Certified,2016,Place of Interest
117871.786670187,1041948.3974587,184,Nanwalek,Census Designated Place,300,DCCED Certified,2016,Community
-28071.9975736216,1062600.04383132,185,Pope-Vannoy Landing,Census Designated Place,4,DCCED Certified,2016,Place of Interest
153610.679907259,1235054.74586276,186,Tyonek,Census Designated Place,182,DCCED Certified,2016,Community
505209.434057254,1318323.36338686,187,Chitina,Unincorporated Census Designated Place,116,Department of Labor and Workforce Development Estimate,2015,Community
-493157.205972101,1140801.35265554,188,Kongiganak,Unincorporated Census Designated Place,501,Department of Labor and Workforce Development Estimate,2015,Community
234988.043371995,1630972.325968,189,Nenana,Home Rule City,380,DCCED Certified,2015,Community
-805516.283468307,1625678.8536362,190,Savoonga,2nd Class City,723,DCCED Certified,2015,Community
1394833.01618437,827141.248298324,191,Saxman,2nd Class City,413,DCCED Certified,2015,Community
-604791.300692952,1371265.34480727,192,Scammon Bay,2nd Class City,561,DCCED Certified,2015,Community
-267002.37065953,1861743.46862271,193,Selawik,2nd Class City,873,DCCED Certified,2015,Community
128946.340515093,1051951.29545042,194,Seldovia,1st Class City,226,DCCED Certified,2015,Community
132689.640155183,1055857.66562634,195,Seldovia Village,Census Designated Place,170,Department of Labor and Workforce Development Estimate,2015,Community
252539.389950794,1132499.65047691,196,Seward,Home Rule City,2740,DCCED Certified,2015,Community
-282384.963166525,1421013.67619956,197,Shageluk,2nd Class City,71,DCCED Certified,2015,Community
-346518.522618255,1617843.84290081,198,Shaktoolik,2nd Class City,274,DCCED Certified,2015,Community
-541049.82099132,1860130.47257105,199,Shishmaref,2nd Class City,574,DCCED Certified,2015,Community
-138066.033296481,1884423.63733658,200,Shungnak,2nd Class City,290,DCCED Certified,2015,Community
451199.481986302,1366697.99081684,201,Silver Springs,Unincorporated Census Designated Place,117,Department of Labor and Workforce Development Estimate,2015,Community
-411468.071384623,612220.112308554,202,Sand Point,1st Class City,951,DCCED Certified,2015,Community
509905.928918785,1453550.89653864,203,Slana,Unincorporated Census Designated Place,149,Department of Labor and Workforce Development Estimate,2015,Community
-167086.034700021,1306714.056421,204,Sleetmute,Unincorporated Census Designated Place,99,Department of Labor and Workforce Development Estimate,2015,Community
160631.341937899,1170692.23507825,205,Soldotna,Home Rule City,4319,DCCED Certified,2015,Community
-173607.166245054,972356.878521707,206,South Naknek,Census Designated Place,84,Department of Labor and Workforce Development Estimate,2015,Community
-410657.157081019,1531965.93288483,207,Stebbins,2nd Class City,627,DCCED Certified,2015,Community
175085.670330308,1176576.11234441,208,Sterling,Census Designated Place,5869,Department of Labor and Workforce Development Estimate,2015,Community
223408.043452646,1791220.22569493,209,Stevens Village,Unincorporated Census Designated Place,46,Department of Labor and Workforce Development Estimate,2015,Community
-136054.6819512,1314824.03626823,210,Stony River,Unincorporated Census Designated Place,34,Department of Labor and Workforce Development Estimate,2015,Community
247252.63236517,1219683.9059117,211,Sunrise,Census Designated Place,9,Department of Labor and Workforce Development Estimate,2015,Place of Interest
178549.180934017,1284400.72718186,212,Susitna,Census Designated Place,17,Department of Labor and Workforce Development Estimate,2015,Community
205612.056276728,1356772.7150459,213,Susitna North,Census Designated Place,1379,Department of Labor and Workforce Development Estimate,2015,Place of Interest
269748.241453032,1313906.4751877,214,Sutton-Alpine,Census Designated Place,1403,Department of Labor and Workforce Development Estimate,2015,Community
-104231.378830169,1448041.67138072,215,Takotna,Unincorporated Census Designated Place,62,Department of Labor and Workforce Development Estimate,2015,Community
200805.325875181,1377989.19354065,216,Talkeetna,Census Designated Place,850,Department of Labor and Workforce Development Estimate,2015,Community
528913.242653236,1532292.10191689,217,Tanacross,Unincorporated Census Designated Place,110,Department of Labor and Workforce Development Estimate,2015,Community
243840.798915417,1300864.27998361,218,Tanaina,Census Designated Place,8869,Department of Labor and Workforce Development Estimate,2015,Community
90120.4148750471,1691441.85128758,219,Tanana,1st Class City,240,DCCED Certified,2015,Community
395312.475013265,1231228.68050019,220,Tatitlek,Unincorporated Census Designated Place,98,Department of Labor and Workforce Development Estimate,2015,Community
446539.23185435,1370184.56519406,221,Tazlina,Unincorporated Census Designated Place,270,Department of Labor and Workforce Development Estimate,2015,Community
-574544.346944187,1754008.56663688,222,Teller,2nd Class City,261,DCCED Certified,2015,Community
1098842.30817246,1020605.91972509,223,Tenakee Springs,2nd Class City,142,DCCED Certified,2015,Community
574649.399645128,1512987.82606618,224,Tetlin,Unincorporated Census Designated Place,131,Department of Labor and Workforce Development Estimate,2015,Community
1326318.07666163,846815.192903919,225,Thorne Bay,2nd Class City,510,DCCED Certified,2015,Community
-187052.448134996,1055625.21469234,226,New Stuyahok,2nd Class City,503,DCCED Certified,2015,Community
-50160.1750683196,1081425.31841533,227,Newhalen,2nd Class City,196,DCCED Certified,2015,Community
-571662.17131996,1262920.14789905,228,Newtok,Unincorporated Census Designated Place,380,Department of Labor and Workforce Development Estimate,2015,Community
-585243.431821837,1213354.21877197,229,Nightmute,2nd Class City,285,DCCED Certified,2015,Community
146877.231050315,1197440.03788172,230,Nikiski,Census Designated Place,4652,Department of Labor and Workforce Development Estimate,2015,Community
133414.762052837,1093589.26829292,231,Nikolaevsk,Census Designated Place,270,Department of Labor and Workforce Development Estimate,2015,Community
-18953.78281647,1449357.30499281,232,Nikolai,2nd Class City,87,DCCED Certified,2015,Community
-993848.111335208,436840.972370498,233,Nikolski,Unincorporated Census Designated Place,15,Department of Labor and Workforce Development Estimate,2015,Community
129044.446321741,1119364.99602203,234,Ninilchik,Census Designated Place,847,Department of Labor and Workforce Development Estimate,2015,Community
-384158.97598142,1983045.89714552,235,Noatak,Census Designated Place,556,Department of Labor and Workforce Development Estimate,2015,Community
-545131.292891217,1662011.84942765,236,Nome,1st Class City,3819,DCCED Certified,2015,Community
-47716.8110046451,1109006.5306363,237,Nondalton,2nd Class City,152,DCCED Certified,2015,Community
-310205.1561704,1891560.22052034,238,Noorvik,2nd Class City,638,DCCED Certified,2015,Community
-102113.987735628,2368208.04202493,239,North Slope Borough,Non-Unified Home Rule Borough,10420,DCCED Certified,2015,Community
607201.733363458,1498808.18226227,240,Northway,Unincorporated Census Designated Place,66,Department of Labor and Workforce Development Estimate,2015,Community
612875.005134583,1505401.82630515,241,Northway Junction,Unincorporated Census Designated Place,62,Department of Labor and Workforce Development Estimate,2015,Place of Interest
605917.738356754,1500893.82224667,242,Northway Village,Unincorporated Census Designated Place,112,Department of Labor and Workforce Development Estimate,2015,Place of Interest
-377345.822372229,1906418.58116836,243,Northwest Arctic Borough,Non-Unified Home Rule Borough,7889,DCCED Certified,2015,Community
115433.095413551,2251263.47545772,244,Nuiqsut,2nd Class City,446,DCCED Certified,2015,Community
-195454.415055778,1646254.15162884,245,Nulato,2nd Class City,236,DCCED Certified,2015,Community
-554525.089338192,1440760.04264743,246,Nunam Iqua,2nd Class City,210,DCCED Certified,2015,Community
-456126.242470982,1241722.19411346,247,Nunapitchuk,2nd Class City,607,DCCED Certified,2015,Community
43178.2686273217,801116.138837186,248,Old Harbor,2nd Class City,228,DCCED Certified,2015,Community
-1537201.88387456,470990.318946767,249,Adak,2nd Class City,309,DCCED Certified,2016,Community
-10520.5699198308,771139.336261794,250,Akhiok,2nd Class City,97,DCCED Certified,2016,Community
-401781.971546647,1237051.74614264,251,Akiachak,Unincorporated Census Designated Place,701,DCCED Certified,2016,Community
-390088.939894051,1235043.39515902,252,Akiak,2nd Class City,389,DCCED Certified,2016,Community
-766481.088033544,525927.941681311,253,Akutan,2nd Class City,1000,DCCED Certified,2016,Community
-542393.858993326,1456437.81284289,254,Alakanuk,2nd Class City,707,DCCED Certified,2016,Community
57878.2758713154,1844678.35876887,255,Alatna,Unincorporated Census Designated Place,26,DCCED Certified,2016,Community
660486.095615432,1470329.47573192,256,Alcan Border,Unincorporated Census Designated Place,30,DCCED Certified,2016,Place of Interest
-262309.821977796,1040822.31335393,257,Aleknagik,2nd Class City,217,DCCED Certified,2016,Community
65958.2658785713,889737.767643071,258,Aleneva,Census Designated Place,22,DCCED Certified,2016,Place of Interest
-410420.502445733,612521.25493188,259,Aleutians East Borough,2nd Class Borough,3001,DCCED Certified,2016,Community
60175.5883428383,1845337.79990434,260,Allakaket,2nd Class City,165,DCCED Certified,2016,Community
-168359.015507785,1908076.91542096,261,Ambler,2nd Class City,260,DCCED Certified,2016,Community
94892.9302364204,2021732.26164827,262,Anaktuvuk Pass,2nd Class City,393,DCCED Certified,2016,Community
121199.389118617,1089266.55987276,263,Anchor Point,Census Designated Place,2043,DCCED Certified,2016,Community
231978.883433856,1606209.63576818,264,Anderson,2nd Class City,238,DCCED Certified,2016,Community
1144735.21044678,1001399.40699281,265,Angoon,2nd Class City,408,DCCED Certified,2016,Community
-292240.212580172,1301035.4502126,266,Aniak,2nd Class City,517,DCCED Certified,2016,Community
