X,Y,OBJECTID,CommunityID,CommunityName,IncorporationType,AreaType,BoroughCensusArea,ANCSARegionalCorporation,NativeRegionalHealthCarePro,ANCSARegionalNonProfit,SchoolDistrict,DCRAAlaskaRegion,ClimateRegion,EnergyRegion,EconomicRegion,ARDORRegion,RecordersOffice,Section,Township,Range,Meridian,sqMiLand,sqMiWater
998317.04798213,1183440.80521884,1497,{FBFAC70C-D19A-4FF1-A28E-2E8381629304},Klehini Valley,Locality,Community,Haines Borough,Sealaska Corporation,Southeast Alaska Regional Health Consortium,Central Council of the Tlingit and Haida Indian Tribes of Alaska,Haines Borough School District,Southeast Region,Southeast Maritime,Southeast,Southeast Economic Region,Southeast Conference,Haines - 106,19,028S,055E,C,,
258015.620438038,1300696.69892349,1498,{EDA8ED1A-C25C-4FF0-8681-021AAF1072C9},Palmer,Home Rule City,Community,Matanuska-Susitna Borough,"Cook Inlet Region, Incorporated",Southcentral Foundation,"Cook Inlet Tribal Council, Incorporated",Matanuska-Susitna Borough School District,Southcentral Region,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,,Palmer - 311,4,017N,002E,S,3.8,0
252540.636570125,1132499.53625932,1499,{86E9E60C-762A-4D26-A7CC-57DC74916D5B},Seward,Home Rule City,Community,Kenai Peninsula Borough,Chugach Alaska Corporation,Chugachmiut,Chugachmiut,Kenai Peninsula Borough School District,Gulf Coast Region,Gulf Coast Maritime,Railbelt,Gulf Coast Economic Region,Kenai Peninsula Economic Development District,Seward - 314,34,001N,001W,S,14.4,7.1
160632.581953389,1170692.1222477,1500,{D7CCEBD6-7236-44C6-9E78-19F98183CFFC},Soldotna,Home Rule City,Community,Kenai Peninsula Borough,"Cook Inlet Region, Incorporated",Peninsula Community Health Services,"Cook Inlet Tribal Council, Incorporated",Kenai Peninsula Borough School District,Gulf Coast Region,Gulf Coast Transitional,Railbelt,Gulf Coast Economic Region,Kenai Peninsula Economic Development District,Kenai - 302,29,005N,010W,S,6.9,0.5
409518.872278663,1262298.70131742,1501,{BDF957A0-FB1E-48AC-835A-A24FB2DFE444},Valdez,Home Rule City,Community,Chugach Census Area,Chugach Alaska Corporation,Chugachmiut,Chugachmiut,Valdez City School District,Gulf Coast Region,Gulf Coast Maritime,Copper River/Chugach,Gulf Coast Economic Region,Prince William Sound Economic Development District,Valdez - 318,32,008S,006W,C,222,55.1
1403405.22448079,807389.176039656,1502,{179D4B3A-A5AC-43B1-9AE0-6F7B6B7A3CB3},Metlakatla,Indian reservation organized under federal law,Community,Prince of Wales-Hyder Census Area,Sealaska Corporation,Metlakatla Indian Community,Central Council of the Tlingit and Haida Indian Tribes of Alaska,Annette Island School District,Southeast Region,Southeast Maritime,Southeast,Southeast Economic Region,Southeast Conference,Ketchikan - 102,8,078S,092E,C,0,0
305918.248261257,1698445.32948414,1503,{02BC7C57-294A-400A-A4A4-7D06347BBF7D},Chatanika,Locality,Community,Fairbanks North Star Borough,"Doyon, Limited",Southcentral Foundation,Tanana Chiefs Conference,Fairbanks North Star Borough School District,Interior Region,Continental,Railbelt,Interior Economic Region,Fairbanks North Star Borough Economic Development Commission,Fairbanks - 401,2,003N,001E,F,,
373063.139231601,1699239.84797198,1504,{7DF47FFB-F5ED-4B9D-A9F7-4B2DA1E989D1},Chena Hot Springs,Locality,Community,Fairbanks North Star Borough,"Doyon, Limited",Yukon-Kuskokwim Health Corporation,Tanana Chiefs Conference,Fairbanks North Star Borough School District,Interior Region,Continental,Railbelt,Interior Economic Region,Fairbanks North Star Borough Economic Development Commission,Fairbanks - 401,26,003N,008E,F,,
1038667.57136345,1200901.60761105,1505,{8D61F020-CB6F-45AE-85C5-2086F72C61F4},Dyea,Locality,Place of Interest,Municipality of Skagway,Sealaska Corporation,"Tanana Chiefs Conference, Department of Health Services",Central Council of the Tlingit and Haida Indian Tribes of Alaska,,Southeast Region,Southeast Maritime,Southeast,Southeast Economic Region,,Skagway - 111,34,027S,059E,C,,
133416.001576512,1093589.14990784,1506,{8CB3E4E0-D9F5-4B0C-93D8-C436A193A465},Nikolaevsk,CDP,Community,Kenai Peninsula Borough,"Cook Inlet Region, Incorporated",,"Cook Inlet Tribal Council, Incorporated",Kenai Peninsula Borough School District,Gulf Coast Region,Gulf Coast Maritime,Railbelt,Gulf Coast Economic Region,Kenai Peninsula Economic Development District,Homer - 309,24,004S,014W,S,0,0
129045.685056062,1119364.879332,1507,{95A8CBA5-6323-4734-AA72-89B097FBD56F},Ninilchik,CDP,Community,Kenai Peninsula Borough,"Cook Inlet Region, Incorporated",Ninilchik Village,"Cook Inlet Tribal Council, Incorporated",Kenai Peninsula Borough School District,Gulf Coast Region,Gulf Coast Transitional,Railbelt,Gulf Coast Economic Region,,Homer - 309,34,001S,014W,S,,
-384157.774716963,1983045.85661991,1508,{03C93982-6D21-4D8C-B2D5-1090F45A812A},Noatak,CDP,Community,Northwest Arctic Borough,"NANA Regional Corporation, Incorporated",Maniilaq Association,Maniilaq Association,Northwest Arctic Borough School District,Northwest Region,Arctic,Northwest Arctic,Northern Economic Region,Northwest Arctic Borough Economic Development Council,Kotzebue - 215,17,025N,019W,K,0,0
-5569.10746326236,1088614.32857205,1509,{EC18C954-9E22-45E3-BD54-DD7AF4302791},Pedro Bay,CDP,Community,Lake and Peninsula Borough,Bristol Bay Native Corporation,Bristol Bay Area Health Corporation,"Bristol Bay Native Association, Incorporated",Lake and Peninsula Borough School District,Southwest Region,Western Transitional,Bristol Bay,Southwest Economic Region,Southwest Alaska Municipal Conference,Iliamna - 320,33,004S,028W,S,0,0
-320960.031211704,668095.588478032,1510,{4C04DC5F-DBC0-42D6-BFF7-62C40E838EAA},Perryville,CDP,Community,Lake and Peninsula Borough,Bristol Bay Native Corporation,Bristol Bay Area Health Corporation,"Bristol Bay Native Association, Incorporated",Lake and Peninsula Borough School District,Southwest Region,Southwest Maritime,Bristol Bay,Southwest Economic Region,Southwest Alaska Municipal Conference,Aleutian Islands - 305,26,049S,064W,S,,
166017.566147983,1395528.33679602,1511,{841E8B3A-9424-4243-B588-EEB808D195AB},Petersville,CDP,Community,Matanuska-Susitna Borough,"Cook Inlet Region, Incorporated",Southcentral Foundation,"Cook Inlet Tribal Council, Incorporated",Matanuska-Susitna Borough School District,Southcentral Region,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,,Talkeetna - 321,3,026N,008W,S,,
337876.924307873,1675612.30865257,1512,{5DF24C5B-4FE5-4FFA-AE4F-CBDF97ACB787},Pleasant Valley,CDP,Community,Fairbanks North Star Borough,"Doyon, Limited","Tanana Chiefs Conference, Department of Health Services",Tanana Chiefs Conference,Fairbanks North Star Borough School District,Interior Region,Continental,Railbelt,Interior Economic Region,Fairbanks North Star Borough Economic Development Commission,Fairbanks - 401,36,001N,004E,F,,
-352627.094869032,2220589.19246845,1513,{ACCCEEDB-EFD5-4240-87ED-B1D77CEB08B8},Point Lay,CDP,Community,North Slope Borough,Arctic Slope Regional Corporation,"Arctic Slope Native Association, Limited","Arctic Slope Native Association, Limited",North Slope Borough School District,Northern Region,Arctic,North Slope,Northern Economic Region,,Barrow - 413,36,005N,045W,U,0,0
212523.20674076,1270245.95186212,1514,{5736B8FC-BE6B-44A6-8A67-0A66F497EDC5},Point MacKenzie,CDP,Community,Matanuska-Susitna Borough,"Cook Inlet Region, Incorporated",Southcentral Foundation,"Cook Inlet Tribal Council, Incorporated",Matanuska-Susitna Borough School District,Southcentral Region,Gulf Coast Transitional,Railbelt,Anchorage/Mat-Su Economic Region,,Palmer - 311,28,015N,004W,S,,
-18128.321651304,1134258.52930023,1515,{2C14D0F5-3E1B-4BEC-ABCB-6AEED5368B0C},Port Alsworth,CDP,Community,Lake and Peninsula Borough,"Cook Inlet Region, Incorporated",,"Cook Inlet Tribal Council, Incorporated",Lake and Peninsula Borough School District,Southwest Region,Western Transitional,Bristol Bay,Southwest Economic Region,Southwest Alaska Municipal Conference,Iliamna - 320,9,001N,029W,S,,
122879.60838302,1041787.12506109,1516,{21416EC2-769C-45C8-9643-767865EF7130},Port Graham,CDP,Community,Kenai Peninsula Borough,Chugach Alaska Corporation,Chugachmiut,Chugachmiut,Kenai Peninsula Borough School District,Gulf Coast Region,Gulf Coast Maritime,Railbelt,Gulf Coast Economic Region,Kenai Peninsula Economic Development District,Seldovia - 313,32,009S,015W,S,,
255339.741231173,1161226.22783871,1517,{52520FE3-9874-4E97-BFD4-38DEE36B1FFD},Primrose,CDP,Community,Kenai Peninsula Borough,"Cook Inlet Region, Incorporated",,"Cook Inlet Tribal Council, Incorporated",Kenai Peninsula Borough School District,Gulf Coast Region,Gulf Coast Maritime,Railbelt,Gulf Coast Economic Region,Kenai Peninsula Economic Development District,Seward - 314,7,003N,001E,S,,
159598.989196363,1175220.71489339,1518,{43789012-2A4F-4391-8762-748A33755153},Ridgeway,CDP,Place of Interest,Kenai Peninsula Borough,"Cook Inlet Region, Incorporated",,"Cook Inlet Tribal Council, Incorporated",Kenai Peninsula Borough School District,Gulf Coast Region,Gulf Coast Transitional,Railbelt,Gulf Coast Economic Region,Kenai Peninsula Economic Development District,Kenai - 302,8,005N,010W,S,,
145420.639784554,1184299.87455891,1519,{2606EF00-243D-41F4-890F-E340AD1ACFA5},Salamatof,CDP,Community,Kenai Peninsula Borough,"Cook Inlet Region, Incorporated",,"Cook Inlet Tribal Council, Incorporated",Kenai Peninsula Borough School District,Gulf Coast Region,Gulf Coast Transitional,Railbelt,Gulf Coast Economic Region,Kenai Peninsula Economic Development District,Kenai - 302,14,006N,012W,S,,
336781.347588218,1631148.51895082,1520,{3AAD6031-4B4D-40A2-86B3-B59C6AE4046D},Salcha,CDP,Community,Fairbanks North Star Borough,"Doyon, Limited","Tanana Chiefs Conference, Department of Health Services",Tanana Chiefs Conference,Fairbanks North Star Borough School District,Interior Region,Continental,Railbelt,Interior Economic Region,Fairbanks North Star Borough Economic Development Commission,Fairbanks - 401,22,004S,004E,F,,
132690.88040484,1055857.54467169,1521,{87E87454-91AC-49AF-B812-E5B5DF65D0C8},Seldovia Village,CDP,Community,Kenai Peninsula Borough,"Cook Inlet Region, Incorporated",Seldovia Village Tribe,"Cook Inlet Tribal Council, Incorporated",Kenai Peninsula Borough School District,Gulf Coast Region,Gulf Coast Maritime,Railbelt,Gulf Coast Economic Region,Kenai Peninsula Economic Development District,Seldovia - 313,22,008S,014W,S,,
-173605.947377928,972356.745251087,1522,{8C659093-914F-41E2-BE61-E3576613F3BC},South Naknek,CDP,Community,Bristol Bay Borough,Bristol Bay Native Corporation,Bristol Bay Area Health Corporation,"Bristol Bay Native Association, Incorporated",Bristol Bay Borough School District,Southwest Region,Western Transitional,Bristol Bay,Southwest Economic Region,Southwest Alaska Municipal Conference,Kvichak - 310,11,017S,047W,S,0,0
175086.911222971,1176576.00005833,1523,{DC7B95CA-114F-4D3E-95BE-B7965D32E2EF},Sterling,CDP,Community,Kenai Peninsula Borough,"Cook Inlet Region, Incorporated",,"Cook Inlet Tribal Council, Incorporated",Kenai Peninsula Borough School District,Gulf Coast Region,Gulf Coast Transitional,Railbelt,Gulf Coast Economic Region,Kenai Peninsula Economic Development District,Kenai - 302,11,005N,009W,S,,
178550.4207159,1284400.62212122,1524,{42EFB0E5-DFC0-4003-A9E2-0CA2A1F23F56},Susitna,CDP,Community,Matanuska-Susitna Borough,"Cook Inlet Region, Incorporated",Southcentral Foundation,"Cook Inlet Tribal Council, Incorporated",Matanuska-Susitna Borough School District,Southcentral Region,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,,Anchorage - 301,12,016N,008W,S,0,0
269749.486823827,1313906.37237335,1525,{126A149F-F9BD-42EC-8D66-E4883B8016E2},Sutton-Alpine,CDP,Community,Matanuska-Susitna Borough,"Cook Inlet Region, Incorporated",Southcentral Foundation,"Cook Inlet Tribal Council, Incorporated",Matanuska-Susitna Borough School District,Southcentral Region,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,,Palmer - 311,22,019N,003E,S,0,0
200806.566477601,1377989.09479474,1526,{3EC46053-F188-4C9A-B758-A0D57EF8F834},Talkeetna,CDP,Community,Matanuska-Susitna Borough,"Cook Inlet Region, Incorporated",Southcentral Foundation,"Cook Inlet Tribal Council, Incorporated",Matanuska-Susitna Borough School District,Southcentral Region,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,,Talkeetna - 321,25,026N,005W,S,,
194568.399082334,1376852.35197144,1527,{68659E20-597A-4214-97E4-BE2A722B888B},Trapper Creek,CDP,Community,Matanuska-Susitna Borough,"Cook Inlet Region, Incorporated",Southcentral Foundation,"Cook Inlet Tribal Council, Incorporated",Matanuska-Susitna Borough School District,Southcentral Region,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,,Talkeetna - 321,29,026N,005W,S,,
329249.564159639,1674644.09069427,1528,{2416B7D2-6E1E-47A0-8550-530D41B50117},Two Rivers,CDP,Community,Fairbanks North Star Borough,"Doyon, Limited","Tanana Chiefs Conference, Department of Health Services",Tanana Chiefs Conference,Fairbanks North Star Borough School District,Interior Region,Continental,Railbelt,Interior Economic Region,Fairbanks North Star Borough Economic Development Commission,Fairbanks - 401,36,001N,003E,F,,
153611.918551664,1235054.63732025,1529,{961296AC-3BF0-47EF-AA6B-7D67C6031EDD},Tyonek,CDP,Community,Kenai Peninsula Borough,"Cook Inlet Region, Incorporated",Native Village of Tyonek,"Cook Inlet Tribal Council, Incorporated",Kenai Peninsula Borough School District,Gulf Coast Region,Gulf Coast Transitional,Railbelt,Gulf Coast Economic Region,Kenai Peninsula Economic Development District,Anchorage - 301,1,011N,011W,S,,
208090.297793577,1313544.47508187,1530,{60E92328-3CA2-4968-A065-270130CCEE76},Willow,CDP,Community,Matanuska-Susitna Borough,"Cook Inlet Region, Incorporated",Southcentral Foundation,"Cook Inlet Tribal Council, Incorporated",Matanuska-Susitna Borough School District,Southcentral Region,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,,Palmer - 311,17,019N,004W,S,0,0
449342.259478468,1201051.13508385,1531,{3921BE55-50DD-4433-8958-D5D2F2D001AE},Cordova,Home Rule City,Community,Chugach Census Area,Chugach Alaska Corporation,Chugachmiut,Chugachmiut,Cordova City School District,Gulf Coast Region,Gulf Coast Maritime,Copper River/Chugach,Gulf Coast Economic Region,Prince William Sound Economic Development District,Cordova - 306,28,015S,003W,C,61.4,14.3
297451.122482249,1667250.52584127,1532,{7102AFBB-6F0A-4C7A-92FF-6F5A6D66AB18},Fairbanks,Home Rule City,Community,Fairbanks North Star Borough,"Doyon, Limited","Tanana Chiefs Conference, Department of Health Services",Tanana Chiefs Conference,Fairbanks North Star Borough School District,Interior Region,Continental,Railbelt,Interior Economic Region,Fairbanks North Star Borough Economic Development Commission,Fairbanks - 401,10,001S,001W,F,32.4,0.8
150304.99635841,1177925.70109076,1533,{C4939227-7B0D-42C1-9C0D-69118EE45B96},Kenai,Home Rule City,Community,Kenai Peninsula Borough,"Cook Inlet Region, Incorporated",Kenaitze Indian Tribe,"Cook Inlet Tribal Council, Incorporated",Kenai Peninsula Borough School District,Gulf Coast Region,Gulf Coast Transitional,Railbelt,Gulf Coast Economic Region,Kenai Peninsula Economic Development District,Kenai - 302,5,005N,011W,S,29.9,5.6
1390950.75286723,828555.095617095,1534,{081D88E7-5D78-4E36-AC3C-F753262F026C},Ketchikan,Home Rule City,Community,Ketchikan Gateway Borough,Sealaska Corporation,Southeast Alaska Regional Health Consortium,Central Council of the Tlingit and Haida Indian Tribes of Alaska,Ketchikan Gateway Borough School District,Southeast Region,Southeast Maritime,Southeast,Southeast Economic Region,Southeast Conference,Ketchikan - 102,24,075S,090E,C,3.4,0.8
95027.5224326542,866747.9369809,1535,{98F61372-E8BA-41BD-8291-B2318BB0C9F0},Kodiak,Home Rule City,Community,Kodiak Island Borough,"Koniag, Incorporated",Kodiak Area Native Association,Kodiak Area Native Association,Kodiak Island Borough School District,Gulf Coast Region,Gulf Coast Maritime,Kodiak,Gulf Coast Economic Region,Southwest Alaska Municipal Conference,Kodiak - 303,32,027S,019W,S,3.5,1.4
234989.287041507,1630972.24399515,1536,{3AC29D09-E0DD-4840-9E31-13F575B4BFF4},Nenana,Home Rule City,Community,Yukon-Koyukuk Census Area,"Doyon, Limited","Tanana Chiefs Conference, Department of Health Services",Tanana Chiefs Conference,Nenana City School District,Interior Region,Continental,Railbelt,Interior Economic Region,,Nenana - 414,14,004S,008W,F,6,0.1
315855.959761862,1659546.0701719,1537,{CD260976-029D-40A9-8CC4-1ECF3F63EEFC},North Pole,Home Rule City,Community,Fairbanks North Star Borough,"Doyon, Limited","Tanana Chiefs Conference, Department of Health Services",Tanana Chiefs Conference,Fairbanks North Star Borough School District,Interior Region,Continental,Railbelt,Interior Economic Region,Fairbanks North Star Borough Economic Development Commission,Fairbanks - 401,16,002S,002E,F,4.2,0.1
-346517.325479851,1617843.76690688,1538,{CEDC63C2-3647-4702-B72B-D9E842E711FE},Shaktoolik,2nd Class City,Community,Nome Census Area,Bering Straits Native Corporation,Norton Sound Health Corporation,"Kawerak, Incorporated",Bering Strait School District,Northwest Region,Western Transitional,Bering Straits,Northern Economic Region,Bering Strait Development Council,Nome - 201,23,013S,013W,K,1.1,
-541048.640165177,1860130.42371255,1539,{D1F96C65-49BF-4E7B-AA32-F9C4C50BB628},Shishmaref,2nd Class City,Community,Nome Census Area,Bering Straits Native Corporation,Norton Sound Health Corporation,"Kawerak, Incorporated",Bering Strait School District,Northwest Region,Western Transitional,Bering Straits,Southeast Economic Region,Bering Strait Development Council,Nome - 201,23,010N,035W,K,2.8,4.5
-138064.811931058,1884423.58186544,1540,{9177B2E0-91EE-4644-A900-570CEA299846},Shungnak,2nd Class City,Community,Northwest Arctic Borough,"NANA Regional Corporation, Incorporated",Maniilaq Association,Maniilaq Association,Northwest Arctic Borough School District,Northwest Region,Arctic,Northwest Arctic,Northern Economic Region,Northwest Arctic Borough Economic Development Council,Kotzebue - 215,9,017N,008E,K,8.4,1.3
-410655.966695141,1531965.84908907,1541,{28ACD99B-0BF6-4373-A5BA-4F063E34485C},Stebbins,2nd Class City,Community,Nome Census Area,Bering Straits Native Corporation,Norton Sound Health Corporation,"Kawerak, Incorporated",Bering Strait School District,Northwest Region,Western Transitional,Bering Straits,Northern Economic Region,Bering Strait Development Council,Nome - 201,2,023S,019W,K,35.2,1.7
-574543.17179758,1754008.50735403,1542,{FABC6EB5-588F-4AD5-B3AB-A8511EBA408A},Teller,2nd Class City,Community,Nome Census Area,Bering Straits Native Corporation,Norton Sound Health Corporation,"Kawerak, Incorporated",Bering Strait School District,Northwest Region,Western Transitional,Bering Straits,Southeast Economic Region,Bering Strait Development Council,Nome - 201,1,003S,038W,K,1.9,0.2
1098843.59174464,1020605.81594615,1543,{E49E42CA-BF94-44E1-9650-6B93C551222E},Tenakee Springs,2nd Class City,Community,Hoonah-Angoon Census Area,Sealaska Corporation,Southeast Alaska Regional Health Consortium,Central Council of the Tlingit and Haida Indian Tribes of Alaska,Chatham School District,Southeast Region,Southeast Maritime,Southeast,Southeast Economic Region,Southeast Conference,Sitka - 103,21,047S,063E,C,13.8,5.3
1326319.36788725,846815.094827237,1544,{3F597174-5CB5-4C16-8F4A-786886325C42},Thorne Bay,2nd Class City,Community,Prince of Wales-Hyder Census Area,Sealaska Corporation,Southeast Alaska Regional Health Consortium,Central Council of the Tlingit and Haida Indian Tribes of Alaska,Southeast Island School District,Southeast Region,Southeast Maritime,Southeast,Southeast Economic Region,Southeast Conference,Ketchikan - 102,27,071S,084E,C,25.5,4.8
-364120.520402744,1024741.77608156,1545,{5992D3C6-F615-45B1-BE46-B0FF54252CF2},Togiak,2nd Class City,Community,Dillingham Census Area,Bristol Bay Native Corporation,Bristol Bay Area Health Corporation,"Bristol Bay Native Association, Incorporated",Southwest Region School District,Southwest Region,Western Transitional,Bristol Bay,Southwest Economic Region,Southwest Alaska Municipal Conference,Bristol Bay - 307,12,013S,067W,S,45.2,183.3
