X,Y,OBJECTID,EntityName,EntityType,AlternateName,Address,City,State,Phone,AltPhone,Fax,WebSite,Email,CommunityName,ZIPCode,AltFax,AsOfDate
-861998.954714851,1650244.0948119,1122,Native Village of Gambell,Federally Recognized Tribe,Sivuqaq,PO Box 90,Gambell,AK,+1 (907) 985-5346,,+1 (907) 985-5014,,"nvg_gm@yahoo.com; tc.gam@kawerak.org",Gambell,99742,,2023/03/01 09:00:00+00
453137.328724413,1797102.5674427,1123,Circle Native Community,Federally Recognized Tribe,,PO Box 89,Circle,AK,+1 (907) 773-2822,,+1 (907) 773-2823,,jessica.fields@tananachiefs.org,Circle,99733,,2023/03/01 09:00:00+00
-213422.135377389,845809.209454219,1124,Native Village of Pilot Point,Federally Recognized Tribe,,PO Box 109,Pilot Point,AK,+1 (907) 797-2330,,+1 (907) 797-2332,,pilotpointadmin@bbna.com,Pilot Point,99766,,2023/03/01 09:00:00+00
-281948.838499008,1904401.9970097,1125,Native Village of Kiana,Federally Recognized Tribe,,PO Box 69,Kiana,AK,+1 (907) 475-2109,,+1 (907) 475-2180,,"tribedirector@katyaaq.org; president@katyaaq.org",Kiana,99749,,2023/03/01 09:00:00+00
-261538.012610842,990939.377471944,1126,Village of Clarks Point,Federally Recognized Tribe,,PO Box 90,Clarks Point,AK,+1 (907) 236-1427,,+1 (907) 236-1428,,"clp_villagecouncil@yahoo.com; tribaladministrator@clpvc.org",Clarks Point,99569-0090,,2023/03/01 09:00:00+00
-342254.333484691,668891.626523145,1127,Ivanof Bay Tribe,Federally Recognized Tribe,Ivanof Bay Village,6407 Brayton Drive Suite 201,Anchorage,AK,+1 (907) 522-2263,,+1 (907) 522-2363,http://www.ivanofbaytribe.org,nicole@ivanofbaytribe.org,Ivanof Bay,99507,,2023/03/01 09:00:00+00
72479.8654524013,890170.146505548,1128,Native Village of Afognak,Federally Recognized Tribe,,323 Carolyn Street,Kodiak,AK,+1 (907) 486-6357,,+1 (907) 486-6529,http://www.afognak.org,tribe@afognak.org,Afognak,99615,,2023/03/01 09:00:00+00
-604791.300692952,1371265.34480727,1129,Native Village of Scammon Bay,Federally Recognized Tribe,,PO Box 126,Scammon Bay,AK,+1 (907) 558-5425,,+1 (907) 558-5134,,admin@marayarmiut.com,Scammon Bay,99662,,2023/03/01 09:00:00+00
1144735.21044678,1001399.40699281,1130,Angoon Community Association,Federally Recognized Tribe,,PO Box 328,Angoon,AK,+1 (907) 788-3411,,+1 (907) 788-3412,,"rjack@ccthita.org; cjames.agntribe@gmail.com; sramey.agntribe@gmail.com",Angoon,99820,,2023/03/01 09:00:00+00
-272641.915673634,708171.073460952,1131,Chignik Bay Tribal Council,Federally Recognized Tribe,Native Village of Chignik,PO Box 50,Chignik,AK,+1 (907) 749-2445,,+1 (907) 749-2423,,cbaytc@aol.com,Chignik,99564,,2023/03/01 09:00:00+00
234988.043371995,1630972.325968,1132,Nenana Native Association,Federally Recognized Tribe,,PO Box 369,Nenana,AK,+1 (907) 832-5461,,+1 (907) 832-1077,,"ta.nnc@outlook.com; doncharlie_85@hotmail.com; rcadiente99760@gmail.com",Nenana,99760,,2023/03/01 09:00:00+00
-42352.1803480683,1049908.97923495,1133,Kokhanok Village,Federally Recognized Tribe,,PO Box 1007,Kokhanok,AK,+1 (907) 282-2202,,+1 (907) 282-2264,,"kokhanok_vc@yahoo.com; kokhanok.vca@gmail.com",Kokhanok,99606,,2023/03/01 09:00:00+00
1390949.46071987,828555.191281473,1134,Ketchikan Indian Corporation,Federally Recognized Tribe,,2960 Tongass Avenue,Ketchikan,AK,+1 (907) 228-4900,,+1 (907) 719-1915,http://www.kictribe.org,"cdewitt@kictribe.org; cmann@kictribe.org; aburns@kictribe.org",Ketchikan,99901,,2023/03/01 09:00:00+00
-154173.067110536,967957.922090339,1135,King Salmon Tribe,Federally Recognized Tribe,,PO Box 68,King Salmon,AK,+1 (907) 246-3553,,+1 (907) 246-3449,,"rangasansr@yahoo.com; ralph.angasan.3@kstribe.com; kingsalmon@kstribe.com",King Salmon,99613-0068,,2023/03/01 09:00:00+00
331180.006059222,1914361.67558878,1136,Village of Venetie,Federally Recognized Tribe,Native Village of Venetie Tribal Government,PO Box 81119,Venetie,AK,+1 (907) 849-8212,,+1 (907) 849-8216,,"venetievillagecouncil@yahoo.com; cwtackett7@outlook.com",Venetie,99781,,2023/03/01 09:00:00+00
-197057.061222871,1044795.06400626,1137,Native Village of Ekwok,Federally Recognized Tribe,,PO Box 70,Ekwok,AK,+1 (907) 464-3336,,+1 (907) 464-3378,http://www.bbna.com,"King2rick@yahoo.com; bbaltar@bbna.com; jbaltar@bbna.com",Ekwok,99580,,2023/03/01 09:00:00+00
-509342.605634276,1133719.75625607,1138,Native Village of Kwigillingok,Federally Recognized Tribe,,PO Box 90,Kwigillingok,AK,+1 (907) 588-8114,,+1 (907) 588-8429,,"kwktribal@yahoo.com; djohn@kwigtribe.org; tribaladmin@kwigtribe.org",Kwigillingok,99622,,2023/03/01 09:00:00+00
-578885.345951845,1762943.31139869,1139,Native Village of Brevig Mission,Federally Recognized Tribe,,101 Mission Street,Brevig Mission,AK,+1 (907) 642-4301,,+1 (907) 642-2099,,"wseetot@kawerak.org; tc.kts@kawerak.org",Brevig Mission,99785,,2023/03/01 09:00:00+00
122878.36850152,1041787.24714114,1140,Native Village of Port Graham,Federally Recognized Tribe,,PO Box 5510,Port Graham,AK,+1 (907) 284-2227,,+1 (907) 284-2222,,"pnormanvc@hotmail.com; vivian@portgraham.org; fran@portgraham.org",Port Graham,99603-5510,,2023/03/01 09:00:00+00
1042113.96096509,1199031.05835886,1141,Skagway Village,Federally Recognized Tribe,Skagway Traditional Council,PO Box 1157,Skagway,AK,+1 (907) 983-4068,,+1 (907) 983-3068,tribe's website,"jbricker@wpyr.com; administrator@skagwaytraditional.org; info@skagwaytraditional.org",Skagway,99840-1157,,2023/03/01 09:00:00+00
-463441.464290839,1359992.80737394,1142,Pilot Station Traditional Village,Federally Recognized Tribe,,PO Box 5119,Pilot Station,AK,+1 (907) 549-3373,,+1 (907) 549-3301,,mpkelly_963@hotmail.com,Pilot Station,99650,,2023/03/01 09:00:00+00
331738.160820134,1134592.24073559,1143,Native Village of Chenega,Federally Recognized Tribe,Chanega,PO Box 8079,Chenega Bay,AK,+1 (907) 569-5688,,+1 (907) 569-6939,,"brian.pillars@chenegafuture.com; megan.green@chenegaira.com",Chenega,99574-8079,,2023/03/01 09:00:00+00
223408.043452646,1791220.22569493,1144,Native Village of Stevens,Federally Recognized Tribe,,PO Box 74016,Stevens Village,AK,+1 (907) 478-7228,,+1 (907) 478-7229,,"haroldsimon907@gmail.com; momike419@gmail.com; svs.ira.council@gmail.com; margaret.matthew@tananachiefs.org",Stevens Village,99774,,2023/03/01 09:00:00+00
-5570.33705066545,1088614.44941918,1145,Pedro Bay Village,Federally Recognized Tribe,,PO Box 47020,Pedro Bay,AK,+1 (907) 850-2225,,+1 (907) 850-2221,http://www.pedrobay.com,"villagecouncil@pedrobay.com; frontdesk@pedrobay.com; j.baalke@pedrobay.com",Pedro Bay,99647,,2023/03/01 09:00:00+00
-504641.714678906,1383006.58358768,1146,Asa'carsarmiut Tribe,Federally Recognized Tribe,,PO Box 32249,Mountain Village,AK,+1 (907) 591-2814,,+1 (907) 591-2811,,"atcoperations@gci.net; atcyouth@gci.net; atccouncil@asacarsarmiut.org; atcadmin@asacarsarmiut.org",Mountain Village,99632,,2023/03/01 09:00:00+00
1338592.77344132,833795.508697213,1147,Organized Village of Kasaan,Federally Recognized Tribe,,PO Box 26 - Kasaan,Kasaan,AK,+1 (907) 542-2230,,+1 (907) 542-3006,http://www.kasaan.org,"paula@kasaan.org; administrator@kasaan.org; ovk@kasaan.org",Kasaan,99950-0340,,2023/03/01 09:00:00+00
-498236.544903423,1661292.52273176,1148,Village of Solomon,Federally Recognized Tribe,,PO Box 2053,Nome,AK,+1 (907) 443-4985,,+1 (907) 443-5189,,tc.sol@kawerak.org,Solomon,99762,,2023/03/01 09:00:00+00
-187052.448134996,1055625.21469234,1149,New Stuyahok Village,Federally Recognized Tribe,New Stuyahok Traditional Council,PO Box 49,New Stuyahok,AK,+1 (907) 693-3173,,+1 (907) 693-3179,,newstutribe@hotmail.com,New Stuyahok,99636,,2023/03/01 09:00:00+00
-26066.0341954539,839943.217720194,1150,Native Village of Karluk,Federally Recognized Tribe,,PO Box 22,Karluk,AK,+1 (907) 241-2218,,+1 (907) 241-2208,,"aandrew211@outlook.com; allisonr@alaskaqpa.com; karlukiracouncil@aol.com",Karluk,99608,,2023/03/01 09:00:00+00
153610.679907259,1235054.74586276,1151,Native Village of Tyonek,Federally Recognized Tribe,,PO Box 82009,Tyonek,AK,+1 (907) 583-2111,,+1 (907) 583-2442,,"nvtcouncilsecretary@gmail.com; NVTPresident@gmail.com",Tyonek,99682-0009,,2023/03/01 09:00:00+00
-554525.089338192,1440760.04264743,1152,Native Village of Nunam Iqua,Federally Recognized Tribe,Native Village of Sheldon's Point,PO Box 27,Nunam Iqua,AK,+1 (907) 498-4184,,+1 (907) 498-4185,,nunamtribe@gmail.com,Nunam Iqua,99666-0027,,2023/03/01 09:00:00+00
117871.786670187,1041948.3974587,1153,Native Village of Nanwalek,Federally Recognized Tribe,English Bay,PO Box 8028,Nanwalek,AK,+1 (907) 281-2274,,+1 (907) 281-2252,,"nanwalek@yahoo.com; gwen@chugachmiut.org",Nanwalek,99603,,2023/03/01 09:00:00+00
-167086.034700021,1306714.056421,1154,Village of Sleetmute,Federally Recognized Tribe,,PO Box 109,Sleetmute,AK,+1 (907) 449-4263,,+1 (907) 449-4265,,"slqtraditionalcouncil@gmail.com; j-bonin@hotmail.com",Sleetmute,99668,,2023/03/01 09:00:00+00
528913.242653236,1532292.10191689,1155,Native Village of Tanacross,Federally Recognized Tribe,,PO Box 76009,Tanacross,AK,+1 (907) 883-4008,,+1 (907) 883-5815,,"herbert.demit@tananachiefs.org; issac_monica@yahoo.com; jerry_isaac@hotmail.com",Tanacross,99776,,2023/03/01 09:00:00+00
-609994.321572468,1219519.85430933,1156,Umkumiut Native Village,Federally Recognized Tribe,,PO Box 90062,Nightmute,AK,+1 (907) 647-6145,,+1 (907) 647-6146,,umkumiut@yahoo.com,Umkumiut,99690,,2023/03/01 09:00:00+00
-307075.684978314,1451345.66566966,1157,Organized Village of Grayling,Federally Recognized Tribe,Holikachuk,PO Box 49,Grayling,AK,+1 (907) 453-5116,,+1 (907) 453-5146,,"nicholi_sa6919@yahoo.com; rachel.freireich@tananachiefs.org",Grayling,99590,,2023/03/01 09:00:00+00
574649.399645128,1512987.82606618,1158,Native Village of Tetlin,Federally Recognized Tribe,,PO Box 797,Tok,AK,+1 (907) 883-2021,,+1 (907) 883-1267,,tetlinvillagecouncil@gmail.com,Tetlin,99780,,2023/03/01 09:00:00+00
-110127.639880373,1751240.87506519,1159,Huslia Village,Federally Recognized Tribe,,PO Box 70,Huslia,AK,+1 (907) 829-2294,,+1 (907) 829-2214,,husliatribe@gmail.com,Huslia,99746,,2023/03/01 09:00:00+00
-107963.937147732,1038397.51307668,1160,Igiugig Village,Federally Recognized Tribe,,PO Box 4008,Igiugig,AK,+1 (907) 533-3211,,+1 (907) 533-3217,,"igiugig.vc@gmail.com; alexannasalmon@gmail.com",Igiugig,99613,,2023/03/01 09:00:00+00
-184087.954435105,1086250.13841146,1161,New Koliganek Village Council,Federally Recognized Tribe,,PO Box 5057,Koliganek,AK,+1 (907) 596-3434,,+1 (907) 596-3462,,newkgkvc@hotmail.com,Koliganek,99576,,2023/03/01 09:00:00+00
-50160.1750683196,1081425.31841533,1162,Newhalen Village,Federally Recognized Tribe,,PO Box 207,Newhalen,AK,+1 (907) 571-1410,,+1 (907) 571-1537,,"newhalentribal@yahoo.com; joannewassillie@newhalentribal.com",Newhalen,99606,,2023/03/01 09:00:00+00
-611355.594582764,1336743.04208092,1163,Chevak Native Village,Federally Recognized Tribe,,PO Box 140,Chevak,AK,+1 (907) 858-7421,,+1 (907) 858-7812,,chevaktc@gmail.com,Chevak,99563-0140,,2023/03/01 09:00:00+00
-228053.382392943,1604048.25793828,1164,Village of Kaltag,Federally Recognized Tribe,,PO Box 129,Kaltag,AK,+1 (907) 534-2224,,+1 (907) 534-2299,,"esmailka32@hotmail.com; ktc129@hotmail.com",Kaltag,99748,,2023/03/01 09:00:00+00
-545131.292891217,1662011.84942765,1165,Nome Eskimo Community,Federally Recognized Tribe,,PO Box 1090,Nome,AK,+1 (907) 443-2246,,+1 (907) 443-3539,http://www.necalaska.org,"nomeeskimo@gci.net; cathy.lyon@necalaska.org",Nome,99762,,2023/03/01 09:00:00+00
-101342.589397113,2367854.81608432,1166,Native Village of Barrow Inupiat Traditional Government,Federally Recognized Tribe,,PO Box 1130,Barrow,AK,+1 (907) 852-4411,,+1 (907) 852-8844,http://www.nvbarrow.net,"tolemaun@nvbarrow.net; email@nvbarrow.net; maryjane.lang@nvbarrow.net",Utqiagvik,99723,,2023/03/01 09:00:00+00
-70888.0208406742,1642768.99740994,1167,Native Village of Ruby,Federally Recognized Tribe,,PO Box 68210,Ruby,AK,+1 (907) 468-4479,,+1 (907) 468-4474,,rubynativecouncil@hotmail.com,Ruby,99768,,2023/03/01 09:00:00+00
-415497.986743595,1312212.10929474,1168,Village of Ohogamiut,Federally Recognized Tribe,,PO Box 49,Marshall,AK,+1 (907) 679-6517,,+1 (907) 679-6516,http://www.ohogtc.org,"mrsdisaac96@gmail.com; sophiet@ohogtc.org; admin@ohogtc.net",Ohogamiut,99585,,2023/03/01 09:00:00+00
60175.5883428383,1845337.79990434,1169,Allakaket Village,Federally Recognized Tribe,,PO Box 50,Allakaket,AK,+1 (907) 968-2237,,+1 (907) 968-2233,,"allakaketepa@yahoo.com; elisa.bergman@tananachiefs.org",Allakaket,99720,,2023/03/01 09:00:00+00
-262418.110486748,988920.947579179,1170,Native Village of Ekuk,Federally Recognized Tribe,,PO Box 530,Dillingham,AK,+1 (907) 842-3842,,+1 (907) 842-3843,,"evc@ekukvc.net; diane@ekukvc.net; ekukvc@ekukvc.net",Ekuk,99576,,2023/03/01 09:00:00+00
295944.830471104,1837251.65818556,1171,Beaver Village,Federally Recognized Tribe,,PO Box 24029,Beaver,AK,+1 (907) 628-6126,,+1 (907) 628-6815,,"rpitka@beavercouncil.org; wpitka@beavercouncil.org",Beaver,99724,,2023/03/01 09:00:00+00
-277208.32474227,1299382.0395778,1172,Native Village of Chuathbaluk,Federally Recognized Tribe,Russian Mission or Kuskokwim,#1 Teen Center Trail,Chuathbaluk,AK,+1 (907) 467-4313,,+1 (907) 467-4113,http://chuathbaluktc.wix.com/chuathbaluk,chuathtradcouncil@gmail.com,Chuathbaluk,99557-8999,,2023/03/01 09:00:00+00
-50742.1148290514,1085205.33191174,1173,Village of Iliamna,Federally Recognized Tribe,,PO Box 286,Iliamna,AK,+1 (907) 571-1246,,+1 (907) 571-3539,,"ivc@iliamnavc.org; dollyann.trefon@iliamnavc.org",Iliamna,99606,,2023/03/01 09:00:00+00
-352628.310789471,2220589.21235648,1174,Native Village of Point Lay,Federally Recognized Tribe,,PO Box 59031,Point Lay,AK,+1 (907) 833-5052,,+1 (907) 833-8868,,"nvpl.ira@gmail.com; ptlay.ira@gmail.com",Point Lay,99759,,2023/03/01 09:00:00+00
-585243.431821837,1213354.21877197,1175,Native Village of Nightmute,Federally Recognized Tribe,,PO Box 90021,Nightmute,AK,+1 (907) 647-6215,,+1 (907) 647-6112,,negtemiut_tribe@live.com,Nightmute,99690,,2023/03/01 09:00:00+00
-526203.79103316,2093518.89801835,1176,Native Village of Point Hope,Federally Recognized Tribe,,PO Box 109,Pt. Hope,AK,+1 (907) 368-2330,,+1 (907) 368-2332,,"peggy.frankson@tikigaq.org; executive.director@tikigaq.org",Point Hope,99766,,2023/03/01 09:00:00+00
-442314.158471233,1163545.02028242,1177,Native Village of Eek,Federally Recognized Tribe,,PO Box 89,Eek,AK,+1 (907) 536-5128,,+1 (907) 536-5711,,"etcgov@yahoo.com; nve89t@yahoo.com",Eek,99578-0089,,2023/03/01 09:00:00+00
454359.728294303,1889974.92602281,1178,Chalkyitsik Village,Federally Recognized Tribe,,PO Box 57,Chalkyitsik,AK,+1 (907) 848-8117,,+1 (907) 848-8986,,"tamhenry40@hotmail.com; tru_native_69@yahoo.com; kyle.joseph.ak@gmail.com",Chalkyitsik,99788,,2023/03/01 09:00:00+00
399599.272922145,2270028.5977156,1179,Kaktovik Village,Federally Recognized Tribe,Barter Island,PO Box 52,Kaktovik,AK,+1 (907) 640-2042,,+1 (907) 640-2044,,nvkaktovik@gmail.com,Kaktovik,99747,,2023/03/01 09:00:00+00
132689.640155183,1055857.66562634,1180,Seldovia Village Tribe,Federally Recognized Tribe,,Drawer L,Seldovia,AK,+1 (907) 234-7898,,+1 (907) 234-7865,http://www.svt.org,"svt@svt.org; ccollier@svt.org",Seldovia Village,99663,,2023/03/01 09:00:00+00
-398871.836539254,1525392.69678106,1181,Native Village of Saint Michael,Federally Recognized Tribe,,PO Box 59050,St. Michael,AK,+1 (907) 923-2304,,+1 (907) 923-2406,,"tc.smk@kawerak.org; smkira21@gmail.com",St. Michael,99659,,2023/03/01 09:00:00+00
-384158.97598142,1983045.89714552,1182,Native Village of Noatak,Federally Recognized Tribe,,PO Box 89,Noatak,AK,+1 (907) 485-2173,,+1 (907) 485-2137,,tribeadmin@nautaaq.org,Noatak,99761,,2023/03/01 09:00:00+00
-47716.8110046451,1109006.5306363,1183,Nondalton Village,Federally Recognized Tribe,,PO Box 49,Nondalton,AK,+1 (907) 294-2257,,+1 (907) 294-2271,,nondaltontribe@yahoo.com,Nondalton,99640,,2023/03/01 09:00:00+00
43178.2686273217,801116.138837186,1184,Alutiiq Tribe of Old Harbor,Federally Recognized Tribe,Native Village of Old Harbor or Village of Old Harbor or Old Harbor Tribal Council,PO Box 62,Old Harbor,AK,+1 (907) 286-2215,,+1 (907) 286-2350,,"bobbi.barnowsky@ohtcmail.com; darik.larionoff@ohtcmail.org; alewis@alutiiqtribe.org",Old Harbor,99643,,2023/03/01 09:00:00+00
-476821.428120612,1374720.21598731,1185,Algaaciq Native Village,Federally Recognized Tribe,St. Mary's,PO Box 48,St. Mary's,AK,+1 (907) 438-2932,,+1 (907) 438-2227,,algaaciq@yahoo.com,St. Mary's,99658,,2023/03/01 09:00:00+00
448519.435046842,1399145.2187377,1186,Native Village of Gakona,Federally Recognized Tribe,,PO Box 102,Gakona,AK,+1 (907) 822-5777,,+1 (907) 822-5997,http://www.nvgakona.com,gakonaadmin@cvinternet.net,Gakona,99586,,2023/03/01 09:00:00+00
-310205.1561704,1891560.22052034,1187,Noorvik Native Community,Federally Recognized Tribe,,PO Box 209,Noorvik,AK,+1 (907) 636-2144,,+1 (907) 636-2284,,"tribemanager@noorvik.org; transportation@noorvik.org; tribemanager@nuurvik.org",Noorvik,99763,,2023/03/01 09:00:00+00
