X,Y,OBJECTID,CommunityName,Resource,DataYear,Units,ReportedNo_inUnits,Reported_Lbs,AvgHH_Lbs,EstNo_inUnits,LowerCIAmt,UpperCLAmt,Estimated_Lbs,LowerCI_Lbs,UpperCI_Lbs,PerCapita_Harvest,CI_95Pcnt,created_user,created_date,last_edited_user,last_edited_date,GlobalID,Percent_HH_AttemptingHarvest,Percent_HH_Using,Percent_Harvest,Percent_HH_GiveAway,Percent_HH_Received,Conversion_Units_to_Pounds
-17162487.1875705,7749255.80747254,11,Akhiok,Herring Roe,1992, ,0,0,0,0,0,0,0,0,0,0,,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{ABD6E3EF-E2F1-480E-BB22-FCC26E7A4EA4},0,0,0,0,0,
-17162487.1875705,7749255.80747254,12,Akhiok,Smelt,1992, ,0,0,0,0,0,0,0,0,0,0,,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{F914C6FF-FE05-4502-8140-7357F0742F3A},0,0,0,0,0,
-17162487.1875705,7749255.80747254,13,Akhiok,"Eulachon (hooligan, candlefish)",1992, ,0,0,0,0,0,0,0,0,0,0,,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{28CEAAD2-5E7E-4036-AC86-86C0029A8C4F},0,0,0,0,0,
-17162487.1875705,7749255.80747254,14,Akhiok,Cod,1992,Ind.,21,67.2,2.8,21,21,21,67,67,67,0.84,0,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{10B4A710-5A28-40D4-8463-35DD623F0311},20.8,33.3,20.8,12.5,16.7,3.2
-17162487.1875705,7749255.80747254,15,Akhiok,Pacific Cod (gray),1992,Ind.,21,67.2,2.8,21,21,21,67,67,67,0.84,0,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{EDC9F264-0910-4216-BAC7-CE1B72A27FE7},20.8,33.3,20.8,12.5,16.7,3.2
-17162487.1875705,7749255.80747254,16,Akhiok,Walleye Pollock (whiting),1992, ,0,0,0,0,0,0,0,0,0,0,,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{FF8BADB7-B1C0-458C-9F4E-9DB978CB3E08},0,0,0,0,0,
-17162487.1875705,7749255.80747254,17,Akhiok,Eel,1992, ,0,0,0,0,0,0,0,0,0,0,,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{CFC8A333-7644-4B89-BC1F-F07DE0173C04},0,0,0,0,0,
-17162487.1875705,7749255.80747254,18,Akhiok,Flounder,1992, ,0,0,0,0,0,0,0,0,0,0,,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{6AFFF94F-25EC-4A74-AAA1-90E85DCC2287},0,0,0,0,0,
-17162487.1875705,7749255.80747254,19,Akhiok,Arrow Tooth Flounder (turbot),1992, ,0,0,0,0,0,0,0,0,0,0,,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{DC647F6E-4A06-4CD5-A71F-56AEEB0FB6AB},0,0,0,0,0,
-17162487.1875705,7749255.80747254,20,Akhiok,Unknown Flounder,1992, ,0,0,0,0,0,0,0,0,0,0,,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{F0A99CF5-B4FF-4530-BBED-B22724B21A37},0,0,0,0,0,
-17162487.1875705,7749255.80747254,21,Akhiok,Greenling,1992, ,0,0,0,0,0,0,0,0,0,0,,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{BB747B39-3946-436E-AE0C-CA3936C80DB6},0,0,0,0,0,
-17162487.1875705,7749255.80747254,22,Akhiok,Lingcod,1992, ,0,0,0,0,0,0,0,0,0,0,,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{35A497F9-137E-4BED-874A-0B9663803B79},0,0,0,0,0,
-17162487.1875705,7749255.80747254,23,Akhiok,Unknown Greenling,1992, ,0,0,0,0,0,0,0,0,0,0,,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{479A67DE-E797-4C5D-8A55-35E8A14F668E},0,0,0,0,0,
-17162487.1875705,7749255.80747254,24,Akhiok,Halibut,1992,Ind.,40.08,1441.99,60.083,40,40,40,1442,1442,1442,18.02,0,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{C54A047B-22CB-481E-825F-1D946A9F65FF},50,75,45.8,33.3,41.7,
-17162487.1875705,7749255.80747254,25,Akhiok,Perch,1992, ,0,0,0,0,0,0,0,0,0,0,,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{24D620E6-BC4E-4E1A-94EC-EE39C3D1392A},0,0,0,0,0,
-17162487.1875705,7749255.80747254,26,Akhiok,Sea Perch,1992, ,0,0,0,0,0,0,0,0,0,0,,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{230C998F-F98A-4A65-A426-067D5C02672E},0,0,0,0,0,
-17162487.1875705,7749255.80747254,27,Akhiok,Rockfish,1992, ,0,0,0,0,0,0,0,0,0,0,,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{5F710B22-9DEC-40E7-A697-6AF4F728F302},0,4.2,0,0,4.2,
-17162487.1875705,7749255.80747254,28,Akhiok,Black Rockfish,1992, ,0,0,0,0,0,0,0,0,0,0,,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{847109D0-462F-4220-B1E3-1796B79FE937},0,0,0,0,0,
-17162487.1875705,7749255.80747254,29,Akhiok,Red Rockfish,1992, ,0,0,0,0,0,0,0,0,0,0,,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{8AB95AC1-F863-463E-9E20-8D976B4A9BE3},0,4.2,0,0,4.2,
-17162487.1875705,7749255.80747254,30,Akhiok,Unknown Rockfish,1992, ,0,0,0,0,0,0,0,0,0,0,,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{AA758773-0886-48F5-8E8C-0E25883C902B},0,0,0,0,0,
-17162487.1875705,7749255.80747254,31,Akhiok,Sablefish (black cod),1992, ,0,0,0,0,0,0,0,0,0,0,,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{09D611D7-488E-4FD9-A4EE-060355B1A648},0,0,0,0,0,
-17162487.1875705,7749255.80747254,32,Akhiok,Sculpin,1992, ,0,0,0,0,0,0,0,0,0,0,,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{CE7D17E9-B14A-4BA9-812A-C8C692D22CE2},0,0,0,0,0,
-17162487.1875705,7749255.80747254,33,Akhiok,Irish Lord,1992, ,0,0,0,0,0,0,0,0,0,0,,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{E096ECC6-F745-4DDA-B2C8-4F5D98C885F6},0,0,0,0,0,
-17162487.1875705,7749255.80747254,34,Akhiok,Unknown Sculpin,1992, ,0,0,0,0,0,0,0,0,0,0,,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{F8D7D62A-D75A-4D6B-8090-45FBEE1F7578},0,0,0,0,0,
-17162487.1875705,7749255.80747254,35,Akhiok,Shark,1992, ,0,0,0,0,0,0,0,0,0,0,,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{03145609-1E6D-4DBF-AF40-5468352FF9FD},0,0,0,0,0,
-17162487.1875705,7749255.80747254,36,Akhiok,Salmon Shark,1992, ,0,0,0,0,0,0,0,0,0,0,,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{0E2CC119-8552-4BA2-8FC2-0B9CB684AC87},0,0,0,0,0,
-17162487.1875705,7749255.80747254,37,Akhiok,Skates,1992,Ind.,2,10,0.417,2,2,2,10,10,10,0.13,0,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{B76BFC95-B285-4288-993F-3830FEF9EC98},4.2,4.2,4.2,4.2,0,5
-17162487.1875705,7749255.80747254,38,Akhiok,Sole,1992, ,0,0,0,0,0,0,0,0,0,0,,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{EDE4B586-B33F-4698-B564-F7368A2549FB},0,0,0,0,0,
-17162487.1875705,7749255.80747254,39,Akhiok,Wolffish,1992, ,0,0,0,0,0,0,0,0,0,0,,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{5198BF47-2421-4709-B603-CFEE6FC3AE7D},0,0,0,0,0,
-17162487.1875705,7749255.80747254,40,Akhiok,Char,1992,Ind.,153,164.7,6.863,153,153,153,165,165,165,2.06,0,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{95487254-B10B-4E46-BE11-DD84ACA73D0C},33.3,37.5,29.2,16.7,16.7,
-17162487.1875705,7749255.80747254,41,Akhiok,Brook Trout,1992, ,0,0,0,0,0,0,0,0,0,0,,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{EA7A9C2D-F6F9-49DB-9C99-0635806B80B4},0,0,0,0,0,
-17162487.1875705,7749255.80747254,42,Akhiok,Dolly Varden,1992,Ind.,108,151.2,6.3,108,108,108,151,151,151,1.89,0,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{975E8539-CE4B-4C60-8EF9-AA59CA10B8AB},29.2,33.3,25,12.5,12.5,1.4
-17162487.1875705,7749255.80747254,43,Akhiok,Dolly Varden-Fingerling,1992,Ind.,45,13.5,0.563,45,45,45,14,14,14,0.18,0,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{CD5DDAB3-E3C9-4809-BE10-00F7202E3754},8.3,8.3,8.3,4.2,4.2,0.3
-17162487.1875705,7749255.80747254,44,Akhiok,Unknown Char,1992, ,0,0,0,0,0,0,0,0,0,0,,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{83C8B9A5-3900-46D5-B508-B673366CB543},0,0,0,0,0,
-17162487.1875705,7749255.80747254,45,Akhiok,Grayling,1992,Ind.,57.14,40,1.667,57,57,57,40,40,40,0.5,0,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{5FD9764E-BDB1-48F9-8367-1F6AE8019D61},4.2,4.2,4.2,4.2,4.2,0.7
-17162487.1875705,7749255.80747254,46,Akhiok,Trout,1992,Ind.,14,44.38,1.849,14,14,14,44,44,44,0.55,0,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{5FCE58D8-F035-4743-B66E-61BEA31806D1},16.7,12.5,12.5,0,0,
-17162487.1875705,7749255.80747254,47,Akhiok,Rainbow Trout,1992,Ind.,8,11.2,0.467,8,8,8,11,11,11,0.14,0,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{E8082336-9DC1-4F4A-95BA-BD6F86C1FD9D},16.7,12.5,12.5,0,0,1.4
-17162487.1875705,7749255.80747254,48,Akhiok,Steelhead,1992,Ind.,6,33.18,1.383,6,6,6,33,33,33,0.41,0,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{80DC50CF-59FE-49CB-960E-DCBBF5A54BE1},8.3,8.3,8.3,0,0,5.53
-17162487.1875705,7749255.80747254,49,Akhiok,Unknown Trout,1992, ,0,0,0,0,0,0,0,0,0,0,,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{F951457F-1D64-4EDD-9077-BD72FA52BC4C},0,0,0,0,0,
-17162487.1875705,7749255.80747254,50,Akhiok,Black Oystercatcher Eggs,1992, ,0,0,0,0,0,0,0,0,0,0,,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{1920B4F2-83E3-48A8-98BA-2A04CC0D239C},0,0,0,0,0,
-17162487.1875705,7749255.80747254,51,Akhiok,"Chitons (bidarkis, gumboots)",1992,Gal.,61.1,244.4,10.183,61,61,61,244,244,244,3.05,0,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{E305E180-73E4-4B5E-BA30-D25836584703},54.2,66.7,54.2,20.8,29.2,4
-17162487.1875705,7749255.80747254,52,Akhiok,Black (small) Chitons,1992,Gal.,61.1,244.4,10.183,61,61,61,244,244,244,3.05,0,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{01B93284-0FDF-4309-8665-17D1DA74E4A5},54.2,66.7,54.2,20.8,29.2,4
-17162487.1875705,7749255.80747254,53,Akhiok,Clams,1992,Gal.,604.11,1812.33,75.514,604,604,604,1812,1812,1812,22.65,0,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{7BAAE54F-4F6E-4FEB-8D65-7FC372988647},75,87.5,75,37.5,37.5,3
-17162487.1875705,7749255.80747254,54,Akhiok,Butter Clams,1992,Gal.,503.5,1510.5,62.938,504,504,504,1511,1511,1511,18.89,0,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{874DCCAB-D293-42F0-A426-DAE06A2D7D36},75,87.5,75,37.5,33.3,3
-17162487.1875705,7749255.80747254,55,Akhiok,Horse Clams (Gaper),1992,Gal.,42.11,126.33,5.264,42,42,42,126,126,126,1.58,0,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{8752BBA5-5F97-4144-8A84-E176B946027F},25,37.5,25,4.2,12.5,3
-17162487.1875705,7749255.80747254,56,Akhiok,Pacific Littleneck Clams (Steamers),1992,Gal.,21.5,64.5,2.688,22,22,22,65,65,65,0.81,0,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{7437CE37-8BED-40D3-B994-5883D8F63500},16.7,20.8,16.7,8.3,8.3,3
-17162487.1875705,7749255.80747254,57,Akhiok,Pinkneck Clams,1992, ,0,0,0,0,0,0,0,0,0,0,,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{B7DF58F9-BB1C-4993-A2C5-3B167A22D488},0,0,0,0,0,
-17162487.1875705,7749255.80747254,58,Akhiok,Razor Clams,1992,Gal.,32,96,4,32,32,32,96,96,96,1.2,0,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{B2A6FEC6-1B7E-42BE-8263-F6BC9B47DF73},16.7,20.8,16.7,8.3,8.3,3
-17162487.1875705,7749255.80747254,59,Akhiok,Unknown Clams,1992,Gal.,5,15,0.625,5,5,5,15,15,15,0.19,0,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{13F25993-B030-42B5-A474-09455876A6D1},4.2,4.2,4.2,4.2,4.2,3
-17162487.1875705,7749255.80747254,60,Akhiok,Cockles,1992,Gal.,198.13,594.39,24.766,198,198,198,594,594,594,7.43,0,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{5B365A0D-07CE-4FCE-91BD-79AF2F87CAE6},50,62.5,50,20.8,20.8,3
-17162487.1875705,7749255.80747254,61,Akhiok,Crabs,1992,Lbs.,225.15,225.15,9.381,225,225,225,225,225,225,2.81,0,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{3C11F92E-0A1B-422B-B1BF-9DE3467A84D9},33.3,75,29.2,16.7,66.7,1
-17162487.1875705,7749255.80747254,62,Akhiok,Dungeness Crab,1992,Ind.,15,10.5,0.438,15,15,15,11,11,11,0.14,0,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{ADDFD600-719A-40B5-BB7C-9CCE624359A0},4.2,25,4.2,0,20.8,0.7
-17162487.1875705,7749255.80747254,63,Akhiok,King Crab,1992,Ind.,65.5,150.65,6.277,66,66,66,151,151,151,1.89,0,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{DBE92761-465D-4C76-996A-041E0FE65A2B},29.2,66.7,25,16.7,58.3,2.3
-17162487.1875705,7749255.80747254,64,Akhiok,Tanner Crab,1992,Ind.,40,64,2.667,40,40,40,64,64,64,0.8,0,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{C92DCEEB-4550-45F9-80CD-DFA8891B11FF},12.5,20.8,12.5,8.3,16.7,1.6
-17162487.1875705,7749255.80747254,65,Akhiok,Unknown Crab,1992, ,0,0,0,0,0,0,0,0,0,0,,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{097F3A87-F715-4FFA-833F-81D927DE97F0},0,0,0,0,0,
-17162487.1875705,7749255.80747254,66,Akhiok,Mussels,1992, ,0,0,0,0,0,0,0,0,0,0,,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{D0D2C803-A945-46B0-8D4B-85DAA77F6A49},0,0,0,0,0,
-17162487.1875705,7749255.80747254,67,Akhiok,Octopus,1992,Ind.,84,336,14,84,84,84,336,336,336,4.2,0,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{5DB53AC1-1661-4527-89A7-AFE17BF33738},45.8,66.7,45.8,29.2,33.3,4
-17162487.1875705,7749255.80747254,68,Akhiok,Scallops,1992, ,0,0,0,0,0,0,0,0,0,0,,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{4AAC6519-78DA-4746-8E1F-D9566C1AC653},0,0,0,0,0,
-17162487.1875705,7749255.80747254,69,Akhiok,Sea Urchin,1992,Gal.,317.75,158.88,6.62,318,318,318,159,159,159,1.99,0,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{B52C6DB6-B4A4-4D7A-AE93-97D16AD445F4},66.7,75,66.7,37.5,33.3,0.5
-17162487.1875705,7749255.80747254,70,Akhiok,Squid,1992, ,0,0,0,0,0,0,0,0,0,0,,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{5DEFD0BE-6771-402A-82E3-C9984F197E5E},0,0,0,0,0,
-17162487.1875705,7749255.80747254,71,Akhiok,Fish,2003,,2419,6236.04,566.9127,3299,2419,5284,8504,6236,13622,119.9238,0.6,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{343B04B0-679F-45D9-9308-78EDA6107A0E},100,100,100,72.73,81.82,
-17162487.1875705,7749255.80747254,72,Akhiok,Salmon,2003,,1225,5005.24,455.0218,1670,1225,2468,6825,5005,10083,96.25462,0.48,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{0E5C8A57-5185-4025-922C-FE891350E0E8},100,100,100,72.73,45.45,
-17162487.1875705,7749255.80747254,73,Akhiok,Chum Salmon,2003,Ind.,45,238.5,21.68182,61,45,84,325,238,446,4.586538,0.37,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{ED2D3DEA-3928-4C57-AD03-438A3DF433FD},45.45,54.55,45.45,9.09,9.09,5.3
-17162487.1875705,7749255.80747254,74,Akhiok,Coho Salmon,2003,Ind.,195,1121.25,101.9318,266,195,375,1529,1121,2157,21.5625,0.41,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{0C77F9B2-ACDA-4913-95FE-FDC310FA79A4},63.64,63.64,63.64,36.36,18.18,5.75
-17162487.1875705,7749255.80747254,75,Akhiok,Chinook Salmon,2003,Ind.,0,0,0,0,0,0,0,0,0,0,0,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{3665BE1D-82C8-453E-9D74-3F3DC50404C2},18.18,9.09,0,0,9.09,7.36
-17162487.1875705,7749255.80747254,76,Akhiok,Pink Salmon,2003,Ind.,192,497.28,45.20727,262,192,373,678,497,967,9.563077,0.43,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{074D8441-C2A6-420C-A46A-747C291185E8},63.64,72.73,63.64,36.36,9.09,2.59
-17162487.1875705,7749255.80747254,77,Akhiok,Sockeye Salmon,2003,Ind.,793,3148.21,286.2009,1081,793,1427,4293,3148,5667,60.5425,0.32,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{2010F9FE-98F5-423B-91B2-782F2E6BA0E9},90.91,100,90.91,54.55,18.18,3.97
-17162487.1875705,7749255.80747254,78,Akhiok,Non-Salmon Fish,2003,,1194,1230.8,111.8909,1628,1194,2198,1678,1231,2266,23.66923,0.35,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{46678E76-710C-4DF6-A2C4-5E3A2F39076D},90.91,100,81.82,36.36,54.55,
-17162487.1875705,7749255.80747254,79,Akhiok,Cod,2003,,4,12.8,1.163636,5,4,11,17,13,37,0.2461538,1.1,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{A665DF7C-184F-4D99-BB29-31CEC45A53B2},9.09,9.09,9.09,0,0,
-17162487.1875705,7749255.80747254,80,Akhiok,Pacific Cod (gray),2003,Ind.,4,12.8,1.163636,5,4,11,17,13,37,0.2461538,1.1,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{FBCB4ACB-C776-485A-BFA7-E0B1B76F9DC4},9.09,9.09,9.09,0,0,3.2
-17162487.1875705,7749255.80747254,81,Akhiok,Halibut,2003,Lbs.,1120,1120,101.8182,1527,1120,2047,1527,1120,2047,21.53846,0.34,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{214E864F-F702-4A92-875C-50FF7245A75E},90.91,100,81.82,36.36,54.55,1
-17162487.1875705,7749255.80747254,82,Akhiok,Char,2003,,70,98,8.909091,95,70,146,134,98,204,1.884615,0.53,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{77940E99-6042-4A93-B2FE-30E67114B986},27.27,27.27,27.27,9.09,0,
-17162487.1875705,7749255.80747254,83,Akhiok,Dolly Varden,2003,Ind.,70,98,8.909091,95,70,146,134,98,204,1.884615,0.53,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{80626669-D454-4298-A43E-ED8641F9CD9B},27.27,27.27,27.27,9.09,0,1.4
-17162487.1875705,7749255.80747254,84,Akhiok,"Chitons (bidarkis, gumboots)",2003,,110,440,40,150,110,230,600,440,921,8.461538,0.53,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{74193008-E0F4-4E14-98D1-02C89D5FA10C},90.91,90.91,90.91,45.45,18.18,
-17162487.1875705,7749255.80747254,85,Akhiok,Black (small) Chitons,2003,Gal.,110,440,40,150,110,230,600,440,921,8.461538,0.53,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{E0F3C68F-CA57-4DC9-A24D-D3DE3C436E0D},90.91,90.91,90.91,45.45,18.18,4
-17162487.1875705,7749255.80747254,86,Akhiok,Clams,2003,,134,402,36.54546,183,134,251,548,402,752,7.730769,0.37,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{EBA3E6A2-4769-4D56-A4D5-A9B8E5D16753},81.82,81.82,81.82,45.45,18.18,
-17162487.1875705,7749255.80747254,87,Akhiok,Butter Clams,2003,Gal.,93,279,25.36364,127,93,183,380,279,549,5.365385,0.44,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{1C872FD7-6F74-4304-94E7-9120ADC041F6},81.82,81.82,81.82,45.45,18.18,3
-17162487.1875705,7749255.80747254,88,Akhiok,Pacific Littleneck Clams (Steamers),2003,Gal.,21,63,5.727273,29,21,38,86,63,115,1.211538,0.34,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{5973AACE-F64A-4FE9-B122-9DDC2216C037},54.55,54.55,54.55,27.27,9.09,3
-17162487.1875705,7749255.80747254,89,Akhiok,Razor Clams,2003,Gal.,20,60,5.454545,27,20,57,82,60,172,1.153846,1.1,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{78496AB8-B18D-4637-AE0A-87CF14A176CA},9.09,9.09,9.09,0,0,3
-17162487.1875705,7749255.80747254,90,Akhiok,Cockles,2003,,33,99,9,45,33,65,135,99,196,1.903846,0.45,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{93364109-1CAE-406D-A129-02280BDD77A8},54.55,54.55,54.55,9.09,0,
-17162487.1875705,7749255.80747254,91,Akhiok,Unknown Cockles,2003,Gal.,33,99,9,45,33,65,135,99,196,1.903846,0.45,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{6E08C918-83A8-4BF0-9E5D-E134C67C2E40},54.55,54.55,54.55,9.09,0,3
-17162487.1875705,7749255.80747254,92,Akhiok,Crabs,2003,,64,137.9,12.53636,87,64,150,188,138,324,2.651923,0.72,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{0AF85C73-6B69-4FE2-B5FF-D80D9C3CB1DE},45.45,72.73,36.36,9.09,36.36,
-17162487.1875705,7749255.80747254,93,Akhiok,Dungeness Crab,2003,Ind.,1,0.7,0.06363636,1,1,3,1,1,2,0.01346154,1.1,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{757D5D4B-21B9-4F8A-A2AF-45D031C5D32A},9.09,9.09,9.09,0,0,0.7
-17162487.1875705,7749255.80747254,94,Akhiok,King Crab,2003,Ind.,52,119.6,10.87273,71,52,130,163,120,299,2.3,0.83,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{C7317E83-3E74-4FED-B834-49A1209B0585},45.45,72.73,36.36,9.09,36.36,2.3
